sample_id,gsm,orig_ident,experimental_group,condition,sacrifice_day,tamoxifen_start_day,sex,AT2,Alveolar_transitional,AT1_AT2,AT1
EEM-scRNA-113,GSM8181583,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,f,118,4,19,11
EEM-scRNA-116,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m,39,22,4,35
EEM-scRNA-117,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m,152,13,13,51
EEM-scRNA-118,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m,108,4,18,60
EEM-scRNA-124,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f,52,3,1,34
EEM-scRNA-125,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m,135,2,15,76
EEM-scRNA-126,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m,87,0,54,24
EEM-scRNA-127,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m,71,4,7,48
EEM-scRNA-158,GSM8181591,scRNA-158_homeostasis_D42,H1N1_homeostasis_d42,homeostasis,0.0,-42.0,f,235,3,21,118
EEM-scRNA-162,GSM8181592,scRNA-162_H1N1_02to6dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,m,150,11,16,23
EEM-scRNA-166,GSM8181593,scRNA-166_homeostasis_D3,H1N1_homeostasis_d03,homeostasis,0.0,-3.0,f,37,2,18,145
EEM-scRNA-167,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m,148,127,8,104
EEM-scRNA-170,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f,110,9,21,99
EEM-scRNA-172,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f,223,8,40,96
EEM-scRNA-179,GSM8181597,scRNA-179_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,m,79,0,4,65
EEM-scRNA-180,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f,51,1,2,43
EEM-scRNA-181,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f,88,3,20,53
EEM-scRNA-182,GSM8181600,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m,92,2,25,91
EEM-scRNA-236,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m,114,5,16,75
EEM-scRNA-237,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m,99,1,4,46
EEM-scRNA-238,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m,219,1,19,125
EEM-scRNA-239,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m,278,1,9,64
EEM-scRNA-249,GSM8181605,,,,,,,0,0,0,0
EEM-scRNA-250,GSM8181606,,,,,,,0,0,0,0
EEM-scRNA-251,GSM8181607,,,,,,,0,0,0,0
EEM-scRNA-288,GSM8181608,,,,,,,0,0,0,0
EEM-scRNA-289,GSM8181609,,,,,,,0,0,0,0
EEM-scRNA-290,GSM8181610,,,,,,,0,0,0,0
EEM-scRNA-291,GSM8181611,,,,,,,0,0,0,0
EEM-scRNA-292,GSM8181612,,,,,,,0,0,0,0
EEM-scRNA-310,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m,251,1,42,117
EEM-scRNA-311,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f,195,1,19,100
EEM-scRNA-312,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f,146,1,14,56
