sample_id,author_celltype,n_cells,gsm,orig_ident,experimental_group,condition,sacrifice_day,tamoxifen_start_day,sex
EEM-scRNA-113,AT1,11,GSM8181583,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,f
EEM-scRNA-113,AT1_AT2,19,GSM8181583,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,f
EEM-scRNA-113,AT2,120,GSM8181583,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,f
EEM-scRNA-113,Alveolar_transitional,4,GSM8181583,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,f
EEM-scRNA-113,Ciliated,63,GSM8181583,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,f
EEM-scRNA-113,Secretory,10,GSM8181583,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,f
EEM-scRNA-116,AT1,35,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-116,AT1_AT2,4,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-116,AT2,40,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-116,Alveolar_transitional,23,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-116,Ciliated,51,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-116,Krt5,6,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-116,Secretory,10,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m
EEM-scRNA-117,AT1,51,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m
EEM-scRNA-117,AT1_AT2,13,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m
EEM-scRNA-117,AT2,152,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m
EEM-scRNA-117,Alveolar_transitional,14,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m
EEM-scRNA-117,Ciliated,47,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m
EEM-scRNA-117,Krt5,46,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m
EEM-scRNA-117,Secretory,13,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m
EEM-scRNA-118,AT1,60,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m
EEM-scRNA-118,AT1_AT2,18,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m
EEM-scRNA-118,AT2,109,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m
EEM-scRNA-118,Alveolar_transitional,4,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m
EEM-scRNA-118,Ciliated,59,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m
EEM-scRNA-118,Krt5,13,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m
EEM-scRNA-118,Secretory,8,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m
EEM-scRNA-124,AT1,34,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f
EEM-scRNA-124,AT1_AT2,1,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f
EEM-scRNA-124,AT2,52,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f
EEM-scRNA-124,Alveolar_transitional,3,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f
EEM-scRNA-124,Ciliated,38,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f
EEM-scRNA-124,Krt5,8,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f
EEM-scRNA-124,Secretory,27,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f
EEM-scRNA-125,AT1,76,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m
EEM-scRNA-125,AT1_AT2,15,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m
EEM-scRNA-125,AT2,136,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m
EEM-scRNA-125,Alveolar_transitional,2,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m
EEM-scRNA-125,Ciliated,49,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m
EEM-scRNA-125,Krt5,51,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m
EEM-scRNA-125,Secretory,17,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m
EEM-scRNA-126,AT1,24,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m
EEM-scRNA-126,AT1_AT2,54,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m
EEM-scRNA-126,AT2,88,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m
EEM-scRNA-126,Alveolar_transitional,1,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m
EEM-scRNA-126,Ciliated,15,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m
EEM-scRNA-126,Krt5,335,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m
EEM-scRNA-126,Secretory,35,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m
EEM-scRNA-127,AT1,48,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-127,AT1_AT2,7,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-127,AT2,71,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-127,Alveolar_transitional,4,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-127,Ciliated,40,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-127,Krt5,2,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-127,Secretory,2,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-158,AT1,118,GSM8181591,scRNA-158_homeostasis_D42,H1N1_homeostasis_d42,homeostasis,0.0,-42.0,f
EEM-scRNA-158,AT1_AT2,21,GSM8181591,scRNA-158_homeostasis_D42,H1N1_homeostasis_d42,homeostasis,0.0,-42.0,f
EEM-scRNA-158,AT2,235,GSM8181591,scRNA-158_homeostasis_D42,H1N1_homeostasis_d42,homeostasis,0.0,-42.0,f
EEM-scRNA-158,Alveolar_transitional,3,GSM8181591,scRNA-158_homeostasis_D42,H1N1_homeostasis_d42,homeostasis,0.0,-42.0,f
