sample_id,gsm,orig_ident,experimental_group,condition,sacrifice_day,tamoxifen_start_day,sex,AT2,Alveolar_transitional,AT1_AT2,AT1,Alveolar_transitional_vs_AT2_eligible,Alveolar_transitional_vs_AT1_eligible,Alveolar_transitional_triplet_eligible,AT1_AT2_vs_AT2_eligible,AT1_AT2_vs_AT1_eligible,AT1_AT2_triplet_eligible
EEM-scRNA-113,GSM8181583,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,f,120,4,19,11,False,False,False,False,False,False
EEM-scRNA-116,GSM8181584,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m,40,23,4,35,False,False,False,False,False,False
EEM-scRNA-117,GSM8181585,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,m,152,14,13,51,False,False,False,False,False,False
EEM-scRNA-118,GSM8181586,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,m,109,4,18,60,False,False,False,False,False,False
EEM-scRNA-124,GSM8181587,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,f,52,3,1,34,False,False,False,False,False,False
EEM-scRNA-125,GSM8181588,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,m,136,2,15,76,False,False,False,False,False,False
EEM-scRNA-126,GSM8181589,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,m,88,1,54,24,False,False,False,True,False,False
EEM-scRNA-127,GSM8181590,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m,71,4,7,48,False,False,False,False,False,False
EEM-scRNA-158,GSM8181591,scRNA-158_homeostasis_D42,H1N1_homeostasis_d42,homeostasis,0.0,-42.0,f,235,3,21,118,False,False,False,False,False,False
EEM-scRNA-162,GSM8181592,scRNA-162_H1N1_02to6dpi,H1N1_tam02_sac06,H1N1_infected,6.0,2.0,m,150,11,16,23,False,False,False,False,False,False
EEM-scRNA-166,GSM8181593,scRNA-166_homeostasis_D3,H1N1_homeostasis_d03,homeostasis,0.0,-3.0,f,39,2,18,145,False,False,False,False,False,False
EEM-scRNA-167,GSM8181594,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,H1N1_infected,11.0,7.0,m,149,127,8,104,True,True,True,False,False,False
EEM-scRNA-170,GSM8181595,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,H1N1_infected,19.0,14.0,f,111,10,21,99,False,False,False,False,False,False
EEM-scRNA-172,GSM8181596,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,H1N1_infected,25.0,21.0,f,223,8,40,96,False,False,False,True,True,True
EEM-scRNA-179,GSM8181597,scRNA-179_H1N1_02to42dpi,H1N1_tam02_sac42,H1N1_infected,42.0,2.0,m,79,0,4,66,False,False,False,False,False,False
EEM-scRNA-180,GSM8181598,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,H1N1_infected,42.0,7.0,f,51,1,2,43,False,False,False,False,False,False
EEM-scRNA-181,GSM8181599,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,H1N1_infected,42.0,14.0,f,88,3,20,53,False,False,False,False,False,False
EEM-scRNA-182,GSM8181600,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m,92,2,25,91,False,False,False,False,False,False
EEM-scRNA-236,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m,114,5,16,75,False,False,False,False,False,False
EEM-scRNA-237,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m,100,1,4,46,False,False,False,False,False,False
EEM-scRNA-238,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m,221,1,19,125,False,False,False,False,False,False
EEM-scRNA-239,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m,278,1,9,64,False,False,False,False,False,False
EEM-scRNA-249,GSM8181605,,,,,,,0,0,0,0,False,False,False,False,False,False
EEM-scRNA-250,GSM8181606,,,,,,,0,0,0,0,False,False,False,False,False,False
EEM-scRNA-251,GSM8181607,,,,,,,0,0,0,0,False,False,False,False,False,False
EEM-scRNA-288,GSM8181608,,,,,,,0,0,0,0,False,False,False,False,False,False
EEM-scRNA-289,GSM8181609,,,,,,,0,0,0,0,False,False,False,False,False,False
EEM-scRNA-290,GSM8181610,,,,,,,0,0,0,0,False,False,False,False,False,False
EEM-scRNA-291,GSM8181611,,,,,,,0,0,0,0,False,False,False,False,False,False
EEM-scRNA-292,GSM8181612,,,,,,,0,0,0,0,False,False,False,False,False,False
EEM-scRNA-310,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m,252,1,42,117,False,False,False,True,True,True
EEM-scRNA-311,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f,202,1,19,100,False,False,False,False,False,False
EEM-scRNA-312,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f,147,1,14,56,False,False,False,False,False,False
