identifier,sample_id,time_point,AT2,Krt8+ ADI,AT1,start_intermediate_eligible,intermediate_destination_eligible,triplet_eligible
muc9265,D36-E2,day 36,721,4,66,False,False,False
muc9267,D7-E1,day 7,58,124,20,True,False,False
muc9268,D11-E2,day 11,189,93,42,True,True,True
muc9269,D9-E1,day 9,66,134,27,True,False,False
muc9270,D8-E1,day 8,82,87,23,True,False,False
muc9271,NC-E1,d14_PBS,731,1,4,False,False,False
muc9272,D7-E2,day 7,131,64,10,True,False,False
muc9273,D3-E2,day 3,167,59,9,True,False,False
muc9274,D2-E1,day 2,210,32,1,True,False,False
muc9275,D4-E1,day 4,118,133,2,True,False,False
muc9276,D15-E2,day 15,269,82,60,True,True,True
muc9277,D11-E1,day 11,45,98,40,True,True,True
muc9278,D5-E1,day 5,120,134,16,True,False,False
muc9279,D54-E2,day 54,428,3,7,False,False,False
muc9280,D15-E1,day 15,380,59,50,True,True,True
muc9281,D36-E1,day 36,776,10,63,False,False,False
muc9282,D6-E1,day 6,112,78,11,True,False,False
muc9283,D12-E2,day 12,169,87,40,True,True,True
muc9284,D2-E2,day 2,243,48,1,True,False,False
muc9285,D10-E1,day 10,374,84,66,True,True,True
muc9286,D21-E,day 21,562,138,100,True,True,True
muc9287,NC-E2,d14_PBS,1005,2,16,False,False,False
muc9288,D13-E1,day 13,189,116,98,True,True,True
muc9289,D4-E2,day 4,79,84,1,True,False,False
muc9290,D5-E2,day 5,93,85,7,True,False,False
muc9291,D8-E2,day 8,53,105,27,True,False,False
muc9292,D3-E1,day 3,200,84,14,True,False,False
muc9293,D10-E2,day 10,59,74,14,True,False,False
muc9294,D12-E1,day 12,347,109,62,True,True,True
muc9295,D9-E2,day 9,59,99,19,True,False,False
muc9296,D13-E2,day 13,167,78,70,True,True,True
muc9297,D28-E,day 28,7,0,0,False,False,False
