dataset,module,unit,state,cells,mean_fraction_of_present_module_genes_detected
development,candidate,P0:1_1_1_1_1,AT1,166,0.2104745512662896
development,candidate,P0:1_1_1_1_1,AT2,436,0.19701366785246208
development,candidate,P0:1_1_1_1_1,Transitional,27,0.17535903250188964
development,candidate,P0:2_1_1_1_1,AT1,159,0.17622898215890132
development,candidate,P0:2_1_1_1_1,AT2,208,0.12656985871271584
development,candidate,P0:2_1_1_1_1,Transitional,9,0.12471655328798185
development,candidate,P14:1,AT1,4,0.15306122448979592
development,candidate,P14:1,AT2,5,0.09387755102040815
development,candidate,P14:1,Transitional,1,0.40816326530612246
development,candidate,P14:2,AT1,34,0.2689075630252101
development,candidate,P14:2,AT2,226,0.14421166696767201
development,candidate,P14:2,Transitional,32,0.2946428571428571
development,candidate,P3:1_1_1_1,AT1,419,0.15912522526910522
development,candidate,P3:1_1_1_1,AT2,1203,0.10541673028313568
development,candidate,P3:1_1_1_1,Transitional,8,0.17346938775510204
development,candidate,P5:1_1_1,AT1,78,0.1104133961276818
development,candidate,P5:1_1_1,AT2,377,0.06306501380393006
development,candidate,P5:2_1_1_1,AT1,180,0.12131519274376418
development,candidate,P5:2_1_1_1,AT2,664,0.0734263584952053
development,candidate,P5:2_1_1_1,Transitional,7,0.08454810495626822
development,candidate,P7:1_1,AT1,263,0.24381159307829595
development,candidate,P7:1_1,AT2,3500,0.14870553935860056
development,candidate,P7:1_1,Transitional,17,0.14765906362545014
development,candidate,P7:2_1,AT1,16,0.15051020408163263
development,candidate,P7:2_1,AT2,76,0.08190118152524167
development,candidate,P7:2_1,Transitional,4,0.18877551020408162
development,candidate,P7:2_1_1,AT1,7,0.24198250728862974
development,candidate,P7:2_1_1,AT2,87,0.1883650011728829
development,candidate,P7:2_1_1,Transitional,85,0.1956782713085234
development,candidate_without_generic_controls,P0:1_1_1_1_1,AT1,166,0.1987951807228915
development,candidate_without_generic_controls,P0:1_1_1_1_1,AT2,436,0.17385321100917434
development,candidate_without_generic_controls,P0:1_1_1_1_1,Transitional,27,0.1580246913580247
development,candidate_without_generic_controls,P0:2_1_1_1_1,AT1,159,0.15262054507337525
development,candidate_without_generic_controls,P0:2_1_1_1_1,AT2,208,0.10865384615384616
development,candidate_without_generic_controls,P0:2_1_1_1_1,Transitional,9,0.0962962962962963
development,candidate_without_generic_controls,P14:1,AT1,4,0.15833333333333333
development,candidate_without_generic_controls,P14:1,AT2,5,0.08
development,candidate_without_generic_controls,P14:1,Transitional,1,0.3
development,candidate_without_generic_controls,P14:2,AT1,34,0.23431372549019605
development,candidate_without_generic_controls,P14:2,AT2,226,0.11076696165191739
development,candidate_without_generic_controls,P14:2,Transitional,32,0.2520833333333333
development,candidate_without_generic_controls,P3:1_1_1_1,AT1,419,0.1573587907716786
development,candidate_without_generic_controls,P3:1_1_1_1,AT2,1203,0.09628706012745912
