unit,time,state,cells
P0:1_1_1_1_1,P0,AT1,166
P0:1_1_1_1_1,P0,AT2,436
P0:1_1_1_1_1,P0,Cilliated,29
P0:1_1_1_1_1,P0,Early Epithelium,17
P0:1_1_1_1_1,P0,Mki67+ AT2,7
P0:1_1_1_1_1,P0,Neuroendocrine,3
P0:1_1_1_1_1,P0,Secretory,13
P0:1_1_1_1_1,P0,Transitional,27
P0:2_1_1_1_1,P0,AT1,159
P0:2_1_1_1_1,P0,AT2,208
P0:2_1_1_1_1,P0,Cilliated,23
P0:2_1_1_1_1,P0,Early Epithelium,24
P0:2_1_1_1_1,P0,Neuroendocrine,1
P0:2_1_1_1_1,P0,Secretory,3
P0:2_1_1_1_1,P0,Transitional,9
P14:1,P14,AT1,4
P14:1,P14,AT2,5
P14:1,P14,Cilliated,1
P14:1,P14,Early Epithelium,3
P14:1,P14,Mki67+ AT2,1
P14:1,P14,Neuroendocrine,1
P14:1,P14,Secretory,6
P14:1,P14,Transitional,1
P14:2,P14,AT1,34
P14:2,P14,AT2,226
P14:2,P14,Cilliated,51
P14:2,P14,Early Epithelium,15
P14:2,P14,Mki67+ AT2,2
P14:2,P14,Neuroendocrine,11
P14:2,P14,Secretory,91
P14:2,P14,Transitional,32
P3:1_1_1_1,P3,AT1,419
P3:1_1_1_1,P3,AT2,1203
P3:1_1_1_1,P3,Cilliated,47
P3:1_1_1_1,P3,Early Epithelium,20
P3:1_1_1_1,P3,Mki67+ AT2,66
P3:1_1_1_1,P3,Neuroendocrine,4
P3:1_1_1_1,P3,Secretory,25
P3:1_1_1_1,P3,Transitional,8
P5:1_1_1,P5,AT1,78
P5:1_1_1,P5,AT2,377
P5:1_1_1,P5,Cilliated,36
P5:1_1_1,P5,Early Epithelium,13
P5:1_1_1,P5,Mki67+ AT2,69
P5:1_1_1,P5,Secretory,6
P5:2_1_1_1,P5,AT1,180
P5:2_1_1_1,P5,AT2,664
P5:2_1_1_1,P5,Cilliated,38
P5:2_1_1_1,P5,Early Epithelium,21
P5:2_1_1_1,P5,Mki67+ AT2,101
P5:2_1_1_1,P5,Neuroendocrine,5
P5:2_1_1_1,P5,Secretory,14
P5:2_1_1_1,P5,Transitional,7
P7:1_1,P7,AT1,263
P7:1_1,P7,AT2,3500
P7:1_1,P7,Cilliated,439
P7:1_1,P7,Early Epithelium,19
P7:1_1,P7,Mki67+ AT2,16
P7:1_1,P7,Neuroendocrine,20
P7:1_1,P7,Secretory,229
P7:1_1,P7,Transitional,17
P7:2_1,P7,AT1,16
P7:2_1,P7,AT2,76
P7:2_1,P7,Cilliated,26
P7:2_1,P7,Mki67+ AT2,1
P7:2_1,P7,Neuroendocrine,2
P7:2_1,P7,Secretory,3
P7:2_1,P7,Transitional,4
P7:2_1_1,P7,AT1,7
P7:2_1_1,P7,AT2,87
P7:2_1_1,P7,Cilliated,12
P7:2_1_1,P7,Early Epithelium,15
P7:2_1_1,P7,Mki67+ AT2,1
P7:2_1_1,P7,Neuroendocrine,8
P7:2_1_1,P7,Secretory,5
P7:2_1_1,P7,Transitional,85
