dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference,module
development,P0:1_1_1_1_1,P0,AT2,436,27,166,False,0.5362785256752874,0.5378637316179957,-0.0015852059427082787,0.029108727764988514,-0.054458097774198765,candidate
development,P0:1_1_1_1_1,P0,AT1,436,27,166,False,0.5362785256752874,0.5442329570466995,-0.007954431371412052,0.029108727764988514,-0.27326619822180986,candidate
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.5260577651321311,0.5128228090866005,0.0132349560455306,0.02531231545375267,0.522866273127473,candidate
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.5260577651321311,0.5318959059182425,-0.005838140786111445,0.02531231545375267,-0.23064428051942257,candidate
development,P14:1,P14,AT2,5,1,4,False,0.6553128774077335,0.50913761693243,0.1461752604753035,0.008753503183004526,16.699058356328916,candidate
development,P14:1,P14,AT1,5,1,4,False,0.6553128774077335,0.5044111927619593,0.15090168464577414,0.008753503183004526,17.239004943616084,candidate
development,P14:2,P14,AT2,226,32,34,True,0.5765798671524778,0.5086950394256636,0.06788482772681415,0.03980084684605267,1.7056126466200243,candidate
development,P14:2,P14,AT1,226,32,34,True,0.5765798671524778,0.5613461031353363,0.015233764017141493,0.03980084684605267,0.38274974590527666,candidate
development,P3:1_1_1_1,P3,AT2,1203,8,419,False,0.5273396720774569,0.5085981390657799,0.018741533011677025,0.02195352386697415,0.8536913310701297,candidate
development,P3:1_1_1_1,P3,AT1,1203,8,419,False,0.5273396720774569,0.5153093101329218,0.012030361944535106,0.02195352386697415,0.5479922957896075,candidate
development,P5:2_1_1_1,P5,AT2,664,7,180,False,0.5065531872585687,0.4956999718111798,0.010853215447388875,0.01753797158495878,0.6188409756973834,candidate
development,P5:2_1_1_1,P5,AT1,664,7,180,False,0.5065531872585687,0.509814704885632,-0.0032615176270632817,0.01753797158495878,-0.18596891956767003,candidate
development,P7:1_1,P7,AT2,3500,17,263,False,0.5122257528889188,0.5141957739106533,-0.0019700210217344916,0.028608576160289275,-0.06886120479036702,candidate
development,P7:1_1,P7,AT1,3500,17,263,False,0.5122257528889188,0.545245809594532,-0.03302005670561314,0.028608576160289275,-1.1542013318176707,candidate
development,P7:2_1,P7,AT2,76,4,16,False,0.5527961435326387,0.4980582186947525,0.054737924837886254,0.025146631976796726,2.1767497487692973,candidate
development,P7:2_1,P7,AT1,76,4,16,False,0.5527961435326387,0.5242487667082881,0.0285473768243506,0.025146631976796726,1.1352365935403121,candidate
development,P7:2_1_1,P7,AT2,87,85,7,False,0.535434514829001,0.5250978127909415,0.010336702038059475,0.03658888254622552,0.28250936674549526,candidate
development,P7:2_1_1,P7,AT1,87,85,7,False,0.535434514829001,0.5476107623161028,-0.012176247487101888,0.03658888254622552,-0.3327854430022209,candidate
development,P0:1_1_1_1_1,P0,AT2,436,27,166,False,0.5267044822600379,0.5244866043413444,0.002217877918693434,0.032720129302877085,0.06778328710633841,candidate_without_generic_controls
development,P0:1_1_1_1_1,P0,AT1,436,27,166,False,0.5267044822600379,0.5368191484657349,-0.01011466620569701,0.032720129302877085,-0.30912671866512537,candidate_without_generic_controls
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.5114577540503465,0.5024669701753035,0.00899078387504304,0.025172289164990726,0.35716989488374773,candidate_without_generic_controls
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.5114577540503465,0.5183797004551721,-0.006921946404825574,0.025172289164990726,-0.27498279395473185,candidate_without_generic_controls
development,P14:1,P14,AT2,5,1,4,False,0.593576910243577,0.5018118118118118,0.09176509843176517,0.018318034182557962,5.009549470059507,candidate_without_generic_controls
development,P14:1,P14,AT1,5,1,4,False,0.593576910243577,0.5064481147814481,0.08712879546212882,0.018318034182557962,4.756449005051589,candidate_without_generic_controls
development,P14:2,P14,AT2,226,32,34,True,0.5523069944944945,0.4902406093409043,0.0620663851535902,0.03568177483991921,1.7394422063375905,candidate_without_generic_controls
development,P14:2,P14,AT1,226,32,34,True,0.5523069944944945,0.541103358260221,0.01120363623427345,0.03568177483991921,0.3139876389147356,candidate_without_generic_controls
development,P3:1_1_1_1,P3,AT2,1203,8,419,False,0.5100392058725393,0.5032777859599694,0.006761419912569844,0.025653802364452617,0.2635640446789617,candidate_without_generic_controls
development,P3:1_1_1_1,P3,AT1,1203,8,419,False,0.5100392058725393,0.5134034591472936,-0.003364253274754314,0.025653802364452617,-0.1311405314097226,candidate_without_generic_controls
development,P5:2_1_1_1,P5,AT2,664,7,180,False,0.5066733400066734,0.4911284778754658,0.015544862131207593,0.02116772521427361,0.7343662095880541,candidate_without_generic_controls
development,P5:2_1_1_1,P5,AT1,664,7,180,False,0.5066733400066734,0.5098812701590479,-0.0032079301523745274,0.02116772521427361,-0.15154817628733142,candidate_without_generic_controls
development,P7:1_1,P7,AT2,3500,17,263,False,0.5070600011776483,0.5027215072215072,0.004338493956141054,0.030186493126486205,0.14372302002627713,candidate_without_generic_controls
development,P7:1_1,P7,AT1,3500,17,263,False,0.5070600011776483,0.5413648122139885,-0.0343048110363402,0.030186493126486205,-1.1364291603068162,candidate_without_generic_controls
development,P7:2_1,P7,AT2,76,4,16,False,0.5446488154821488,0.48556780464675203,0.0590810108353968,0.027213368524481023,2.1710289478587623,candidate_without_generic_controls
development,P7:2_1,P7,AT1,76,4,16,False,0.5446488154821488,0.5206936102769436,0.02395520520520522,0.027213368524481023,0.8802734282474155,candidate_without_generic_controls
