unit,module,endpoint,matched_cells_per_state,all_states_at_least_30,median_difference,draw_q05,draw_q95,fraction_draws_positive
Control-Mouse1,ADI_published_holdout,Enterocyte.Mature.Proximal,25,False,0.04391369260129557,0.04034479857712249,0.04793585885468734,1.0
Control-Mouse1,ADI_published_holdout,Stem,25,False,0.0050031807028704245,0.0010365871707326668,0.008483113713373224,0.99
Control-Mouse1,candidate,Enterocyte.Mature.Proximal,25,False,0.0036921180207288296,-0.0006632397191575323,0.0075413950183885765,0.925
Control-Mouse1,candidate,Stem,25,False,-0.004521481109996561,-0.00961848044132394,0.00010817870277497891,0.075
Control-Mouse1,candidate_without_generic_controls,Enterocyte.Mature.Proximal,25,False,0.010574712643678208,0.003852956404680519,0.015847019433226396,0.995
Control-Mouse1,candidate_without_generic_controls,Stem,25,False,-0.003879396638017285,-0.009435090262676481,0.002642470056263235,0.205
Control-Mouse2,ADI_published_holdout,Enterocyte.Mature.Proximal,7,False,0.04008427471628673,0.030486220972608828,0.04773323454298942,1.0
Control-Mouse2,ADI_published_holdout,Stem,7,False,-0.010298707874233315,-0.01607364022634007,-0.00361156292135047,0.0
Control-Mouse2,candidate,Enterocyte.Mature.Proximal,7,False,-0.003865763958542323,-0.016031800759421216,0.010053150522997621,0.315
Control-Mouse2,candidate,Stem,7,False,-0.004438165687538742,-0.015750749271624398,0.008213852868128263,0.27
Control-Mouse2,candidate_without_generic_controls,Enterocyte.Mature.Proximal,7,False,-0.00298451160520119,-0.01675937020764598,0.014289412565274615,0.395
Control-Mouse2,candidate_without_generic_controls,Stem,7,False,0.0037241675172710043,-0.009002721933756357,0.01724963880136305,0.64
Control-Mouse3,ADI_published_holdout,Enterocyte.Mature.Proximal,32,True,0.03879368192322169,0.0327866791027821,0.044671643141366055,1.0
Control-Mouse3,ADI_published_holdout,Stem,32,True,-0.01109126101886354,-0.015790108500915206,-0.006172228974904917,0.0
Control-Mouse3,candidate,Enterocyte.Mature.Proximal,32,True,-0.0001722289263623722,-0.005759106747325255,0.00483564952670513,0.48
Control-Mouse3,candidate,Stem,32,True,-0.002522215082748247,-0.007471437750752263,0.0027977323898778104,0.245
Control-Mouse3,candidate_without_generic_controls,Enterocyte.Mature.Proximal,32,True,0.00464688826757792,-0.0007946524110316593,0.011884298091194692,0.9
Control-Mouse3,candidate_without_generic_controls,Stem,32,True,0.0018825398674536808,-0.005314635756445985,0.00820160138586862,0.67
Control-Mouse4,ADI_published_holdout,Enterocyte.Mature.Proximal,18,False,0.04162267054986485,0.03464981254769245,0.04780039610930079,1.0
Control-Mouse4,ADI_published_holdout,Stem,18,False,-0.014354274042435389,-0.019127849109186718,-0.00914809814163286,0.0
Control-Mouse4,candidate,Enterocyte.Mature.Proximal,18,False,-0.0011925243322560286,-0.009248608092796866,0.006609324501281702,0.36
Control-Mouse4,candidate,Stem,18,False,-0.0020669647832385896,-0.010639557561573454,0.004425312975964951,0.335
Control-Mouse4,candidate_without_generic_controls,Enterocyte.Mature.Proximal,18,False,0.004145908360467798,-0.0044934302118210525,0.016814180080463575,0.78
Control-Mouse4,candidate_without_generic_controls,Stem,18,False,-0.004236516209696284,-0.014387088237662937,0.0057423323706848935,0.275
