dataset,module,unit,state,cells,mean_fraction_of_present_module_genes_detected
intestine,candidate,Control-Mouse1,Enterocyte.Immature.Proximal,32,0.14127604166666666
intestine,candidate,Control-Mouse1,Enterocyte.Mature.Proximal,36,0.11284722222222222
intestine,candidate,Control-Mouse1,Stem,200,0.12166666666666667
intestine,candidate,Control-Mouse2,Enterocyte.Immature.Proximal,10,0.15
intestine,candidate,Control-Mouse2,Enterocyte.Mature.Proximal,26,0.11939102564102563
intestine,candidate,Control-Mouse2,Stem,36,0.11805555555555552
intestine,candidate,Control-Mouse3,Enterocyte.Immature.Proximal,65,0.1278846153846154
intestine,candidate,Control-Mouse3,Enterocyte.Mature.Proximal,94,0.12189716312056738
intestine,candidate,Control-Mouse3,Stem,227,0.11674008810572688
intestine,candidate,Control-Mouse4,Enterocyte.Immature.Proximal,28,0.14508928571428573
intestine,candidate,Control-Mouse4,Enterocyte.Mature.Proximal,161,0.12137681159420288
intestine,candidate,Control-Mouse4,Stem,135,0.11712962962962961
intestine,candidate_without_generic_controls,Control-Mouse1,Enterocyte.Immature.Proximal,32,0.17564655172413793
intestine,candidate_without_generic_controls,Control-Mouse1,Enterocyte.Mature.Proximal,36,0.13505747126436782
intestine,candidate_without_generic_controls,Control-Mouse1,Stem,200,0.14120689655172414
intestine,candidate_without_generic_controls,Control-Mouse2,Enterocyte.Immature.Proximal,10,0.17241379310344826
intestine,candidate_without_generic_controls,Control-Mouse2,Enterocyte.Mature.Proximal,26,0.13527851458885942
intestine,candidate_without_generic_controls,Control-Mouse2,Stem,36,0.14080459770114945
intestine,candidate_without_generic_controls,Control-Mouse3,Enterocyte.Immature.Proximal,65,0.15915119363395225
intestine,candidate_without_generic_controls,Control-Mouse3,Enterocyte.Mature.Proximal,94,0.14563462949376374
intestine,candidate_without_generic_controls,Control-Mouse3,Stem,227,0.13960200516481847
intestine,candidate_without_generic_controls,Control-Mouse4,Enterocyte.Immature.Proximal,28,0.17241379310344832
intestine,candidate_without_generic_controls,Control-Mouse4,Enterocyte.Mature.Proximal,161,0.13643178410794604
intestine,candidate_without_generic_controls,Control-Mouse4,Stem,135,0.14380587484035762
intestine,HALLMARK_HYPOXIA,Control-Mouse1,Enterocyte.Immature.Proximal,32,0.17670454545454545
intestine,HALLMARK_HYPOXIA,Control-Mouse1,Enterocyte.Mature.Proximal,36,0.16683501683501684
intestine,HALLMARK_HYPOXIA,Control-Mouse1,Stem,200,0.12663636363636363
intestine,HALLMARK_HYPOXIA,Control-Mouse2,Enterocyte.Immature.Proximal,10,0.21333333333333337
intestine,HALLMARK_HYPOXIA,Control-Mouse2,Enterocyte.Mature.Proximal,26,0.15874125874125872
intestine,HALLMARK_HYPOXIA,Control-Mouse2,Stem,36,0.13787878787878788
intestine,HALLMARK_HYPOXIA,Control-Mouse3,Enterocyte.Immature.Proximal,65,0.1642890442890443
intestine,HALLMARK_HYPOXIA,Control-Mouse3,Enterocyte.Mature.Proximal,94,0.17511283043197942
intestine,HALLMARK_HYPOXIA,Control-Mouse3,Stem,227,0.12836737418235217
intestine,HALLMARK_HYPOXIA,Control-Mouse4,Enterocyte.Immature.Proximal,28,0.18614718614718617
intestine,HALLMARK_HYPOXIA,Control-Mouse4,Enterocyte.Mature.Proximal,161,0.1769621682665161
intestine,HALLMARK_HYPOXIA,Control-Mouse4,Stem,135,0.12363636363636364
intestine,HALLMARK_INFLAMMATORY_RESPONSE,Control-Mouse1,Enterocyte.Immature.Proximal,32,0.07284902597402598
intestine,HALLMARK_INFLAMMATORY_RESPONSE,Control-Mouse1,Enterocyte.Mature.Proximal,36,0.06926406926406926
intestine,HALLMARK_INFLAMMATORY_RESPONSE,Control-Mouse1,Stem,200,0.04597402597402597
