unit,time,state,cells
Control-Mouse1,homeostasis,Endocrine,39
Control-Mouse1,homeostasis,Enterocyte.Immature.Distal,62
Control-Mouse1,homeostasis,Enterocyte.Immature.Proximal,32
Control-Mouse1,homeostasis,Enterocyte.Mature.Distal,42
Control-Mouse1,homeostasis,Enterocyte.Mature.Proximal,36
Control-Mouse1,homeostasis,Enterocyte.Progenitor,42
Control-Mouse1,homeostasis,Enterocyte.Progenitor.Early,88
Control-Mouse1,homeostasis,Enterocyte.Progenitor.Late,35
Control-Mouse1,homeostasis,Goblet,38
Control-Mouse1,homeostasis,Paneth,39
Control-Mouse1,homeostasis,Stem,200
Control-Mouse1,homeostasis,TA.Early,94
Control-Mouse1,homeostasis,TA.G1,37
Control-Mouse1,homeostasis,TA.G2,38
Control-Mouse1,homeostasis,Tuft,18
Control-Mouse2,homeostasis,Endocrine,5
Control-Mouse2,homeostasis,Enterocyte.Immature.Distal,12
Control-Mouse2,homeostasis,Enterocyte.Immature.Proximal,10
Control-Mouse2,homeostasis,Enterocyte.Mature.Distal,17
Control-Mouse2,homeostasis,Enterocyte.Mature.Proximal,26
Control-Mouse2,homeostasis,Enterocyte.Progenitor,3
Control-Mouse2,homeostasis,Enterocyte.Progenitor.Early,17
Control-Mouse2,homeostasis,Enterocyte.Progenitor.Late,4
Control-Mouse2,homeostasis,Goblet,19
Control-Mouse2,homeostasis,Paneth,2
Control-Mouse2,homeostasis,Stem,36
Control-Mouse2,homeostasis,TA.Early,13
Control-Mouse2,homeostasis,TA.G1,10
Control-Mouse2,homeostasis,TA.G2,21
Control-Mouse2,homeostasis,Tuft,5
Control-Mouse3,homeostasis,Endocrine,46
Control-Mouse3,homeostasis,Enterocyte.Immature.Distal,59
Control-Mouse3,homeostasis,Enterocyte.Immature.Proximal,65
Control-Mouse3,homeostasis,Enterocyte.Mature.Distal,29
Control-Mouse3,homeostasis,Enterocyte.Mature.Proximal,94
Control-Mouse3,homeostasis,Enterocyte.Progenitor,66
Control-Mouse3,homeostasis,Enterocyte.Progenitor.Early,171
Control-Mouse3,homeostasis,Enterocyte.Progenitor.Late,53
Control-Mouse3,homeostasis,Goblet,121
Control-Mouse3,homeostasis,Paneth,18
Control-Mouse3,homeostasis,Stem,227
Control-Mouse3,homeostasis,TA.Early,117
Control-Mouse3,homeostasis,TA.G1,90
Control-Mouse3,homeostasis,TA.G2,70
Control-Mouse3,homeostasis,Tuft,32
Control-Mouse4,homeostasis,Endocrine,28
Control-Mouse4,homeostasis,Enterocyte.Immature.Distal,74
Control-Mouse4,homeostasis,Enterocyte.Immature.Proximal,28
Control-Mouse4,homeostasis,Enterocyte.Mature.Distal,59
Control-Mouse4,homeostasis,Enterocyte.Mature.Proximal,161
Control-Mouse4,homeostasis,Enterocyte.Progenitor,22
Control-Mouse4,homeostasis,Enterocyte.Progenitor.Early,104
Control-Mouse4,homeostasis,Enterocyte.Progenitor.Late,72
Control-Mouse4,homeostasis,Goblet,37
Control-Mouse4,homeostasis,Paneth,17
Control-Mouse4,homeostasis,Stem,135
Control-Mouse4,homeostasis,TA.Early,77
Control-Mouse4,homeostasis,TA.G1,51
Control-Mouse4,homeostasis,TA.G2,69
Control-Mouse4,homeostasis,Tuft,8
