dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference,module
intestine,Control-Mouse1,homeostasis,Stem,200,32,36,True,0.5150506859119024,0.5157519955700435,-0.0007013096581410805,0.018852083885192442,-0.037200643833965284,candidate
intestine,Control-Mouse1,homeostasis,Enterocyte.Mature.Proximal,200,32,36,True,0.5150506859119024,0.5109486445447453,0.004102041367157083,0.018852083885192442,0.21759087176453062,candidate
intestine,Control-Mouse2,homeostasis,Stem,36,10,26,False,0.5126410481444333,0.5114083570154909,0.0012326911289424203,0.022351329594735996,0.05515068460324319,candidate
intestine,Control-Mouse2,homeostasis,Enterocyte.Mature.Proximal,36,10,26,False,0.5126410481444333,0.516636045958388,-0.003994997813954626,0.022351329594735996,-0.17873647279110838,candidate
intestine,Control-Mouse3,homeostasis,Stem,227,65,94,True,0.5122905575701464,0.5123388705028448,-4.831293269835779e-05,0.01861752335299105,-0.0025950246862774013,candidate
intestine,Control-Mouse3,homeostasis,Enterocyte.Mature.Proximal,227,65,94,True,0.5122905575701464,0.5127093381207453,-0.0004187805505988518,0.01861752335299105,-0.022493891516004002,candidate
intestine,Control-Mouse4,homeostasis,Stem,135,28,161,False,0.5149809547690691,0.5143383081342794,0.0006426466347897453,0.020015238035194324,0.03210786869782565,candidate
intestine,Control-Mouse4,homeostasis,Enterocyte.Mature.Proximal,135,28,161,False,0.5149809547690691,0.5137184976253814,0.0012624571436877785,0.020015238035194324,0.06307480038298338,candidate
intestine,Control-Mouse1,homeostasis,Stem,200,32,36,True,0.5335912421041731,0.525946291118705,0.007644950985468135,0.025182358921930367,0.30358359235402826,candidate_without_generic_controls
intestine,Control-Mouse1,homeostasis,Enterocyte.Mature.Proximal,200,32,36,True,0.5335912421041731,0.5225848453817803,0.011006396722392786,0.025182358921930367,0.43706774081469113,candidate_without_generic_controls
intestine,Control-Mouse2,homeostasis,Stem,36,10,26,False,0.5252700976838909,0.5232531381956671,0.0020169594882237796,0.024214573671390967,0.08329527150035174,candidate_without_generic_controls
intestine,Control-Mouse2,homeostasis,Enterocyte.Mature.Proximal,36,10,26,False,0.5252700976838909,0.5251644217161459,0.00010567596774502253,0.024214573671390967,0.004364147359318432,candidate_without_generic_controls
intestine,Control-Mouse3,homeostasis,Stem,227,65,94,True,0.5289854841578978,0.524372922215851,0.0046125619420468444,0.02397100136219192,0.19242258061534187,candidate_without_generic_controls
intestine,Control-Mouse3,homeostasis,Enterocyte.Mature.Proximal,227,65,94,True,0.5289854841578978,0.5251487731311651,0.0038367110267326643,0.02397100136219192,0.16005635178779337,candidate_without_generic_controls
intestine,Control-Mouse4,homeostasis,Stem,135,28,161,False,0.529615822719271,0.5281910262753176,0.0014247964439534355,0.02423157026669377,0.058799179263748114,candidate_without_generic_controls
intestine,Control-Mouse4,homeostasis,Enterocyte.Mature.Proximal,135,28,161,False,0.529615822719271,0.521998331593534,0.007617491125736953,0.02423157026669377,0.31436225724946826,candidate_without_generic_controls
intestine,Control-Mouse1,homeostasis,Stem,200,32,36,True,0.5324949024010264,0.518316211510264,0.014178690890762402,0.01202164612856397,1.1794300663262076,HALLMARK_HYPOXIA
intestine,Control-Mouse1,homeostasis,Enterocyte.Mature.Proximal,200,32,36,True,0.5324949024010264,0.5378658900836321,-0.005370987682605688,0.01202164612856397,-0.4467763919488513,HALLMARK_HYPOXIA
intestine,Control-Mouse2,homeostasis,Stem,36,10,26,False,0.545076673998045,0.521737112387314,0.02333956161073103,0.01181003477364828,1.9762483394891075,HALLMARK_HYPOXIA
intestine,Control-Mouse2,homeostasis,Enterocyte.Mature.Proximal,36,10,26,False,0.545076673998045,0.5369943228814196,0.008082351116625475,0.01181003477364828,0.6843630244560852,HALLMARK_HYPOXIA
intestine,Control-Mouse3,homeostasis,Stem,227,65,94,True,0.530665886532822,0.5178259341317107,0.012839952401111243,0.01151505389766507,1.1150579506809626,HALLMARK_HYPOXIA
intestine,Control-Mouse3,homeostasis,Enterocyte.Mature.Proximal,227,65,94,True,0.530665886532822,0.5396935964830181,-0.009027709950196083,0.01151505389766507,-0.7839919839217296,HALLMARK_HYPOXIA
intestine,Control-Mouse4,homeostasis,Stem,135,28,161,False,0.53597612065354,0.517216927337895,0.018759193315644906,0.012161778997007933,1.5424711565849112,HALLMARK_HYPOXIA
intestine,Control-Mouse4,homeostasis,Enterocyte.Mature.Proximal,135,28,161,False,0.53597612065354,0.5417349524598823,-0.0057588318063424015,0.012161778997007933,-0.4735188665868046,HALLMARK_HYPOXIA
intestine,Control-Mouse1,homeostasis,Stem,200,32,36,True,0.4786064045878744,0.4771542615675781,0.0014521430202962815,0.010215887307253806,0.1421455598149742,HALLMARK_INFLAMMATORY_RESPONSE
intestine,Control-Mouse1,homeostasis,Enterocyte.Mature.Proximal,200,32,36,True,0.4786064045878744,0.4878736213535208,-0.009267216765646402,0.010215887307253806,-0.9071377244995842,HALLMARK_INFLAMMATORY_RESPONSE
intestine,Control-Mouse2,homeostasis,Stem,36,10,26,False,0.48091953272857796,0.4767084883290913,0.004211044399486663,0.010722805109535272,0.3927185429997217,HALLMARK_INFLAMMATORY_RESPONSE
intestine,Control-Mouse2,homeostasis,Enterocyte.Mature.Proximal,36,10,26,False,0.48091953272857796,0.4911745289885993,-0.010254996260021354,0.010722805109535272,-0.9563725308130502,HALLMARK_INFLAMMATORY_RESPONSE
