heldout_unit,gene
muc9268,Plaur
muc9268,Edn1
muc9268,Sprr1a
muc9268,Nupr1
muc9268,Polk
muc9268,Mdm2
muc9268,Ddit3
muc9268,1600029D21Rik
muc9268,Tpm2
muc9268,Hspb1
muc9268,Ppp1r15a
muc9268,Ifrd1
muc9268,Cald1
muc9268,F3
muc9268,Rap2b
muc9268,Tuft1
muc9268,Tnip3
muc9268,Gcnt2
muc9268,Pmepa1
muc9268,Fn1
muc9268,Perp
muc9268,Gsto1
muc9268,AW112010
muc9268,Tuba1c
muc9268,Sqstm1
muc9268,Ier5
muc9268,Capg
muc9268,Esd
muc9268,Litaf
muc9268,Cast
muc9268,Egr1
muc9268,Uchl3
muc9268,Cd44
muc9268,Atf3
muc9268,Gnl3
muc9268,Anxa8
muc9268,Ctsl
muc9268,Arpc1b
muc9268,Gadd45a
muc9268,Cdcp1
muc9268,Ly6a
muc9268,Stx3
muc9268,S100a10
muc9268,Lgals1
muc9268,Clic4
muc9268,Insig2
muc9268,Mfge8
muc9268,Prr13
muc9268,Tnfrsf12a
muc9268,Nop58
muc9276,Plaur
muc9276,Basp1
muc9276,Nupr1
muc9276,Polk
muc9276,Sprr1a
muc9276,Tnip3
muc9276,Rap2b
muc9276,Hspb1
muc9276,Litaf
muc9276,Cald1
muc9276,Tpm2
muc9276,Mdm2
muc9276,Perp
muc9276,Ddit3
muc9276,Tuft1
muc9276,F3
muc9276,Gcnt2
muc9276,Ier5
muc9276,Gsto1
muc9276,Ppp1r15a
muc9276,Fn1
muc9276,1600029D21Rik
muc9276,Pmepa1
muc9276,Ifrd1
muc9276,Sqstm1
muc9276,Esd
muc9276,Capg
muc9276,Atf3
muc9276,Tuba1c
muc9276,AW112010
muc9276,Cast
muc9276,Uchl3
muc9276,Ddx27
muc9276,Cd44
muc9276,Gnl3
muc9276,Egr1
muc9276,Cdcp1
muc9276,Epcam
muc9276,Ctsl
muc9276,Rnf11
muc9276,S100a10
muc9276,Pno1
muc9276,Gadd45a
muc9276,Anxa8
muc9276,Polr2a
muc9276,Ly6a
muc9276,Fbxo6
muc9276,Las1l
muc9276,Rtn4
muc9276,2610002J02Rik
muc9277,Plaur
muc9277,Nupr1
muc9277,Sprr1a
muc9277,Emp1
muc9277,Tnip3
muc9277,Rap2b
muc9277,Tpm2
muc9277,Hspb1
muc9277,Ppp1r15a
muc9277,Mdm2
muc9277,Litaf
muc9277,Cald1
muc9277,F3
muc9277,Perp
muc9277,Ddit3
muc9277,Ifrd1
muc9277,Fn1
muc9277,Gcnt2
muc9277,Ier5
muc9277,Gsto1
muc9277,Pmepa1
muc9277,Tuft1
muc9277,AW112010
muc9277,1600029D21Rik
muc9277,Cast
muc9277,Mt2
muc9277,Sqstm1
muc9277,Esd
muc9277,Atf3
muc9277,Galnt3
muc9277,Anxa8
muc9277,Egr1
muc9277,Cd44
muc9277,Capg
muc9277,Gnl3
muc9277,Cdcp1
muc9277,Epcam
muc9277,Ctsl
muc9277,Ddx27
muc9277,Rnf11
muc9277,Gadd45a
muc9277,Ly6a
muc9277,Nop58
muc9277,Tpd52
muc9277,Tnfrsf12a
muc9277,Nop14
muc9277,Hspa9
muc9277,Marcks
muc9277,Tbc1d15
muc9277,S100a10
muc9280,Plaur
muc9280,Sprr1a
muc9280,Nupr1
muc9280,Mdm2
muc9280,Ddit3
muc9280,Tpm2
muc9280,Hspb1
muc9280,Cald1
muc9280,Perp
muc9280,Rap2b
muc9280,Tnip3
muc9280,F3
muc9280,Fn1
muc9280,Gcnt2
muc9280,Tuft1
muc9280,Ppp1r15a
muc9280,Gsto1
muc9280,Sqstm1
muc9280,1600029D21Rik
muc9280,Pmepa1
muc9280,Ifrd1
muc9280,Ier5
muc9280,Esd
muc9280,Litaf
muc9280,Anxa8
muc9280,Cast
muc9280,Capg
muc9280,Atf3
muc9280,Cd44
muc9280,Gnl3
muc9280,Ctsl
muc9280,Egr1
muc9280,Ddx27
muc9280,Arpc1b
muc9280,Cdcp1
muc9280,Pno1
muc9280,Gadd45a
muc9280,S100a10
muc9280,Galnt3
muc9280,Polr2a
muc9280,Ly6a
muc9280,Insig2
muc9280,AW112010
muc9280,Rbm34
muc9280,Leo1
muc9280,Nop14
muc9280,Hspa9
muc9280,Epcam
muc9280,Rnf11
muc9280,Hsph1
muc9283,Plaur
muc9283,Basp1
muc9283,Nupr1
muc9283,Polk
muc9283,Sprr1a
muc9283,Sema3c
muc9283,1600029D21Rik
muc9283,Hspb1
muc9283,Litaf
muc9283,Mdm2
muc9283,F3
muc9283,Cald1
muc9283,Ddit3
muc9283,Perp
muc9283,Rap2b
muc9283,Tnip3
muc9283,Fn1
muc9283,Gcnt2
muc9283,Ddx39
muc9283,Tuft1
muc9283,Ppp1r15a
muc9283,Gsto1
muc9283,Pmepa1
muc9283,Ifrd1
muc9283,Mt2
muc9283,Sqstm1
muc9283,Ier5
muc9283,Esd
muc9283,Cast
muc9283,Capg
muc9283,Atf3
muc9283,Egr1
muc9283,Cd44
muc9283,Uchl3
muc9283,Gnl3
muc9283,Tpm2
muc9283,Ctsl
muc9283,Stx3
muc9283,Rnf11
muc9283,S100a10
muc9283,Gadd45a
muc9283,Anxa8
muc9283,Ly6a
muc9283,Las1l
muc9283,Clic4
muc9283,Rtn4
muc9283,AW112010
muc9283,Prr13
muc9283,Rdh10
muc9283,Cdcp1
muc9285,Plaur
muc9285,Edn1
muc9285,Sprr1a
muc9285,Basp1
muc9285,Nupr1
muc9285,Emp1
muc9285,Sema3c
muc9285,Tnip3
muc9285,1600029D21Rik
muc9285,Rap2b
muc9285,Hspb1
muc9285,Ppp1r15a
muc9285,Ifrd1
muc9285,Mdm2
muc9285,Cald1
muc9285,Ddit3
muc9285,Tuft1
muc9285,F3
muc9285,Gsto1
muc9285,Pmepa1
muc9285,Gcnt2
muc9285,Fn1
muc9285,Perp
muc9285,Sqstm1
muc9285,AW112010
muc9285,Cast
muc9285,Esd
muc9285,Ier5
muc9285,Gclm
muc9285,Capg
muc9285,Atf3
muc9285,Litaf
muc9285,Galnt3
muc9285,Egr1
muc9285,Uchl3
muc9285,Tuba1c
muc9285,Gnl3
muc9285,Cd44
muc9285,Smim15
muc9285,Ctsl
muc9285,Arpc1b
muc9285,Gadd45a
muc9285,Tpm2
muc9285,Gnpda2
muc9285,Ly6a
muc9285,Rnf11
muc9285,S100a10
muc9285,Anxa8
muc9285,Polr2a
muc9285,Lgals1
muc9288,Plaur
muc9288,Edn1
muc9288,Nupr1
muc9288,Sprr1a
muc9288,Emp1
muc9288,Mdm2
muc9288,Tnip3
muc9288,Rap2b
muc9288,Hspb1
muc9288,Tpm2
muc9288,Litaf
muc9288,Ifrd1
muc9288,Cald1
muc9288,F3
muc9288,Ddit3
muc9288,Fn1
muc9288,Ier5
muc9288,Gsto1
muc9288,Pmepa1
muc9288,Gcnt2
muc9288,Tuft1
muc9288,Ppp1r15a
muc9288,Perp
muc9288,Sqstm1
muc9288,AW112010
muc9288,1600029D21Rik
muc9288,Cast
muc9288,Capg
muc9288,Mt2
muc9288,Esd
muc9288,Galnt3
muc9288,Anxa8
muc9288,Egr1
muc9288,Uchl3
muc9288,Ddx39
muc9288,Cd44
muc9288,Atf3
muc9288,Gnl3
muc9288,Ddx27
muc9288,Smim15
muc9288,Ctsl
muc9288,Gadd45a
muc9288,Ly6a
muc9288,Pno1
muc9288,Lgals1
muc9288,Las1l
muc9288,Insig2
muc9288,Rtn4
muc9288,Gclm
muc9288,Prr13
muc9294,Plaur
muc9294,Sprr1a
muc9294,Nupr1
muc9294,Ddit3
muc9294,Tnip3
muc9294,Hspb1
muc9294,Ppp1r15a
muc9294,1600029D21Rik
muc9294,Cald1
muc9294,Mdm2
muc9294,F3
muc9294,Rap2b
muc9294,Tuft1
muc9294,Fn1
muc9294,Ddx39
muc9294,Gsto1
muc9294,Litaf
muc9294,Ier5
muc9294,Gcnt2
muc9294,Sema3c
muc9294,Perp
muc9294,Pmepa1
muc9294,Ifrd1
muc9294,Cast
muc9294,Capg
muc9294,Tuba1c
muc9294,Sqstm1
muc9294,Esd
muc9294,Atf3
muc9294,Galnt3
muc9294,Cd44
muc9294,Gnl3
muc9294,Marcks
muc9294,Smim15
muc9294,Ctsl
muc9294,Egr1
muc9294,Arpc1b
muc9294,Tpm2
muc9294,Gnpda2
muc9294,Epcam
muc9294,Ly6a
muc9294,Gadd45a
muc9294,Anxa8
muc9294,Lgals1
muc9294,Cdcp1
muc9294,Las1l
muc9294,Fbxo6
muc9294,Clic4
muc9294,AW112010
muc9294,Mfge8
muc9296,Plaur
muc9296,Sprr1a
muc9296,Nupr1
muc9296,Mdm2
muc9296,1600029D21Rik
muc9296,Ddit3
muc9296,Rap2b
muc9296,Hspb1
muc9296,Ifrd1
muc9296,Cald1
muc9296,Perp
muc9296,Tnip3
muc9296,F3
muc9296,Ier5
muc9296,Pmepa1
muc9296,Gcnt2
muc9296,Tuft1
muc9296,Ppp1r15a
muc9296,Fn1
muc9296,Gsto1
muc9296,Sqstm1
muc9296,Gclm
muc9296,Esd
muc9296,Litaf
muc9296,Cast
muc9296,Anxa8
muc9296,Cd44
muc9296,Tuba1c
muc9296,Gnl3
muc9296,Capg
muc9296,Atf3
muc9296,Ddx27
muc9296,Egr1
muc9296,Gadd45a
muc9296,Tpm2
muc9296,Epcam
muc9296,Ctsl
muc9296,Pno1
muc9296,Ly6a
muc9296,AW112010
muc9296,Mfge8
muc9296,Cdcp1
muc9296,Psmc6
muc9296,Tbc1d15
muc9296,Rtn4
muc9296,Tpd52
muc9296,Leo1
muc9296,Nop14
muc9296,Insig2
muc9296,Hsp90aa1
