unit,state,cells,total_counts
muc9268,AT1,42,40631.0
muc9268,AT2,189,182087.0
muc9268,Krt8+ ADI,93,113231.0
muc9276,AT1,60,86901.0
muc9276,AT2,269,349882.0
muc9276,Krt8+ ADI,82,122885.0
muc9277,AT1,40,61080.0
muc9277,AT2,45,49303.0
muc9277,Krt8+ ADI,98,130995.0
muc9280,AT1,50,86421.0
muc9280,AT2,380,528461.0
muc9280,Krt8+ ADI,59,119961.0
muc9283,AT1,40,45280.0
muc9283,AT2,169,152573.0
muc9283,Krt8+ ADI,87,85193.0
muc9285,AT1,66,52539.0
muc9285,AT2,374,272120.0
muc9285,Krt8+ ADI,84,73240.0
muc9288,AT1,98,106951.0
muc9288,AT2,189,189851.0
muc9288,Krt8+ ADI,116,119863.0
muc9294,AT1,62,70885.0
muc9294,AT2,347,358001.0
muc9294,Krt8+ ADI,109,128252.0
muc9296,AT1,70,74510.0
muc9296,AT2,167,163980.0
muc9296,Krt8+ ADI,78,99260.0
