unit,state,cells,median_umi,median_genes,median_mito_fraction
muc9268,AT1,42,913.0,607.5,0.01371653
muc9268,AT2,189,859.0,460.0,0.0074280407
muc9268,AT2 activated,51,1097.0,574.0,0.0061919503
muc9268,Basal,12,1076.5,721.5,0.008081779
muc9268,Ciliated,159,1003.0,765.0,0.013630731
muc9268,Ciliated activated,99,949.0,700.0,0.009756098
muc9268,Club,133,1161.0,488.0,0.016793894
muc9268,Club activated,30,1398.5,479.0,0.014495611
muc9268,Club to ciliated,29,1553.0,885.0,0.015
muc9268,Goblet,46,1436.0,583.0,0.011327321
muc9268,Krt8+ ADI,93,993.0,731.0,0.009541985
muc9268,MHC-II+ Club,47,1313.0,717.0,0.011599006
muc9268,Mki67+ Proliferation,40,1109.0,668.0,0.01110679
muc9268,Neuroendocrine,2,909.5,587.5,0.018480092
muc9276,AT1,60,1145.5,789.0,0.005922557
muc9276,AT2,269,1134.0,586.0,0.0025500911
muc9276,AT2 activated,60,1159.5,619.0,0.003653835
muc9276,Basal,6,1036.0,730.5,0.014513025
muc9276,Ciliated,169,1249.0,889.0,0.012345679
muc9276,Ciliated activated,57,1210.0,848.0,0.009460738
muc9276,Club,256,1359.5,513.0,0.012950323
muc9276,Club activated,52,1203.5,413.0,0.012321137
muc9276,Club to ciliated,82,1852.5,914.0,0.013003431
muc9276,Goblet,51,1662.0,612.0,0.012611276
muc9276,Krt8+ ADI,82,1242.5,818.0,0.0059015197
muc9276,MHC-II+ Club,68,1404.5,693.5,0.007838993
muc9276,Mki67+ Proliferation,60,1586.5,868.5,0.0070505408
muc9276,Neuroendocrine,1,1035.0,811.0,0.018357487
muc9277,AT1,40,1166.5,787.0,0.007874746
muc9277,AT2,45,976.0,505.0,0.0033112583
muc9277,AT2 activated,10,966.0,549.0,0.0039864215
muc9277,Basal,11,1104.0,692.0,0.0077220076
muc9277,Ciliated,228,1142.5,825.0,0.00836531
muc9277,Ciliated activated,109,1223.0,867.0,0.0049525383
muc9277,Club,125,1109.0,567.0,0.011749348
muc9277,Club activated,1,905.0,426.0,0.024309393
muc9277,Club to ciliated,24,1747.0,925.5,0.009049322
muc9277,Goblet,41,1228.0,582.0,0.009933775
muc9277,Krt8+ ADI,98,1176.0,785.5,0.0055093807
muc9277,MHC-II+ Club,50,1221.0,688.5,0.005758078
muc9277,Mki67+ Proliferation,19,1207.0,877.0,0.0071702944
muc9277,Neuroendocrine,4,979.0,698.0,0.009438114
muc9280,AT1,50,1509.5,867.0,0.008734082
muc9280,AT2,380,1213.0,607.5,0.0042355834
muc9280,AT2 activated,38,1368.5,694.0,0.003274093
muc9280,Basal,14,1388.0,880.0,0.010629317
muc9280,Ciliated,128,1540.0,987.5,0.010563245
muc9280,Ciliated activated,23,1710.0,1063.0,0.005612245
muc9280,Club,121,1588.0,611.0,0.015332198
muc9280,Club activated,4,1271.0,594.0,0.0026972536
muc9280,Club to ciliated,24,2829.0,1228.5,0.012466103
muc9280,Goblet,36,2056.5,836.5,0.012623144
muc9280,Krt8+ ADI,59,1579.0,939.0,0.0030549897
muc9280,MHC-II+ Club,28,1653.0,792.5,0.0058016526
muc9280,Mki67+ Proliferation,76,1394.0,767.0,0.0035063378
muc9280,Neuroendocrine,1,1419.0,1013.0,0.0
muc9283,AT1,40,1001.0,660.0,0.009580284
muc9283,AT2,169,809.0,408.0,0.0031298904
muc9283,AT2 activated,37,820.0,438.0,0.005226481
muc9283,Basal,6,614.0,470.0,0.01751491
muc9283,Ciliated,130,934.5,692.5,0.010710632
muc9283,Ciliated activated,73,923.0,648.0,0.00890472
muc9283,Club,93,1005.0,427.0,0.014519056
muc9283,Club activated,17,915.0,331.0,0.013468013
muc9283,Club to ciliated,3,1268.0,600.0,0.018138802
muc9283,Goblet,60,1086.0,486.0,0.012177456
muc9283,Krt8+ ADI,87,832.0,608.0,0.00877193
muc9283,MHC-II+ Club,55,1071.0,587.0,0.010664479
muc9283,Mki67+ Proliferation,24,1310.0,733.5,0.007147516
muc9283,Neuroendocrine,3,1071.0,778.0,0.005602241
muc9285,AT1,66,712.0,528.5,0.008708732
muc9285,AT2,374,650.0,359.5,0.0050943084
muc9285,AT2 activated,29,677.0,390.0,0.0058900523
muc9285,Basal,3,1268.0,611.0,0.011347517
muc9285,Ciliated,211,727.0,555.0,0.00990099
muc9285,Ciliated activated,56,835.5,591.5,0.008758504
muc9285,Club,177,776.0,373.0,0.014789534
muc9285,Club activated,19,870.0,338.0,0.012178619
muc9285,Club to ciliated,51,1060.0,560.0,0.0115440115
muc9285,Goblet,64,867.5,389.0,0.010197255
muc9285,Krt8+ ADI,84,755.5,563.5,0.0067228107
muc9285,MHC-II+ Club,94,844.0,491.5,0.009227918
muc9285,Mki67+ Proliferation,14,952.5,621.0,0.0043151956
muc9285,Neuroendocrine,5,579.0,466.0,0.01002004
muc9288,AT1,98,934.5,619.5,0.0064093876
muc9288,AT2,189,856.0,456.0,0.0025773195
muc9288,AT2 activated,40,946.5,519.0,0.004205727
muc9288,Basal,9,877.0,612.0,0.010294118
muc9288,Ciliated,208,979.5,723.0,0.007377887
muc9288,Ciliated activated,44,1050.0,782.5,0.0027165837
muc9288,Club,200,1008.0,468.5,0.015448254
muc9288,Club activated,15,1585.0,773.0,0.01400934
muc9288,Club to ciliated,24,1859.0,911.0,0.013414849
muc9288,Goblet,57,1202.0,570.0,0.01335708
muc9288,Krt8+ ADI,116,888.0,622.5,0.004945928
muc9288,MHC-II+ Club,37,1286.0,719.0,0.0030165913
muc9288,Mki67+ Proliferation,92,1330.5,746.5,0.0047136024
muc9288,Neuroendocrine,4,719.5,577.5,0.0063166153
muc9294,AT1,62,934.5,618.5,0.011175353
muc9294,AT2,347,896.0,448.0,0.0038610038
muc9294,AT2 activated,58,957.0,532.5,0.00607713
muc9294,Basal,3,657.0,500.0,0.012093727
muc9294,Ciliated,150,1091.5,816.5,0.013181387
muc9294,Ciliated activated,81,1067.0,790.0,0.011455526
muc9294,Club,89,1203.0,483.0,0.015625
muc9294,Club activated,15,1388.0,462.0,0.01902497
muc9294,Club to ciliated,14,1764.5,914.5,0.017558334
muc9294,Goblet,34,1412.5,627.0,0.013880739
muc9294,Krt8+ ADI,109,1025.0,696.0,0.00754717
muc9294,MHC-II+ Club,57,1961.0,974.0,0.010791367
muc9294,Mki67+ Proliferation,45,1175.0,674.0,0.006049607
muc9294,Neuroendocrine,3,750.0,601.0,0.012355848
muc9296,AT1,70,950.5,660.0,0.012965999
muc9296,AT2,167,915.0,466.0,0.0070588235
muc9296,AT2 activated,64,899.5,511.5,0.007104947
muc9296,Basal,6,820.0,595.0,0.017357618
muc9296,Ciliated,132,904.5,666.5,0.011094771
muc9296,Ciliated activated,66,1084.0,775.0,0.008170491
muc9296,Club,86,1142.0,524.5,0.016701935
muc9296,Club activated,11,1098.0,467.0,0.015117158
muc9296,Club to ciliated,15,1253.0,718.0,0.016934047
muc9296,Goblet,42,1050.0,474.0,0.014950282
muc9296,Krt8+ ADI,78,906.5,629.5,0.009543566
muc9296,MHC-II+ Club,71,2479.0,1145.0,0.009784736
muc9296,Mki67+ Proliferation,100,1183.0,613.0,0.0070522
muc9296,Neuroendocrine,5,616.0,492.0,0.027855154
