accession,gsm,title,organism,age,time,experiment,cell_type,characteristics_json,supplementary_files_json
GSE141259,GSM4200035,hires_d36_1 [muc9265],Mus musculus,,day36,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day36"", ""number of cells"": ""1089"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200036,hires_d7_1 [muc9267],Mus musculus,,day7,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day7"", ""number of cells"": ""728"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200037,hires_d11_1 [muc9268],Mus musculus,,day11,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day11"", ""number of cells"": ""972"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200038,hires_d9_1 [muc9269],Mus musculus,,day9,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day9"", ""number of cells"": ""686"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200039,hires_d8_1 [muc9270],Mus musculus,,day8,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day8"", ""number of cells"": ""598"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200040,hires_d0_1 [muc9271],Mus musculus,,day0,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day0"", ""number of cells"": ""1042"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200041,hires_d7_2 [muc9272],Mus musculus,,day7,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day7"", ""number of cells"": ""774"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200042,hires_d3_1 [muc9273],Mus musculus,,day3,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day3"", ""number of cells"": ""1165"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200043,hires_d2_1 [muc9274],Mus musculus,,day2,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day2"", ""number of cells"": ""1295"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200044,hires_d4_1 [muc9275],Mus musculus,,day4,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day4"", ""number of cells"": ""1223"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200045,hires_d15_1 [muc9276],Mus musculus,,day15,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day15"", ""number of cells"": ""1273"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200046,hires_d11_2 [muc9277],Mus musculus,,day11,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day11"", ""number of cells"": ""806"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200047,hires_d5_1 [muc9278],Mus musculus,,day5,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day5"", ""number of cells"": ""1248"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200048,hires_d54_1 [muc9279],Mus musculus,,day54,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day54"", ""number of cells"": ""879"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200049,hires_d15_2 [muc9280],Mus musculus,,day15,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day15"", ""number of cells"": ""982"", ""tissue"": ""Lung epithelium""}",[]
GSE141259,GSM4200050,hires_d36_2 [muc9281],Mus musculus,,day36,high_resolution,,"{""experiment"": ""high_resolution"", ""injury timecourse"": ""day36"", ""number of cells"": ""1144"", ""tissue"": ""Lung epithelium""}",[]
