role	unit	state	cells	median_library_total	cells_at_500
D1	D10-E1	control	29	677.0	28
D1	D10-E1	destination	66	712.0	62
D1	D10-E1	intermediate	84	755.5	84
D1	D10-E1	start	374	650.0	347
D1	D11-E1	control	10	966.0	10
D1	D11-E1	destination	40	1166.5	40
D1	D11-E1	intermediate	98	1176.0	98
D1	D11-E1	start	45	976.0	45
D1	D11-E2	control	51	1097.0	51
D1	D11-E2	destination	42	913.0	42
D1	D11-E2	intermediate	93	993.0	93
D1	D11-E2	start	189	859.0	189
D1	D12-E1	control	58	957.0	58
D1	D12-E1	destination	62	934.5	62
D1	D12-E1	intermediate	109	1025.0	109
D1	D12-E1	start	347	896.0	347
D1	D12-E2	control	37	820.0	37
D1	D12-E2	destination	40	1001.0	40
D1	D12-E2	intermediate	87	832.0	87
D1	D12-E2	start	169	809.0	169
D1	D13-E1	control	40	946.5	40
D1	D13-E1	destination	98	934.5	98
D1	D13-E1	intermediate	116	888.0	116
D1	D13-E1	start	189	856.0	189
D1	D13-E2	control	64	899.5	64
D1	D13-E2	destination	70	950.5	70
D1	D13-E2	intermediate	78	906.5	78
D1	D13-E2	start	167	915.0	167
D1	D15-E1	control	38	1368.5	38
D1	D15-E1	destination	50	1509.5	50
D1	D15-E1	intermediate	59	1579.0	59
D1	D15-E1	start	380	1213.0	380
D1	D15-E2	control	60	1159.5	60
D1	D15-E2	destination	60	1145.5	60
D1	D15-E2	intermediate	82	1242.5	82
D1	D15-E2	start	269	1134.0	269
D2	donor11	destination	60	15543.5	60
D2	donor11	intermediate	101	13713.0	101
D2	donor11	start	69	13341.0	69
D2	donor12	destination	46	9427.5	46
D2	donor12	intermediate	78	15190.5	78
D2	donor12	start	68	15953.5	68
D2	donor14	destination	59	13282.0	59
D2	donor14	intermediate	58	17621.5	58
D2	donor14	start	177	21603.0	177
D2	donor15	destination	45	13403.0	45
D2	donor15	intermediate	66	18208.5	66
D2	donor15	start	94	18220.0	94
D2	donor16	destination	70	7905.5	70
D2	donor16	intermediate	46	11162.5	46
D2	donor16	start	88	10602.5	88
D2	donor17	destination	158	19191.0	158
D2	donor17	intermediate	422	24178.5	422
D2	donor17	start	212	22152.0	212
D2	donor3	destination	71	5818.0	71
D2	donor3	intermediate	91	7503.0	91
D2	donor3	start	58	9586.0	58
D2	donor4	destination	69	10269.0	69
D2	donor4	intermediate	77	15643.0	77
D2	donor4	start	52	16052.5	52
D2	donor5	destination	300	12314.0	300
D2	donor5	intermediate	144	22023.0	144
D2	donor5	start	124	27380.0	124
D2	donor6	destination	191	16314.0	191
D2	donor6	intermediate	136	22112.0	136
D2	donor6	start	142	22441.0	142
D2	donor8	destination	65	5215.0	65
D2	donor8	intermediate	54	6836.5	54
D2	donor8	start	69	7519.0	69
V1	Control-Mouse1	destination	36	4319.5	36
V1	Control-Mouse1	intermediate	35	3704.0	35
V1	Control-Mouse1	start	200	3200.5	200
V1	Control-Mouse3	destination	94	6046.0	94
V1	Control-Mouse3	intermediate	53	4668.0	53
V1	Control-Mouse3	start	227	4406.0	227
V1	Control-Mouse4	destination	161	6973.0	161
V1	Control-Mouse4	intermediate	72	6677.5	72
V1	Control-Mouse4	start	135	4597.0	135
