role	unit	state	cells	pseudobulk_total
D1	D10-E1	start	374	272120
D1	D10-E1	intermediate	84	73240
D1	D10-E1	destination	66	52539
D1	D11-E1	start	45	49303
D1	D11-E1	intermediate	98	130995
D1	D11-E1	destination	40	61080
D1	D11-E2	start	189	182087
D1	D11-E2	intermediate	93	113231
D1	D11-E2	destination	42	40631
D1	D12-E1	start	347	358001
D1	D12-E1	intermediate	109	128252
D1	D12-E1	destination	62	70885
D1	D12-E2	start	169	152573
D1	D12-E2	intermediate	87	85193
D1	D12-E2	destination	40	45280
D1	D13-E1	start	189	189851
D1	D13-E1	intermediate	116	119863
D1	D13-E1	destination	98	106951
D1	D13-E2	start	167	163980
D1	D13-E2	intermediate	78	99260
D1	D13-E2	destination	70	74510
D1	D15-E1	start	380	528461
D1	D15-E1	intermediate	59	119961
D1	D15-E1	destination	50	86421
D1	D15-E2	start	269	349882
D1	D15-E2	intermediate	82	122885
D1	D15-E2	destination	60	86901
D2	donor11	start	69	1008940
D2	donor11	intermediate	101	1484511
D2	donor11	destination	60	903166
D2	donor12	start	68	1066557
D2	donor12	intermediate	78	1180250
D2	donor12	destination	46	491312
D2	donor14	start	177	3671952
D2	donor14	intermediate	58	1011432
D2	donor14	destination	59	857138
D2	donor15	start	94	1610682
D2	donor15	intermediate	66	1121487
D2	donor15	destination	45	644129
D2	donor16	start	88	1018734
D2	donor16	intermediate	46	580812
D2	donor16	destination	70	635721
D2	donor17	start	212	4887300
D2	donor17	intermediate	422	10288863
D2	donor17	destination	158	3306629
D2	donor3	start	58	557572
D2	donor3	intermediate	91	695298
D2	donor3	destination	71	430755
D2	donor4	start	52	887311
D2	donor4	intermediate	77	1228013
D2	donor4	destination	69	821293
D2	donor5	start	124	3116815
D2	donor5	intermediate	144	3135185
D2	donor5	destination	300	4681453
D2	donor6	start	142	3570478
D2	donor6	intermediate	136	3326301
D2	donor6	destination	191	3815988
D2	donor8	start	69	491870
D2	donor8	intermediate	54	369158
D2	donor8	destination	65	389307
