role	unit	endpoint	difference
D1	D10-E1	start	0.028147644797977156
D1	D10-E1	destination	0.02206848903181946
D1	D11-E1	start	0.042393195126770977
D1	D11-E1	destination	0.028735614357908945
D1	D11-E2	start	0.042215228122601034
D1	D11-E2	destination	0.029144050634253515
D1	D12-E1	start	0.0308324965907113
D1	D12-E1	destination	0.021192311493028693
D1	D12-E2	start	0.029324186860728241
D1	D12-E2	destination	0.019109395237670079
D1	D13-E1	start	0.035750327352518596
D1	D13-E1	destination	0.025151617789122671
D1	D13-E2	start	0.039359020526677391
D1	D13-E2	destination	0.031110477012202487
D1	D15-E1	start	0.054604859883362389
D1	D15-E1	destination	0.041073879001476854
D1	D15-E2	start	0.037170079454033278
D1	D15-E2	destination	0.027348780487804869
D2	donor11	start	0.10839012533132364
D2	donor11	destination	0.053603259467448039
D2	donor12	start	0.063849286259934468
D2	donor12	destination	0.084534558200424548
D2	donor14	start	0.031940206133753368
D2	donor14	destination	0.037911577323606394
D2	donor15	start	0.049280878934184313
D2	donor15	destination	0.050361916838793541
D2	donor16	start	0.033167443226578608
D2	donor16	destination	0.03651517049930586
D2	donor17	start	0.096224856372111089
D2	donor17	destination	0.064086797313432253
D2	donor3	start	0.018439818073687886
D2	donor3	destination	0.024465905274348665
D2	donor4	start	0.042933129424501448
D2	donor4	destination	0.055337833341209675
D2	donor5	start	0.00014270988925679795
D2	donor5	destination	0.013055811283673613
D2	donor6	start	-0.0016951892290657522
D2	donor6	destination	0.0024324070430180589
D2	donor8	start	0.029085963800766668
D2	donor8	destination	0.022531678256872523
V1	Control-Mouse1	start	0.0075282916307161107
V1	Control-Mouse1	destination	0.0040645479819767516
V1	Control-Mouse3	start	0.0026936437355641329
V1	Control-Mouse3	destination	-0.0009140661342003642
V1	Control-Mouse4	start	-0.0011215247819000851
V1	Control-Mouse4	destination	-0.0049446332777774993
