role	unit	state	cells	programme_score
D1	D10-E1	control	29	0.50653509267799235
D1	D10-E1	destination	66	0.51313686040735218
D1	D10-E1	intermediate	84	0.53520534943917164
D1	D10-E1	start	374	0.50705770464119448
D1	D11-E1	control	10	0.50577955133735963
D1	D11-E1	destination	40	0.51509838222605686
D1	D11-E1	intermediate	98	0.54383399658396581
D1	D11-E1	start	45	0.50144080145719483
D1	D11-E2	control	51	0.50921325009727791
D1	D11-E2	destination	42	0.51646881548132628
D1	D11-E2	intermediate	93	0.5456128661155798
D1	D11-E2	start	189	0.50339763799297876
D1	D12-E1	control	58	0.50404299187765911
D1	D12-E1	destination	62	0.51291992540844444
D1	D12-E1	intermediate	109	0.53411223690147314
D1	D12-E1	start	347	0.50327974031076184
D1	D12-E2	control	37	0.50539696383182153
D1	D12-E2	destination	40	0.51383179465056095
D1	D12-E2	intermediate	87	0.53294118988823103
D1	D12-E2	start	169	0.50361700302750279
D1	D13-E1	control	40	0.50828410267471968
D1	D13-E1	destination	98	0.51308148298145839
D1	D13-E1	intermediate	116	0.53823310077058106
D1	D13-E1	start	189	0.50248277341806247
D1	D13-E2	control	64	0.50394988945211394
D1	D13-E2	destination	70	0.51373033403180091
D1	D13-E2	intermediate	78	0.54484081104400339
D1	D13-E2	start	167	0.505481790517326
D1	D15-E1	control	38	0.51449959129921441
D1	D15-E1	destination	50	0.52034350301984478
D1	D15-E1	intermediate	59	0.56141738202132163
D1	D15-E1	start	380	0.50681252213795924
D1	D15-E2	control	60	0.50467706356054076
D1	D15-E2	destination	60	0.51627851596203622
D1	D15-E2	intermediate	82	0.54362729644984109
D1	D15-E2	start	269	0.50645721699580781
D2	donor11	destination	60	0.60668597929249346
D2	donor11	intermediate	101	0.6602892387599415
D2	donor11	start	69	0.55189911342861786
D2	donor12	destination	46	0.54212567055557648
D2	donor12	intermediate	78	0.62666022875600103
D2	donor12	start	68	0.56281094249606656
D2	donor14	destination	59	0.49810530702973044
D2	donor14	intermediate	58	0.53601688435333683
D2	donor14	start	177	0.50407667821958346
D2	donor15	destination	45	0.57770950052727443
D2	donor15	intermediate	66	0.62807141736606797
D2	donor15	start	94	0.57879053843188366
D2	donor16	destination	70	0.53317230371009494
D2	donor16	intermediate	46	0.5696874742094008
D2	donor16	start	88	0.53652003098282219
D2	donor17	destination	158	0.612643150467994
D2	donor17	intermediate	422	0.67672994778142626
D2	donor17	start	212	0.58050509140931517
D2	donor3	destination	71	0.53565743902587226
D2	donor3	intermediate	91	0.56012334430022093
D2	donor3	start	58	0.54168352622653304
D2	donor4	destination	69	0.54336429455677682
D2	donor4	intermediate	77	0.59870212789798649
D2	donor4	start	52	0.55576899847348504
D2	donor5	destination	300	0.56873794650560827
D2	donor5	intermediate	144	0.58179375778928188
D2	donor5	start	124	0.58165104790002509
D2	donor6	destination	191	0.55856430665540346
D2	donor6	intermediate	136	0.56099671369842152
D2	donor6	start	142	0.56269190292748728
D2	donor8	destination	65	0.51410844892812102
D2	donor8	intermediate	54	0.53664012718499354
D2	donor8	start	69	0.50755416338422688
V1	Control-Mouse1	destination	36	0.49670266513277728
V1	Control-Mouse1	intermediate	35	0.50076721311475403
V1	Control-Mouse1	start	200	0.49323892148403792
V1	Control-Mouse3	destination	94	0.49782374754465514
V1	Control-Mouse3	intermediate	53	0.49690968141045477
V1	Control-Mouse3	start	227	0.49421603767489064
V1	Control-Mouse4	destination	161	0.50104590592661269
V1	Control-Mouse4	intermediate	72	0.49610127264883519
V1	Control-Mouse4	start	135	0.49722279743073527
