batch,Endocrine,Enterocyte.Immature.Distal,Enterocyte.Immature.Proximal,Enterocyte.Mature.Distal,Enterocyte.Mature.Proximal,Enterocyte.Progenitor,Enterocyte.Progenitor.Early,Enterocyte.Progenitor.Late,Goblet,Paneth,Stem,TA.Early,TA.G1,TA.G2,Tuft
B1,71,109,62,21,75,87,139,99,107,67,228,136,75,63,46
B10,8,29,7,16,67,6,45,26,9,6,48,14,17,21,7
B2,68,103,60,12,56,88,126,73,99,74,209,122,65,67,28
B3,39,62,32,42,36,42,88,35,38,39,200,94,37,38,18
B4,5,12,10,17,26,3,17,4,19,2,36,13,10,21,5
B5,16,32,6,20,17,13,36,12,12,15,62,37,12,21,5
B6,2,3,2,5,8,2,10,2,9,6,15,2,2,5,2
B7,46,59,65,29,94,66,171,53,121,18,227,117,90,70,32
B8,28,74,28,59,161,22,104,72,37,17,135,77,51,69,8
B9,27,29,25,20,41,27,93,28,59,16,107,53,49,35,15
