gsm	library_name	title	cell type	genotype	batch
GSM9215859	1-1_B02_MET	lung alveolar organoid, Met knockout, plate1-1 well B02	lung mouse alveolar type 2 cells and primary human fibroblasts	Met CRISPR/Cas9 knockout	plate1-1
GSM9215860	1-1_B03_GLIS3	lung alveolar organoid, Glis3 knockout, plate1-1 well B03	lung mouse alveolar type 2 cells and primary human fibroblasts	Glis3 CRISPR/Cas9 knockout	plate1-1
GSM9215861	1-1_B04_TIGIT	lung alveolar organoid, Tigit knockout, plate1-1 well B04	lung mouse alveolar type 2 cells and primary human fibroblasts	Tigit CRISPR/Cas9 knockout	plate1-1
GSM9215862	1-1_B05_TDTOMATO	lung alveolar organoid, Tdtomato knockout, plate1-1 well B05	lung mouse alveolar type 2 cells and primary human fibroblasts	Tdtomato CRISPR/Cas9 knockout	plate1-1
GSM9215863	1-1_B06_TRP53	lung alveolar organoid, Trp53 knockout, plate1-1 well B06	lung mouse alveolar type 2 cells and primary human fibroblasts	Trp53 CRISPR/Cas9 knockout	plate1-1
GSM9215864	1-1_B07_ACP6	lung alveolar organoid, Acp6 knockout, plate1-1 well B07	lung mouse alveolar type 2 cells and primary human fibroblasts	Acp6 CRISPR/Cas9 knockout	plate1-1
GSM9215865	1-1_B08_PINK1	lung alveolar organoid, Pink1 knockout, plate1-1 well B08	lung mouse alveolar type 2 cells and primary human fibroblasts	Pink1 CRISPR/Cas9 knockout	plate1-1
GSM9215866	1-1_B09_EIF2AK3	lung alveolar organoid, Eif2ak3 knockout, plate1-1 well B09	lung mouse alveolar type 2 cells and primary human fibroblasts	Eif2ak3 CRISPR/Cas9 knockout	plate1-1
GSM9215867	1-1_B10_CCBE1	lung alveolar organoid, Ccbe1 knockout, plate1-1 well B10	lung mouse alveolar type 2 cells and primary human fibroblasts	Ccbe1 CRISPR/Cas9 knockout	plate1-1
GSM9215868	1-1_B11_GDF2	lung alveolar organoid, Gdf2 knockout, plate1-1 well B11	lung mouse alveolar type 2 cells and primary human fibroblasts	Gdf2 CRISPR/Cas9 knockout	plate1-1
GSM9215869	1-1_C02_TEAD1	lung alveolar organoid, Tead1 knockout, plate1-1 well C02	lung mouse alveolar type 2 cells and primary human fibroblasts	Tead1 CRISPR/Cas9 knockout	plate1-1
GSM9215870	1-1_C03_MECOM	lung alveolar organoid, Mecom knockout, plate1-1 well C03	lung mouse alveolar type 2 cells and primary human fibroblasts	Mecom CRISPR/Cas9 knockout	plate1-1
GSM9215871	1-1_C04_HUWE1	lung alveolar organoid, Huwe1 knockout, plate1-1 well C04	lung mouse alveolar type 2 cells and primary human fibroblasts	Huwe1 CRISPR/Cas9 knockout	plate1-1
GSM9215872	1-1_C05_SFTPD	lung alveolar organoid, Sftpd knockout, plate1-1 well C05	lung mouse alveolar type 2 cells and primary human fibroblasts	Sftpd CRISPR/Cas9 knockout	plate1-1
GSM9215873	1-1_C06_TRP63	lung alveolar organoid, Trp63 knockout, plate1-1 well C06	lung mouse alveolar type 2 cells and primary human fibroblasts	Trp63 CRISPR/Cas9 knockout	plate1-1
GSM9215874	1-1_C07_IL1A	lung alveolar organoid, Il1a knockout, plate1-1 well C07	lung mouse alveolar type 2 cells and primary human fibroblasts	Il1a CRISPR/Cas9 knockout	plate1-1
GSM9215875	1-1_C08_PRKN	lung alveolar organoid, Prkn knockout, plate1-1 well C08	lung mouse alveolar type 2 cells and primary human fibroblasts	Prkn CRISPR/Cas9 knockout	plate1-1
GSM9215876	1-1_C09_TIGIT	lung alveolar organoid, Tigit knockout, plate1-1 well C09	lung mouse alveolar type 2 cells and primary human fibroblasts	Tigit CRISPR/Cas9 knockout	plate1-1
GSM9215877	1-1_C10_BMP10	lung alveolar organoid, Bmp10 knockout, plate1-1 well C10	lung mouse alveolar type 2 cells and primary human fibroblasts	Bmp10 CRISPR/Cas9 knockout	plate1-1
GSM9215878	1-1_C11_PLA2G15	lung alveolar organoid, Pla2g15 knockout, plate1-1 well C11	lung mouse alveolar type 2 cells and primary human fibroblasts	Pla2g15 CRISPR/Cas9 knockout	plate1-1
GSM9215879	1-1_D02_ROR1	lung alveolar organoid, Ror1 knockout, plate1-1 well D02	lung mouse alveolar type 2 cells and primary human fibroblasts	Ror1 CRISPR/Cas9 knockout	plate1-1
GSM9215880	1-1_D03_NPNT	lung alveolar organoid, Npnt knockout, plate1-1 well D03	lung mouse alveolar type 2 cells and primary human fibroblasts	Npnt CRISPR/Cas9 knockout	plate1-1
GSM9215881	1-1_D04_RNF43	lung alveolar organoid, Rnf43 knockout, plate1-1 well D04	lung mouse alveolar type 2 cells and primary human fibroblasts	Rnf43 CRISPR/Cas9 knockout	plate1-1
GSM9215882	1-1_D05_TNS1	lung alveolar organoid, Tns1 knockout, plate1-1 well D05	lung mouse alveolar type 2 cells and primary human fibroblasts	Tns1 CRISPR/Cas9 knockout	plate1-1
GSM9215883	1-1_D06_TTF1	lung alveolar organoid, Ttf1 knockout, plate1-1 well D06	lung mouse alveolar type 2 cells and primary human fibroblasts	Ttf1 CRISPR/Cas9 knockout	plate1-1
GSM9215884	1-1_D07_TIGIT	lung alveolar organoid, Tigit knockout, plate1-1 well D07	lung mouse alveolar type 2 cells and primary human fibroblasts	Tigit CRISPR/Cas9 knockout	plate1-1
GSM9215885	1-1_D08_KEAP1	lung alveolar organoid, Keap1 knockout, plate1-1 well D08	lung mouse alveolar type 2 cells and primary human fibroblasts	Keap1 CRISPR/Cas9 knockout	plate1-1
GSM9215886	1-1_D09_TFEB	lung alveolar organoid, Tfeb knockout, plate1-1 well D09	lung mouse alveolar type 2 cells and primary human fibroblasts	Tfeb CRISPR/Cas9 knockout	plate1-1
GSM9215887	1-1_D10_FGF7	lung alveolar organoid, Fgf7 knockout, plate1-1 well D10	lung mouse alveolar type 2 cells and primary human fibroblasts	Fgf7 CRISPR/Cas9 knockout	plate1-1
