plate	gene_name	layout_rows	unique_guide_sequences	guide_tuple_count
plate1	Acp6	1	3	1
plate1	Ager	1	3	1
plate1	Atg16l1	1	3	1
plate1	Becn1	1	3	1
plate1	Bmp10	1	3	1
plate1	Cacna2d3	1	3	1
plate1	Ccbe1	1	3	1
plate1	Chrm3	1	3	1
plate1	Eif2ak3	1	3	1
plate1	Eif2b1	1	3	1
plate1	Ern1	1	3	1
plate1	Fam13a	1	3	1
plate1	Fgf7	1	3	1
plate1	Gdf2	1	3	1
plate1	Glis3	1	3	1
plate1	Hhip	1	3	1
plate1	Huwe1	1	3	1
plate1	Il1a	2	3	1
plate1	Inhba	1	3	1
plate1	Keap1	1	3	1
plate1	Manf	1	3	1
plate1	Mecom	1	3	1
plate1	Met	1	3	1
plate1	Nfe2l2	1	3	1
plate1	Nkx2-1	1	3	1
plate1	Npnt	1	3	1
plate1	Nr1d1	1	3	1
plate1	Nr1d2	1	3	1
plate1	Pid1	1	3	1
plate1	Pink1	1	3	1
plate1	Pla2g15	1	3	1
plate1	Prkn	1	3	1
plate1	Rad21	1	3	1
plate1	Rbms3	1	3	1
plate1	Rnf43	1	3	1
plate1	Ror1	1	3	1
plate1	Serpina1a	1	1	1
plate1	Sftpd	1	3	1
plate1	Sox4	1	3	1
plate1	Tead1	1	3	1
plate1	Terf1	1	3	1
plate1	Tfcp2l1	1	3	1
plate1	Tfeb	1	3	1
plate1	Tigit	6	3	1
plate1	Tns1	1	3	1
plate1	Trp53	1	3	1
plate1	Trp63	1	3	1
plate1	Ttf1	1	3	1
plate1	Twist1	1	3	1
plate1	Ulk1	1	3	1
plate1	Usp30	1	3	1
plate1	Xbp1	1	3	1
plate2	Acoxl	1	3	1
plate2	Atp11a	1	3	1
plate2	Atp6v1c2	1	3	1
plate2	Bap1	1	3	1
plate2	Capn1	1	3	1
plate2	Chat	1	3	1
plate2	Chrna3	1	3	1
plate2	Chrna5	1	3	1
plate2	Csf3r	1	3	1
plate2	Cxadr	1	3	1
plate2	Dmbt1	1	2	1
plate2	Dsp	1	3	1
plate2	Epcam	1	3	1
plate2	Etv5	1	3	1
plate2	Fgfr2	1	3	1
plate2	Fzd1	1	3	1
plate2	Fzd4	1	3	1
plate2	Fzd5	1	3	1
plate2	Fzd6	1	3	1
plate2	Fzd7	1	3	1
plate2	Gpr37	1	3	1
plate2	Hif1a	1	3	1
plate2	Hlf	1	3	1
plate2	Il4ra	1	3	1
plate2	Irx1	1	3	1
plate2	Ivd	1	3	1
plate2	Liph	1	3	1
plate2	Lnx2	1	3	1
plate2	Lrp2	1	3	1
plate2	Lrp5	1	3	1
plate2	Lrp6	1	3	1
plate2	Marcks	1	3	1
plate2	Mecom	1	3	1
plate2	Megf6	1	3	1
plate2	Mtus1	1	3	1
plate2	Myrf	1	3	1
plate2	Nav2	1	3	1
plate2	Patj	1	3	1
plate2	Ros1	1	3	1
plate2	Sdc1	1	3	1
plate2	Sh2b1	1	3	1
plate2	Slc45a4	1	3	1
plate2	Snx30	1	3	1
