target	plate1	plate2	plate3	plate4
ACOXL	0	2	0	0
ACP6	4	0	0	0
ADK	0	0	4	0
AGER	4	0	0	0
ANK3	0	0	4	0
ANTXR1	0	0	4	0
APC	0	0	0	4
AREG	0	0	4	0
ATF6	0	0	0	4
ATG16L1	4	0	0	0
ATP11A	0	3	0	0
ATP6V0E	0	0	4	0
ATP6V1C2	0	3	0	0
BAP1	0	3	0	0
BDNF	0	0	0	4
BECLN1	4	0	0	0
BMP10	4	0	0	0
BMP2	0	0	4	0
CACNA2D3	4	0	0	0
CAPN1	0	3	0	0
CCBE1	4	0	0	0
CCN2	0	0	4	0
CD36	0	0	0	4
CD81	0	0	4	0
CDKN2B	0	0	0	4
CELSR1	0	0	4	0
CELSR2	0	0	0	4
CELSR3	0	0	0	4
CHAT	0	3	0	0
CHRM3	4	0	0	0
CHRNA3	0	3	0	0
CHRNA5	0	3	0	0
CISH	0	0	4	0
CRELD1	0	0	0	4
CRISPLD2	0	0	0	4
CSF1R	0	0	0	4
CSF3R	0	3	0	0
CSNK1A1	0	0	4	0
CSNK2A1	0	0	8	0
CTCF	0	0	0	4
CTNNB1	0	0	0	4
CTSH	0	0	4	0
CXADR	0	3	0	0
DMBT1	0	3	0	0
DRAM1	0	0	4	0
DSP	0	3	0	0
DVL1	0	0	0	4
DVL2	0	0	0	4
DVL3	0	0	0	4
EGFL6	0	0	4	0
EGFR	0	0	4	0
EIF2AK3	3	0	0	0
EIF2B1	4	0	0	0
ELF5	0	0	4	0
ELOVL1	0	0	4	0
EPCAM	0	3	0	0
ERBB2	0	0	4	0
ERBB3	0	0	4	0
ERBB4	0	0	4	0
ERN1	4	0	0	0
ETV5	0	3	0	0
FAM13A	4	0	0	0
FBXW11	0	0	0	4
FGF7	4	0	0	0
FGFR2	0	3	0	0
FZD1	0	3	0	0
FZD4	0	3	0	0
FZD5	0	2	0	0
FZD6	0	3	0	0
FZD7	0	3	0	0
GDF2	4	0	0	0
GLIS3	4	0	0	0
GNAI1	0	0	4	0
GNAI2	0	0	4	0
GPR37	0	3	0	0
GSK3B	0	0	0	4
HBEGF	0	0	0	4
HHIP	4	0	0	0
HIF1A	0	3	0	0
HLF	0	3	0	0
HOPX	0	0	0	4
HUWE1	3	0	0	0
IL1A	8	0	0	0
IL4RA	0	3	0	0
INHBA	4	0	0	0
IRF4	0	0	4	0
IRX1	0	2	0	0
ITGB6	0	0	4	0
IVD	0	2	0	0
JUP	0	0	0	4
KCNJ15	0	0	0	4
KEAP1	3	0	0	0
KIDINS220	0	0	4	0
LAMP2	0	0	0	4
LGR4	0	0	0	4
LGR5	0	0	0	4
LGR6	0	0	0	4
LIPH	0	3	0	0
LNX2	0	3	0	0
LRG1	0	0	0	4
LRP2	0	3	0	0
LRP5	0	2	0	0
LRP6	0	3	0	0
MANF	4	0	0	0
MAP2K1	0	0	4	0
MAP2K2	0	0	4	0
MAP2K3	0	0	4	0
MAP2K4	0	0	4	0
MAP3K1	0	0	4	0
MAP3K2	0	0	4	0
MAP3K5	0	0	4	0
MAP3K7	0	0	4	0
MAP4K3	0	0	4	0
MAP4K4	0	0	4	0
MAPK1	0	0	4	0
MAPK3	0	0	4	0
MARCKS	0	3	0	0
MECOM	4	3	0	0
MEGF6	0	3	0	0
MET	4	0	0	0
MLC1	0	0	0	4
MTUS1	0	3	0	0
MYO5C	0	0	4	0
MYRF	0	3	0	0
NAV2	0	3	0	0
NFE2L2	3	0	0	0
NKD1	0	0	0	4
NKD2	0	0	0	4
NKX21	4	0	0	0
NPNT	4	0	0	0
NPR1	0	0	0	4
NR1D1	4	0	0	0
NR1D2	4	0	0	0
OCIAD2	0	0	4	0
PATJ	0	3	0	0
PDE7B	0	0	0	4
PDLIM2	0	0	0	4
PI4K2B	0	0	4	0
PID1	4	0	0	0
PINK1	4	0	0	0
PLA2G15	3	0	0	0
PORCN	0	0	0	4
PRKN	4	0	0	0
RAD21	4	0	0	0
RBMS3	4	0	0	0
RBPJL	0	0	0	4
RNF43	4	0	0	8
ROR1	3	0	0	0
ROS1	0	3	0	0
RYK	0	0	0	4
SDC1	0	3	0	0
SEMA3E	0	0	0	4
SERPINA1A	4	0	0	0
SFTPD	4	0	0	0
SH2B1	0	3	0	0
SH3RF1	0	0	0	4
SIAH1A	0	0	0	4
SLC22A3	0	0	4	0
SLC34A2	0	0	0	8
SLC39A8	0	0	4	0
SLC45A4	0	3	0	0
SLC6A14	0	0	0	4
SNX30	0	3	0	0
SOAT1	0	0	4	0
SOCS2	0	0	4	0
SOX4	4	0	0	0
SPNS1	0	3	0	0
SPRY1	0	0	0	4
SPRY2	0	0	0	4
SPRY4	0	0	0	4
SYT11	0	3	0	0
SYT4	0	3	0	0
TDTOMATO	8	6	8	8
TEAD1	4	0	0	0
TERF1	4	0	0	0
TERT	0	3	0	0
TFCP2L1	4	0	0	0
TFEB	4	0	0	0
TGIF1	0	0	4	0
TIGIT	22	17	24	24
TINAG	0	0	4	0
TLN1	0	3	0	0
TLR2	0	0	4	0
TNS1	4	0	0	0
TOLLIP	0	3	0	0
TRIB3	0	3	0	0
TRP53	4	0	0	0
TRP63	4	0	0	0
TSPAN11	0	0	4	0
TTF1	4	0	0	0
TWIST1	4	0	0	0
ULK1	4	0	0	0
USP30	4	0	0	0
USP6NL	0	0	0	8
VANGL1	0	0	4	0
VANGL2	0	0	4	0
WIF1	0	0	0	4
WNT7B	0	3	0	0
WNT9B	0	3	0	0
XBP1	4	0	0	0
ZFP365	0	0	0	4
ZFP385B	0	0	0	4
ZNRF3	0	0	0	4
