setting	scale	evaluation	fold	model	wells	sse	mse	heldout_targets	unseen_targets	wells_with_unseen_target
primary	inherited_log2	within_group	plate1-rep1	baseline	60	0.0766353688132	0.00127725614689	53	0	0
primary	inherited_log2	within_group	plate1-rep2	baseline	58	0.0536102066835	0.000924313908336	53	0	0
primary	inherited_log2	within_group	plate1-rep3	baseline	56	0.0446719347513	0.000797713120559	49	0	0
primary	inherited_log2	within_group	plate1-rep4	baseline	58	0.0467001816414	0.000805175545541	51	0	0
primary	inherited_log2	within_group	plate2-rep2	baseline	59	0.0252425367629	0.00042783960615	54	0	0
primary	inherited_log2	within_group	plate2-rep3	baseline	57	0.0294109163766	0.000515980989062	51	0	0
primary	inherited_log2	within_group	plate2-rep4	baseline	58	0.0182320968751	0.000314346497847	52	0	0
primary	inherited_log2	within_group	plate3-rep1	baseline	60	0.0946789009311	0.00157798168219	53	0	0
primary	inherited_log2	within_group	plate3-rep2	baseline	59	0.0617894594358	0.00104727897349	53	0	0
primary	inherited_log2	within_group	plate3-rep3	baseline	60	0.0628525283653	0.00104754213942	53	0	0
primary	inherited_log2	within_group	plate3-rep4	baseline	60	0.054895973787	0.000914932896449	53	0	0
primary	inherited_log2	within_group	plate4-rep1	baseline	60	0.0117561045193	0.000195935075321	51	0	0
primary	inherited_log2	within_group	plate4-rep2	baseline	60	0.0144564355232	0.000240940592054	51	0	0
primary	inherited_log2	within_group	plate4-rep3	baseline	60	0.0140588876021	0.000234314793369	51	0	0
primary	inherited_log2	within_group	plate4-rep4	baseline	60	0.0136279736609	0.000227132894348	51	0	0
primary	inherited_log2	within_group	plate1-rep1	baseline+proliferation	60	0.0741344679629	0.00123557446605	53	0	0
primary	inherited_log2	within_group	plate1-rep2	baseline+proliferation	58	0.0484322809232	0.000835039326262	53	0	0
primary	inherited_log2	within_group	plate1-rep3	baseline+proliferation	56	0.0442067292792	0.000789405879986	49	0	0
primary	inherited_log2	within_group	plate1-rep4	baseline+proliferation	58	0.0447799410952	0.000772067949916	51	0	0
primary	inherited_log2	within_group	plate2-rep2	baseline+proliferation	59	0.0293496453606	0.000497451616282	54	0	0
primary	inherited_log2	within_group	plate2-rep3	baseline+proliferation	57	0.0317267182461	0.000556609092036	51	0	0
primary	inherited_log2	within_group	plate2-rep4	baseline+proliferation	58	0.0175995746452	0.000303440942158	52	0	0
primary	inherited_log2	within_group	plate3-rep1	baseline+proliferation	60	0.0917554305205	0.00152925717534	53	0	0
primary	inherited_log2	within_group	plate3-rep2	baseline+proliferation	59	0.0566727750378	0.000960555509116	53	0	0
primary	inherited_log2	within_group	plate3-rep3	baseline+proliferation	60	0.0592744024162	0.000987906706936	53	0	0
primary	inherited_log2	within_group	plate3-rep4	baseline+proliferation	60	0.0522218530538	0.000870364217563	53	0	0
primary	inherited_log2	within_group	plate4-rep1	baseline+proliferation	60	0.0131269122068	0.000218781870113	51	0	0
primary	inherited_log2	within_group	plate4-rep2	baseline+proliferation	60	0.0145100920717	0.000241834867862	51	0	0
primary	inherited_log2	within_group	plate4-rep3	baseline+proliferation	60	0.0172060573361	0.000286767622269	51	0	0
primary	inherited_log2	within_group	plate4-rep4	baseline+proliferation	60	0.0145476737922	0.000242461229869	51	0	0
primary	inherited_log2	within_group	plate1-rep1	baseline+remaining_growth	60	0.0764870759751	0.00127478459958	53	0	0
primary	inherited_log2	within_group	plate1-rep2	baseline+remaining_growth	58	0.0503339982401	0.000867827555863	53	0	0
primary	inherited_log2	within_group	plate1-rep3	baseline+remaining_growth	56	0.0446240665837	0.000796858331852	49	0	0
primary	inherited_log2	within_group	plate1-rep4	baseline+remaining_growth	58	0.0459915897219	0.000792958443481	51	0	0
primary	inherited_log2	within_group	plate2-rep2	baseline+remaining_growth	59	0.0244443562747	0.0004143111233	54	0	0
primary	inherited_log2	within_group	plate2-rep3	baseline+remaining_growth	57	0.030676991819	0.00053819283893	51	0	0
primary	inherited_log2	within_group	plate2-rep4	baseline+remaining_growth	58	0.0171614240035	0.00029588662075	52	0	0
primary	inherited_log2	within_group	plate3-rep1	baseline+remaining_growth	60	0.0944914809484	0.00157485801581	53	0	0
primary	inherited_log2	within_group	plate3-rep2	baseline+remaining_growth	59	0.0591524162148	0.00100258332568	53	0	0
primary	inherited_log2	within_group	plate3-rep3	baseline+remaining_growth	60	0.0629869335936	0.00104978222656	53	0	0
primary	inherited_log2	within_group	plate3-rep4	baseline+remaining_growth	60	0.0526285234996	0.000877142058326	53	0	0
primary	inherited_log2	within_group	plate4-rep1	baseline+remaining_growth	60	0.0129109757777	0.000215182929629	51	0	0
primary	inherited_log2	within_group	plate4-rep2	baseline+remaining_growth	60	0.0163488823018	0.000272481371697	51	0	0
primary	inherited_log2	within_group	plate4-rep3	baseline+remaining_growth	60	0.0149374077548	0.000248956795913	51	0	0
primary	inherited_log2	within_group	plate4-rep4	baseline+remaining_growth	60	0.0148679232203	0.000247798720338	51	0	0
primary	inherited_log2	within_group	plate1-rep1	baseline+proliferation+remaining_growth	60	0.0659065370523	0.0010984422842	53	0	0
primary	inherited_log2	within_group	plate1-rep2	baseline+proliferation+remaining_growth	58	0.0411772238766	0.000709952135803	53	0	0
primary	inherited_log2	within_group	plate1-rep3	baseline+proliferation+remaining_growth	56	0.0446804177715	0.000797864603063	49	0	0
primary	inherited_log2	within_group	plate1-rep4	baseline+proliferation+remaining_growth	58	0.0441150923846	0.000760605041114	51	0	0
primary	inherited_log2	within_group	plate2-rep2	baseline+proliferation+remaining_growth	59	0.0290034236258	0.000491583451285	54	0	0
primary	inherited_log2	within_group	plate2-rep3	baseline+proliferation+remaining_growth	57	0.0314576375455	0.000551888377992	51	0	0
primary	inherited_log2	within_group	plate2-rep4	baseline+proliferation+remaining_growth	58	0.0174549306378	0.000300947079962	52	0	0
primary	inherited_log2	within_group	plate3-rep1	baseline+proliferation+remaining_growth	60	0.0845650764812	0.00140941794135	53	0	0
primary	inherited_log2	within_group	plate3-rep2	baseline+proliferation+remaining_growth	59	0.0464750294778	0.00078771236403	53	0	0
primary	inherited_log2	within_group	plate3-rep3	baseline+proliferation+remaining_growth	60	0.0641728917035	0.00106954819506	53	0	0
primary	inherited_log2	within_group	plate3-rep4	baseline+proliferation+remaining_growth	60	0.0496493433917	0.000827489056529	53	0	0
primary	inherited_log2	within_group	plate4-rep1	baseline+proliferation+remaining_growth	60	0.0116588927531	0.000194314879218	51	0	0
