library name	mouse__HALLMARK_E2F_TARGETS	mouse__HALLMARK_G2M_CHECKPOINT	mouse__HALLMARK_MYC_TARGETS_V1	mouse__HALLMARK_APOPTOSIS	mouse__HALLMARK_P53_PATHWAY	mouse__HALLMARK_MTORC1_SIGNALING	human__HALLMARK_E2F_TARGETS	human__HALLMARK_G2M_CHECKPOINT	human__HALLMARK_MYC_TARGETS_V1	human__HALLMARK_APOPTOSIS	human__HALLMARK_P53_PATHWAY	human__HALLMARK_MTORC1_SIGNALING
1-1_B02_MET	4.86437953991	4.79719524031	5.40607349534	4.49847017586	4.6370827823	5.79146304647	4.93701310688	4.99457406997	6.23455177889	5.63723565472	4.83379752913	5.90861899034
1-1_B03_GLIS3	4.89722213005	4.82966108767	5.69145068733	4.79039819325	4.89034080955	5.96831663939	4.95712456736	4.91541139529	6.42655540632	5.66235940839	4.79538399486	6.00528870744
1-1_B04_TIGIT	4.88955727823	4.8799698011	5.75623077127	4.784269822	4.90286098444	5.9389306488	4.77149837903	4.68991306687	6.51535127651	5.6572242049	4.85002823131	5.99898750816
1-1_B05_TDTOMATO	4.64414610816	4.59276221029	5.664153182	4.73466985376	4.94894452226	6.03713123102	4.88315414565	4.84193454273	6.4602566455	5.69186579359	4.78066865369	6.02166242945
1-1_B06_TRP53	4.69635420335	4.66295852319	5.68436336971	4.83461532547	4.88382770175	6.03237076052	4.75913283672	4.74709904605	6.36834240168	5.58765439353	4.73132707312	5.95385150319
1-1_B07_ACP6	4.87852881234	4.86697670186	5.68771026607	4.8120994502	4.91244239424	6.01492550424	5.1120238198	5.10411917328	6.45088534327	5.70095002625	4.81160779002	6.02507341683
1-1_B08_PINK1	4.77553650909	4.80536934921	5.72901270628	4.75791041238	4.93659813743	5.96275146507	5.08382079333	4.98033491189	6.61777085964	5.66696328184	4.73685884957	6.144446902
1-1_B09_EIF2AK3	4.88524017758	4.86876359541	5.69902375472	4.77849817637	4.91856660364	5.96303282632	5.05146715586	5.02819040648	6.50874404541	5.65142130616	4.83993659895	6.11195903543
1-1_B10_CCBE1	4.58647478838	4.64551462317	5.6099657184	4.84793023215	4.99527256678	5.89165360848	5.05534396846	4.99886290849	6.52244351143	5.73399604514	4.89901159617	6.10648375099
1-1_B11_GDF2	4.91959714656	4.9440665644	5.80254983987	4.85927714813	5.00913454875	6.08769494983	5.06085643222	5.01613122203	6.61316918588	5.66541866132	4.7565687527	6.14518052039
1-1_C02_TEAD1	4.60306095439	4.70947992711	5.6184055372	4.81636860872	4.95268241017	5.86215716407	4.99352243982	4.87773459427	6.3865285595	5.64667927019	4.81269027398	6.02278244348
1-1_C03_MECOM	4.79500701941	4.8383590672	5.7263253806	4.63008842558	4.8539416531	5.82273330153	4.88589172811	4.81895801484	6.46619511917	5.55202986259	4.80100685586	5.92351507015
1-1_C04_HUWE1	4.66401897637	4.65508633685	5.53990284187	4.56869066781	4.66969780444	5.76067936706	4.94454621573	4.95239131191	6.41083257678	5.61032219358	4.76535429652	5.97885432634
1-1_C05_SFTPD	4.70267079324	4.69063684302	5.70419538683	4.63614100026	4.80263750834	5.89475401975	4.74479261155	4.7104809144	6.45812149344	5.63182275682	4.78927823262	5.98134629856
1-1_C06_TRP63	4.6452794698	4.71542231727	5.71149073658	4.7155281225	4.88191173904	5.86963623665	4.64809776986	4.56213185941	6.3291932402	5.54468423821	4.63476543539	5.88794536934
1-1_C07_IL1A	4.78587415352	4.84015563211	5.73205645012	4.71981760628	4.83739819679	5.96652485646	4.69131581654	4.76217120197	6.31607478142	5.53675759676	4.7073644982	5.96174966549
1-1_C08_PRKN	4.74508636118	4.7239392979	5.74320401041	4.70007772367	4.84840238973	6.04261662189	4.90680891352	4.86459427795	6.50171648017	5.63989105184	4.80632895286	6.07206480872
1-1_C09_TIGIT	4.89632160717	4.79815860159	5.79207557909	4.77218190324	4.9012206255	5.98331679048	5.0198164019	4.90694001143	6.55383579235	5.67709410093	4.69024013102	6.08549730592
1-1_C10_BMP10	4.84339864768	4.87777265357	5.77562682825	4.78064921212	4.9348279251	5.95503781662	4.8358701979	4.83481402127	6.42837062317	5.70465471741	4.82522959636	6.04102181991
1-1_C11_PLA2G15	4.62427234144	4.58367596234	5.69127934504	4.64074607878	4.93450773782	5.92701909635	4.81591249395	4.68058201713	6.51288729691	5.63208049572	4.74277621722	5.99022546252
1-1_D02_ROR1	4.72911006758	4.68885167006	5.70516435985	4.79407072339	4.90965481557	5.9978522987	5.03773124973	5.02701263298	6.53096906898	5.75878200148	4.79524839733	6.08266501342
1-1_D03_NPNT	4.68575960513	4.86346600892	5.51133599564	4.86542242607	4.92243267547	5.75269254051	4.43472188035	4.30245996083	6.23684938434	5.30263000224	4.5068963992	5.62248297813
1-1_D04_RNF43	4.87149972027	4.80521030212	5.82742448854	4.73847788274	4.91977677053	5.96937683277	4.75311165584	4.67205362328	6.46015841215	5.57426814351	4.72389789569	5.99180028364
1-1_D05_TNS1	4.81624021016	4.73590708544	5.76909689088	4.7630574699	4.8610665703	6.12791195501	4.65995024491	4.5120173762	6.54323372436	5.42580383324	4.44183056412	5.9820327682
1-1_D06_TTF1	4.80670081844	4.72457581627	5.70970093024	4.71076487977	4.78049954707	5.940241397	4.76536380741	4.77137572816	6.44900284649	5.51464009257	4.81843444049	5.96226396976
1-1_D07_TIGIT	4.92084174868	4.91319765992	5.67603375774	4.85985794271	4.97408778928	5.96307775464	4.87345198425	4.80091992962	6.50690319062	5.5952509321	4.77509610982	6.05802585472
1-1_D08_KEAP1	4.54449767615	4.57580939914	5.55091235647	4.72952118732	4.98286247147	6.04420331749	4.89554401849	4.86144939762	6.48883085424	5.78045150433	4.92273128512	6.06432774762
1-1_D09_TFEB	4.82824558356	4.83538018989	5.73936910941	4.88294174686	5.0410141775	6.02475674461	4.56179141271	4.56423591596	6.42467171127	5.59470353947	4.83994784648	6.06103698365
1-1_D10_FGF7	4.68818984977	4.72943464203	5.64774447121	4.96209077627	5.03205992289	5.99724851498	4.55356905706	4.51458070216	6.51111734799	5.57677194689	4.59917131165	5.92683098935
1-1_D11_IL1A	4.73966611609	4.69754413166	5.70611622242	4.92776661315	5.05546583729	6.04403346766	5.02332703911	5.00123440366	6.62812577028	5.65612726971	4.69070000629	6.12949199222
