library	mouse_total_counts	human_total_counts
1-1_B02_MET	456604	363706
1-1_B03_GLIS3	1273471	446274
1-1_B04_TIGIT	1012320	359722
1-1_B05_TDTOMATO	1826887	611133
1-1_B06_TRP53	7587488	819541
1-1_B07_ACP6	3400008	1351826
1-1_B08_PINK1	1319909	494744
1-1_B09_EIF2AK3	1812185	630349
1-1_B10_CCBE1	1633474	672646
1-1_B11_GDF2	2161187	886450
1-1_C02_TEAD1	855931	300481
1-1_C03_MECOM	856267	322027
1-1_C04_HUWE1	576524	343622
1-1_C05_SFTPD	1317830	463146
1-1_C06_TRP63	1009152	236777
1-1_C07_IL1A	996789	224204
1-1_C08_PRKN	2633400	858512
1-1_C09_TIGIT	905203	264436
1-1_C10_BMP10	2210456	503404
1-1_C11_PLA2G15	1417089	429871
1-1_D02_ROR1	1166436	322071
1-1_D03_NPNT	364386	74284
1-1_D04_RNF43	1783189	358155
1-1_D05_TNS1	1496822	292379
1-1_D06_TTF1	1451758	501706
1-1_D07_TIGIT	2020699	572337
1-1_D08_KEAP1	1971328	536677
1-1_D09_TFEB	1503660	305368
1-1_D10_FGF7	946527	195524
1-1_D11_IL1A	1390068	293696
1-1_E02_TFCP2L1	895047	323728
1-1_E03_TIGIT	970618	289897
1-1_E04_SOX4	1117345	386623
1-1_E05_TWIST1	1303188	257293
1-1_E06_NKX21	1972620	93615
1-1_E07_USP30	1181595	280295
1-1_E08_NFE2L2	1454791	332971
1-1_E09_ULK1	673556	189021
1-1_E10_INHBA	1079387	413199
1-1_E11_MANF	712693	308153
1-1_F02_TIGIT	844971	340619
1-1_F03_RBMS3	995818	316411
1-1_F04_AGER	539683	116533
1-1_F05_TERF1	536477	140206
1-1_F06_FAM13A	626446	135961
1-1_F07_NR1D1	2818062	950432
1-1_F08_EIF2B1	1266903	457873
1-1_F09_ATG16L1	1542935	454739
1-1_F10_XBP1	1888835	648525
1-1_F11_RAD21	1414631	918279
1-1_G02_PID1	436298	137250
1-1_G03_SERPINA1A	972472	223412
1-1_G04_CACNA2D3	1950906	495973
1-1_G05_CHRM3	1099680	307312
1-1_G06_HHIP	2226377	609872
1-1_G07_NR1D2	1049806	381360
1-1_G08_ERN1	61256	22993
1-1_G09_BECLN1	3098529	241757
1-1_G10_TDTOMATO	308882	67754
1-1_G11_TIGIT	2169246	596316
1-2_B02_MET	659900	519647
1-2_B03_GLIS3	11825	4106
1-2_B05_TDTOMATO	1940593	757364
1-2_B06_TRP53	3281367	451274
1-2_B07_ACP6	1247625	283711
1-2_B08_PINK1	1521831	642201
1-2_B09_EIF2AK3	1487416	496683
1-2_B10_CCBE1	1395649	517572
1-2_B11_GDF2	1121538	459156
1-2_C02_TEAD1	1688677	526497
1-2_C03_MECOM	932392	322108
1-2_C04_HUWE1	853506	921607
1-2_C05_SFTPD	733682	228437
1-2_C06_TRP63	450626	98772
1-2_C07_IL1A	1530687	605614
1-2_C08_PRKN	568744	152813
1-2_C09_TIGIT	1742842	476026
1-2_C10_BMP10	1245225	261161
1-2_C11_PLA2G15	1261428	407360
1-2_D02_ROR1	1478784	373378
1-2_D03_NPNT	587218	164378
1-2_D04_RNF43	829614	228243
1-2_D05_TNS1	990062	249529
1-2_D06_TTF1	1408620	523244
1-2_D07_TIGIT	1389481	361775
1-2_D08_KEAP1	1449742	459306
1-2_D09_TFEB	1201528	357053
1-2_D10_FGF7	2025781	743423
1-2_D11_IL1A	1623249	572233
1-2_E02_TFCP2L1	1962432	774636
1-2_E03_TIGIT	882409	284707
1-2_E04_SOX4	972241	437722
1-2_E05_TWIST1	1014644	256880
1-2_E06_NKX21	1715162	99782
1-2_E07_USP30	439108	143469
1-2_E08_NFE2L2	717475	268805
1-2_E09_ULK1	439186	140880
1-2_E10_INHBA	1255447	484020
1-2_E11_MANF	2047330	624390
1-2_F02_TIGIT	2790760	1466500
1-2_F03_RBMS3	1213873	428287
1-2_F04_AGER	2480025	645086
1-2_F05_TERF1	2328187	714064
1-2_F06_FAM13A	3662814	959370
1-2_F07_NR1D1	4429595	1504852
1-2_F08_EIF2B1	1276979	406735
1-2_F09_ATG16L1	3798103	1013151
1-2_F10_XBP1	2853270	898956
1-2_F11_RAD21	5677029	2042104
1-2_G02_PID1	1889975	762989
1-2_G03_SERPINA1A	1451012	387652
1-2_G04_CACNA2D3	2321118	573040
1-2_G05_CHRM3	2477531	755467
1-2_G06_HHIP	5281976	1479223
1-2_G07_NR1D2	4459171	1032392
