feature	compartment	module	single_feature_increment
epi__shared_remodelling	epithelial	shared_remodelling	0.0038
epi__shared_I_and_L	epithelial	shared_I_and_L	0.0036
epi__injury_residual	epithelial	injury_residual	0.0017
epi__shared_D_and_I	epithelial	shared_D_and_I	0.0016
fib__shared_D_and_I	fibroblast	shared_D_and_I	-0.001
fib__shared_remodelling	fibroblast	shared_remodelling	-0.0026
fib__shared_I_and_L	fibroblast	shared_I_and_L	-0.0028
epi__AT1_published_400	epithelial	AT1_published_400	-0.0033
epi__HALLMARK_P53_PATHWAY	epithelial	HALLMARK_P53_PATHWAY	-0.0033
fib__injury_residual	fibroblast	injury_residual	-0.0034
epi__HALLMARK_HYPOXIA	epithelial	HALLMARK_HYPOXIA	-0.0043
epi__development_specific	epithelial	development_specific	-0.0058
fib__HALLMARK_HYPOXIA	fibroblast	HALLMARK_HYPOXIA	-0.0058
fib__AT1_published_400	fibroblast	AT1_published_400	-0.0063
epi__lesion_specific	epithelial	lesion_specific	-0.0064
epi__AT2_published_400	epithelial	AT2_published_400	-0.0065
fib__HALLMARK_P53_PATHWAY	fibroblast	HALLMARK_P53_PATHWAY	-0.0073
epi__HALLMARK_INFLAMMATORY_RESPONSE	epithelial	HALLMARK_INFLAMMATORY_RESPONSE	-0.0083
fib__lesion_specific	fibroblast	lesion_specific	-0.0095
fib__HALLMARK_INFLAMMATORY_RESPONSE	fibroblast	HALLMARK_INFLAMMATORY_RESPONSE	-0.0106
fib__AT2_published_400	fibroblast	AT2_published_400	-0.0109
fib__development_specific	fibroblast	development_specific	-0.0123
