library name	unit	well_key	target	epi_total	fib_total	epi_fraction	epi__shared_remodelling	fib__shared_remodelling	epi__development_specific	fib__development_specific	epi__lesion_specific	fib__lesion_specific	epi__injury_residual	fib__injury_residual	epi__shared_D_and_I	fib__shared_D_and_I	epi__shared_I_and_L	fib__shared_I_and_L	epi__AT1_published_400	fib__AT1_published_400	epi__AT2_published_400	fib__AT2_published_400	epi__HALLMARK_P53_PATHWAY	fib__HALLMARK_P53_PATHWAY	epi__HALLMARK_HYPOXIA	fib__HALLMARK_HYPOXIA	epi__HALLMARK_INFLAMMATORY_RESPONSE	fib__HALLMARK_INFLAMMATORY_RESPONSE	organoids_area_mean_day07	organoids_area_mean_day14	organoids_count_day07	organoids_count_day14	xenome_numReadsInput
1-1_B02_MET	plate1-rep1	B02	MET	456604	363706	0.5566237154246565	6.297683834432316	5.056706527164432	5.847426735941397	2.697102125215505	3.756518427453678	3.9130717832973514	6.378977347828736	6.937194538689537	7.179031270655656	2.889860255884007	5.668149951415643	7.223552798444858	7.153548139582138	5.990392262956212	7.061218377264984	4.789620726759077	4.637082782302822	4.824366492124389	4.3744883651094995	4.80446892883731	3.442033345330102	3.813066881627372	6.15607959648935	7.58605180806375	50.0	80.0	7134927
1-1_B03_GLIS3	plate1-rep1	B03	GLIS3	1273471	446274	0.7404998996944314	7.4659526040399316	4.831485072069555	5.960020255581829	1.8558856498778589	4.1400790338029925	3.8210502000359963	6.874352806510693	7.129230738518254	8.257613467639803	2.641275845012501	6.90048055861145	7.02169429912661	7.542583809108954	5.937184694608045	7.000369430920139	4.5326022327868545	4.890340809551498	4.779616945685691	4.507417139845435	4.778589347333838	3.451327335741582	3.495578735454481	6.6285984640188	8.08737243713916	106.0	133.0	9082855
1-1_B04_TIGIT	plate1-rep1	B04	TIGIT	1012320	359722	0.7378199792717716	7.537641839473976	4.898818452066485	5.878639170313418	1.8478375999247887	4.072859736450225	4.061137613941638	6.940648886983137	7.220457638414276	8.251705300284797	2.8284936326753694	7.027596510323389	6.969143271457602	7.539206358350781	5.882209914100973	6.903359750460104	4.523023771364029	4.902860984444209	4.850145143650511	4.557148663817794	4.734112911382127	3.3886007363486943	3.6177701489295826	6.83093261750126	8.06346283625319	139.0	128.0	7163609
1-1_B05_TDTOMATO	plate1-rep1	B05	TDTOMATO	1826887	611133	0.7493322450184986	7.567682517078565	5.0556581862420025	5.866535096958475	1.987424138829017	4.042562114580733	3.8990386550606404	7.037063129907101	7.173804705867262	8.410706377846894	2.710229768446742	6.965522616529758	7.401086604037263	7.564737039163208	5.901966970707632	6.918908773313221	4.559821935654944	4.948944522257458	4.778061301422349	4.595224244879171	4.913671147932382	3.358019322085285	3.664484302302192	6.68453466766495	8.51512221742426	24.0	25.0	10555717
1-1_B06_TRP53	plate1-rep1	B06	TRP53	7587488	819541	0.9025171674797363	7.385940847490371	5.359758072258073	5.888180007925623	1.9460404415975028	4.13790334589937	3.897923962344362	6.96795220679288	7.16380408971399	8.172825248002649	3.239255004982803	6.823880561410171	7.480261139533343	7.597801949211061	5.896499770131559	6.8458026379535415	4.470501995043106	4.883827701750203	4.719182843161031	4.933373655552765	5.156950570584687	3.3606336166600266	3.5545454777067444	7.67661328312689	8.94050025210095	214.0	170.0	29870579
1-1_B07_ACP6	plate1-rep1	B07	ACP6	3400008	1351826	0.7155148938283619	7.382895465464087	5.222446609028316	5.977769947015973	2.1434674701168794	4.105697685460007	3.977959985347504	6.875018745878601	7.081527484935666	8.333008526823257	3.2718743065196945	6.704243278778965	7.173018911536938	7.607008714174376	5.951443204443098	6.948759722275622	4.620125587620471	4.912442394242428	4.8028341853006955	4.665560835273017	4.855103484226787	3.4283803393664423	3.6665227586209848	6.77414348203624	8.16546986837387	111.0	103.0	21335325
1-1_B08_PINK1	plate1-rep1	B08	PINK1	1319909	494744	0.7273616498581271	7.447050445756545	5.201055745386254	5.968855259992367	2.0573110053485153	4.1033205431542426	4.176209878091197	6.9703828208684575	7.2293976755327805	8.366488326500356	2.9092940899954827	6.790309102368108	7.492817400777026	7.5544950729963265	5.886236268165995	7.028290365427677	4.5735137264547205	4.936598137430137	4.736060560444356	4.433596366793948	4.695161555073977	3.3304571016729145	3.666720497695402	6.71014661533403	8.08772294402108	94.0	113.0	9648711
1-1_B09_EIF2AK3	plate1-rep1	B09	EIF2AK3	1812185	630349	0.7419282597499155	7.516722710839271	5.3069842848884985	6.072200675298725	1.9996565846717207	4.05093075808662	3.9413692670407983	6.989536512781463	7.195663034529093	8.628452408872924	3.2987321457506686	6.722630069386665	7.315236424026327	7.645552269181059	5.946029732955049	7.026878802011916	4.5887254486738005	4.918566603642639	4.828139785158247	4.52173894503695	4.77673429459685	3.436575098611801	3.571072877149306	6.78807299670644	8.22381176349542	101.0	119.0	11786718
1-1_B10_CCBE1	plate1-rep1	B10	CCBE1	1633474	672646	0.7083213362704456	7.560244980791308	5.221516463287045	6.06916236652064	2.290491067626553	4.294099146397437	4.108491072835496	6.944030235619544	7.164174237890837	8.59474916901279	2.9852970276225026	6.821313417775964	7.457735898951588	7.6094139379420005	5.934502223726851	6.982094310282608	4.690717673722914	4.9952725667765385	4.888569217704996	4.600259211472872	4.856171724274208	3.5914218294663964	3.784098042388996	6.68921721623039	8.27225785365615	97.0	111.0	14773324
1-1_B11_GDF2	plate1-rep1	B11	GDF2	2161187	886450	0.7091353071248314	7.711120753000898	5.312122872011689	6.073111715750259	2.058094205025002	4.191506930088734	4.260387465227914	7.079950439893306	7.179685996646766	8.881385247526623	3.2433404279815847	6.875217542625384	7.380905316041792	7.7152769850555485	5.845709630911958	6.98809668450412	4.56516308736714	5.009134548749378	4.7511040949731465	4.665409625658323	4.767823791672426	3.5124021939251024	3.8394495398868016	6.84497992988194	8.17602018923431	99.0	114.0	15022611
