unit	wells	baseline_r2	epithelial_increment	fibroblast_increment
plate1-rep1	60	0.3146	0.1122	0.0419
plate1-rep2	58	0.3601	0.1589	0.0628
plate1-rep3	56	0.3192	0.1012	0.0065
plate1-rep4	58	0.3092	0.0583	0.05
plate2-rep2	59	-1.698	-0.4534	0.5149
plate2-rep3	57	-1.2232	-1.0814	0.3527
plate2-rep4	58	-0.0447	-0.8203	-0.0438
plate3-rep1	60	0.3464	-0.0121	0.0924
plate3-rep2	59	0.2984	0.1287	-0.0082
plate3-rep3	60	0.3787	0.1092	0.0064
plate3-rep4	60	0.4014	-0.0502	0.0177
plate4-rep1	60	-0.0086	-0.1941	-0.311
plate4-rep2	60	-0.2714	-0.1065	-0.0595
plate4-rep3	60	-0.9854	0.5755	0.0163
plate4-rep4	60	-0.1259	0.0393	-0.104
