programme_set	baseline	unit	wells	baseline_r2	epithelial_increment	fibroblast_increment
frozen_repair_modules	pooled	plate1-rep1	60	0.3146	0.1122	0.0419
frozen_repair_modules	pooled	plate1-rep2	58	0.3601	0.1589	0.0628
frozen_repair_modules	pooled	plate1-rep3	56	0.3192	0.1012	0.0065
frozen_repair_modules	pooled	plate1-rep4	58	0.3092	0.0583	0.05
frozen_repair_modules	pooled	plate2-rep2	59	-1.698	-0.4534	0.5149
frozen_repair_modules	pooled	plate2-rep3	57	-1.2232	-1.0814	0.3527
frozen_repair_modules	pooled	plate2-rep4	58	-0.0447	-0.8203	-0.0438
frozen_repair_modules	pooled	plate3-rep1	60	0.3464	-0.0121	0.0924
frozen_repair_modules	pooled	plate3-rep2	59	0.2984	0.1287	-0.0082
frozen_repair_modules	pooled	plate3-rep3	60	0.3787	0.1092	0.0064
frozen_repair_modules	pooled	plate3-rep4	60	0.4014	-0.0502	0.0177
frozen_repair_modules	pooled	plate4-rep1	60	-0.0086	-0.1941	-0.311
frozen_repair_modules	pooled	plate4-rep2	60	-0.2714	-0.1065	-0.0595
frozen_repair_modules	pooled	plate4-rep3	60	-0.9854	0.5755	0.0163
frozen_repair_modules	pooled	plate4-rep4	60	-0.1259	0.0393	-0.104
frozen_repair_modules	within_unit	plate1-rep1	60	0.3684	0.0686	0.0317
frozen_repair_modules	within_unit	plate1-rep2	58	0.4809	0.076	0.0584
frozen_repair_modules	within_unit	plate1-rep3	56	0.4449	0.0165	-0.0153
frozen_repair_modules	within_unit	plate1-rep4	58	0.3878	0.0389	0.0342
frozen_repair_modules	within_unit	plate2-rep2	59	-0.6352	-0.2142	0.1308
frozen_repair_modules	within_unit	plate2-rep3	57	-0.2141	-0.1704	0.0032
frozen_repair_modules	within_unit	plate2-rep4	58	-0.2962	-0.4239	-0.0235
frozen_repair_modules	within_unit	plate3-rep1	60	0.3843	0.0051	0.0596
frozen_repair_modules	within_unit	plate3-rep2	59	0.4599	0.0545	0.0097
frozen_repair_modules	within_unit	plate3-rep3	60	0.5723	-0.0307	-0.0343
frozen_repair_modules	within_unit	plate3-rep4	60	0.4543	-0.0336	-0.0001
frozen_repair_modules	within_unit	plate4-rep1	60	-0.1066	-0.1893	-0.1626
frozen_repair_modules	within_unit	plate4-rep2	60	-0.1044	-0.0491	0.0235
frozen_repair_modules	within_unit	plate4-rep3	60	-0.0253	-0.0269	-0.0987
frozen_repair_modules	within_unit	plate4-rep4	60	-0.1589	0.0349	0.0513
growth_hallmark	pooled	plate1-rep1	60	0.3146	0.1018	0.0115
growth_hallmark	pooled	plate1-rep2	58	0.3601	0.1073	0.0236
growth_hallmark	pooled	plate1-rep3	56	0.3192	0.0149	0.0456
growth_hallmark	pooled	plate1-rep4	58	0.3092	0.0588	0.0123
growth_hallmark	pooled	plate2-rep2	59	-1.698	0.2337	-0.2539
growth_hallmark	pooled	plate2-rep3	57	-1.2232	-1.1749	-0.0511
growth_hallmark	pooled	plate2-rep4	58	-0.0447	-0.6044	0.2383
growth_hallmark	pooled	plate3-rep1	60	0.3464	0.0739	-0.126
growth_hallmark	pooled	plate3-rep2	59	0.2984	0.15	0.0119
growth_hallmark	pooled	plate3-rep3	60	0.3787	0.078	0.0142
growth_hallmark	pooled	plate3-rep4	60	0.4014	0.0413	0.0006
growth_hallmark	pooled	plate4-rep1	60	-0.0086	-0.0072	-0.042
growth_hallmark	pooled	plate4-rep2	60	-0.2714	-0.3767	0.1913
growth_hallmark	pooled	plate4-rep3	60	-0.9854	-0.6773	0.2313
growth_hallmark	pooled	plate4-rep4	60	-0.1259	-0.0361	0.0637
growth_hallmark	within_unit	plate1-rep1	60	0.3684	0.0884	0.0086
growth_hallmark	within_unit	plate1-rep2	58	0.4809	0.1204	0.0
growth_hallmark	within_unit	plate1-rep3	56	0.4449	-0.0001	0.0118
growth_hallmark	within_unit	plate1-rep4	58	0.3878	0.0339	-0.0041
growth_hallmark	within_unit	plate2-rep2	59	-0.6352	-0.2436	-0.1173
growth_hallmark	within_unit	plate2-rep3	57	-0.2141	-0.0845	-0.0195
growth_hallmark	within_unit	plate2-rep4	58	-0.2962	0.0553	0.0075
growth_hallmark	within_unit	plate3-rep1	60	0.3843	0.0658	-0.0495
growth_hallmark	within_unit	plate3-rep2	59	0.4599	0.1339	-0.0049
growth_hallmark	within_unit	plate3-rep3	60	0.5723	-0.009	-0.0034
growth_hallmark	within_unit	plate3-rep4	60	0.4543	0.0522	-0.0442
growth_hallmark	within_unit	plate4-rep1	60	-0.1066	0.0092	0.0055
growth_hallmark	within_unit	plate4-rep2	60	-0.1044	-0.0955	-0.0185
growth_hallmark	within_unit	plate4-rep3	60	-0.0253	-0.4525	-0.0956
growth_hallmark	within_unit	plate4-rep4	60	-0.1589	-0.0092	-0.0235
