crispr_target	libraries	design_gene_name	in_design	units_present	flag
TIGIT	87	Tigit	True	15	extreme_replication
TDTOMATO	30	none	False	15	extreme_replication
RNF43	12	Rnf43	True	8	none
IL1A	8	Il1a	True	4	none
USP6NL	8	Usp6nl	True	4	none
SLC34A2	8	Slc34a2	True	4	none
CSNK2A1	8	Csnk2a1	True	4	none
MECOM	7	Mecom	True	7	none
CCBE1	4	Ccbe1	True	4	none
GLIS3	4	Glis3	True	4	none
PINK1	4	Pink1	True	4	none
ERN1	4	Ern1	True	4	none
TEAD1	4	Tead1	True	4	none
GDF2	4	Gdf2	True	4	none
TRP63	4	Trp63	True	4	none
BMP10	4	Bmp10	True	4	none
PRKN	4	Prkn	True	4	none
NPNT	4	Npnt	True	4	none
SFTPD	4	Sftpd	True	4	none
FGF7	4	Fgf7	True	4	none
TFEB	4	Tfeb	True	4	none
TNS1	4	Tns1	True	4	none
TTF1	4	Ttf1	True	4	none
NKX21	4	none	False	4	none
TWIST1	4	Twist1	True	4	none
SOX4	4	Sox4	True	4	none
TFCP2L1	4	Tfcp2l1	True	4	none
FAM13A	4	Fam13a	True	4	none
RBMS3	4	Rbms3	True	4	none
AGER	4	Ager	True	4	none
TERF1	4	Terf1	True	4	none
USP30	4	Usp30	True	4	none
ULK1	4	Ulk1	True	4	none
INHBA	4	Inhba	True	4	none
MANF	4	Manf	True	4	none
EIF2B1	4	Eif2b1	True	4	none
NR1D1	4	Nr1d1	True	4	none
ATG16L1	4	Atg16l1	True	4	none
CACNA2D3	4	Cacna2d3	True	4	none
SERPINA1A	4	Serpina1a	True	4	none
PID1	4	Pid1	True	4	none
RAD21	4	Rad21	True	4	none
XBP1	4	Xbp1	True	4	none
CHRM3	4	Chrm3	True	4	none
BECN1	4	Becn1	True	4	none
HHIP	4	Hhip	True	4	none
NR1D2	4	Nr1d2	True	4	none
MAPK3	4	Mapk3	True	4	none
ITGB6	4	Itgb6	True	4	none
EGFR	4	Egfr	True	4	none
MAP3K5	4	Map3k5	True	4	none
CSNK1A1	4	Csnk1a1	True	4	none
ADK	4	Adk	True	4	none
GNAI2	4	Gnai2	True	4	none
OCIAD2	4	Ociad2	True	4	none
MAP3K7	4	Map3k7	True	4	none
CISH	4	Cish	True	4	none
SLC22A3	4	Slc22a3	True	4	none
DRAM1	4	Dram1	True	4	none
MAP2K4	4	Map2k4	True	4	none
MYO5C	4	Myo5c	True	4	none
ANK3	4	Ank3	True	4	none
ELOVL1	4	Elovl1	True	4	none
MAP2K3	4	Map2k3	True	4	none
MAP4K3	4	Map4k3	True	4	none
ELF5	4	Elf5	True	4	none
TLR2	4	Tlr2	True	4	none
CD81	4	Cd81	True	4	none
TGIF1	4	Tgif1	True	4	none
GNAI1	4	Gnai1	True	4	none
ANTXR1	4	Antxr1	True	4	none
KIDINS220	4	Kidins220	True	4	none
TRP53	4	Trp53	True	4	none
ACP6	4	Acp6	True	4	none
MET	4	Met	True	4	none
CD36	4	Cd36	True	4	none
CRELD1	4	Creld1	True	4	none
PORCN	4	Porcn	True	4	none
LGR6	4	Lgr6	True	4	none
GSK3B	4	Gsk3b	True	4	none
FBXW11	4	Fbxw11	True	4	none
PDE7B	4	Pde7b	True	4	none
WIF1	4	Wif1	True	4	none
KCNJ15	4	Kcnj15	True	4	none
CRISPLD2	4	Crispld2	True	4	none
SIAH1A	4	Siah1a	True	4	none
JUP	4	Jup	True	4	none
CELSR2	4	Celsr2	True	4	none
APC	4	Apc	True	4	none
MLC1	4	Mlc1	True	4	none
HBEGF	4	Hbegf	True	4	none
CDKN2B	4	Cdkn2b	True	4	none
SEMA3E	4	Sema3e	True	4	none
ZNRF3	4	Znrf3	True	4	none
SH3RF1	4	Sh3rf1	True	4	none
CELSR3	4	Celsr3	True	4	none
SPRY1	4	Spry1	True	4	none
ZFP385B	4	Zfp385b	True	4	none
BDNF	4	Bdnf	True	4	none
ZFP365	4	Zfp365	True	4	none
NPR1	4	Npr1	True	4	none
LGR4	4	Lgr4	True	4	none
DVL1	4	Dvl1	True	4	none
PI4K2B	4	Pi4k2b	True	4	none
MAP2K2	4	Map2k2	True	4	none
EGFL6	4	Egfl6	True	4	none
CTSH	4	Ctsh	True	4	none
CCN2	4	Ccn2	True	4	none
MAP4K4	4	Map4k4	True	4	none
ERBB4	4	Erbb4	True	4	none
SPRY4	4	Spry4	True	4	none
DVL2	4	Dvl2	True	4	none
DVL3	4	Dvl3	True	4	none
CTNNB1	4	Ctnnb1	True	4	none
LGR5	4	Lgr5	True	4	none
LAMP2	4	Lamp2	True	4	none
SLC6A14	4	Slc6a14	True	4	none
RBPJL	4	Rbpjl	True	4	none
NKD1	4	Nkd1	True	4	none
CTCF	4	Ctcf	True	4	none
RYK	4	Ryk	True	4	none
ATF6	4	Atf6	True	4	none
