gsm	title	mouse identifier	mouse sex	tissue compartment	exposure	treatment	treatment type	batch
GSM5732434	Bleomycin_epithelial_017	17	F	Epithelium	Bleomycin	Vehicle	Control	S061
GSM5732435	Bleomycin_wholelung_017	17	F	Whole Lung	Bleomycin	Vehicle	Control	S061
GSM5732436	Bleomycin_epithelial_031	31	F	Epithelium	Bleomycin	Vehicle	Control	S061
GSM5732437	Bleomycin_wholelung_031	31	F	Whole Lung	Bleomycin	Vehicle	Control	S061
GSM5732438	Bleomycin_epithelial_045	45	M	Epithelium	Bleomycin	Vehicle	Control	S061
GSM5732439	Bleomycin_wholelung_045	45	M	Whole Lung	Bleomycin	Vehicle	Control	S061
GSM5732440	BleomycinKIRA8_epithelial_020	20	F	Epithelium	Bleomycin	KIRA8	KIRA8	S061
GSM5732441	BleomycinKIRA8_wholelung_020	20	F	Whole Lung	Bleomycin	KIRA8	KIRA8	S061
GSM5732442	BleomycinKIRA8_epithelial_032	32	F	Epithelium	Bleomycin	KIRA8	KIRA8	S061
GSM5732443	BleomycinKIRA8_wholelung_032	32	F	Whole Lung	Bleomycin	KIRA8	KIRA8	S061
GSM5732444	BleomycinKIRA8_epithelial_041	41	M	Epithelium	Bleomycin	KIRA8	KIRA8	S061
GSM5732445	BleomycinKIRA8_wholelung_041	41	M	Whole Lung	Bleomycin	KIRA8	KIRA8	S061
GSM5732446	Bleomycin_epithelial_148	148	M	Epithelium	Bleomycin	Vehicle	Control	S135
GSM5732447	Bleomycin_epithelial_149	149	M	Epithelium	Bleomycin	Vehicle	Control	S135
GSM5732448	Bleomycin_wholelung_148	148	M	Whole Lung	Bleomycin	Vehicle	Control	S135
GSM5732449	Bleomycin_wholelung_149	149	M	Whole Lung	Bleomycin	Vehicle	Control	S135
GSM5732450	BleomycinKIRA8_epithelial_154	154	M	Epithelium	Bleomycin	KIRA8	KIRA8	S135
GSM5732451	BleomycinKIRA8_epithelial_155	155	M	Epithelium	Bleomycin	KIRA8	KIRA8	S135
GSM5732452	BleomycinKIRA8_wholelung_154	154	M	Whole Lung	Bleomycin	KIRA8	KIRA8	S135
GSM5732453	BleomycinKIRA8_wholelung_155	155	M	Whole Lung	Bleomycin	KIRA8	KIRA8	S135
GSM5732454	Saline_epithelial_146	146	F	Epithelium	Saline	Vehicle	Control	S135
GSM5732455	Saline_epithelial_152	152	M	Epithelium	Saline	Vehicle	Control	S135
GSM5732456	Saline_epithelial_153	153	M	Epithelium	Saline	Vehicle	Control	S135
GSM5732457	Saline_wholelung_146	146	F	Whole Lung	Saline	Vehicle	Control	S135
GSM5732458	Saline_wholelung_152	152	M	Whole Lung	Saline	Vehicle	Control	S135
GSM5732459	Saline_wholelung_153	153	M	Whole Lung	Saline	Vehicle	Control	S135
GSM5732460	Bleomycin_wholelung_208R	208R	M	Whole Lung	Bleomycin	Axum8	Control	S151
GSM5732461	Bleomycin_epithelial_208R	208R	M	Epithelium	Bleomycin	Axum8	Control	S151
GSM5732462	Bleomycin_epithelial_206	206	M	Epithelium	Bleomycin	Axum8	Control	S151
GSM5732463	Bleomycin3G9_epithelial_226R	226R	F	Epithelium	Bleomycin	3G9	3G9	S151
GSM5732464	Saline_wholelung_221	221	M	Whole Lung	Saline	Axum8	Control	S151
GSM5732465	Bleomycin3G9_epithelial_218	218	M	Epithelium	Bleomycin	3G9	3G9	S151
GSM5732466	Bleomycin_wholelung_225	225	F	Whole Lung	Bleomycin	Axum8	Control	S151
GSM5732467	Bleomycin3G9_epithelial_228	228	M	Epithelium	Bleomycin	3G9	3G9	S151
GSM5732468	Bleomycin_epithelial_225	225	F	Epithelium	Bleomycin	Axum8	Control	S151
GSM5732469	Saline_wholelung_207	207	M	Whole Lung	Saline	Axum8	Control	S151
GSM5732470	Saline_wholelung_230	230	F	Whole Lung	Saline	Axum8	Control	S151
GSM5732471	Saline_epithelial_230	230	F	Epithelium	Saline	Axum8	Control	S151
GSM5732472	Bleomycin3G9_epithelial_219	219	M	Epithelium	Bleomycin	3G9	3G9	S151
GSM5732473	Saline_epithelial_207	207	M	Epithelium	Saline	Axum8	Control	S151
GSM5732474	Bleomycin_wholelung_206	206	M	Whole Lung	Bleomycin	Axum8	Control	S151
GSM5732475	Bleomycin_wholelung_204	204	M	Whole Lung	Bleomycin	Axum8	Control	S151
GSM5732476	Bleomycin3G9_wholelung_218	218	M	Whole Lung	Bleomycin	3G9	3G9	S151
GSM5732477	Saline_epithelial_221	221	M	Epithelium	Saline	Axum8	Control	S151
GSM5732478	Bleomycin3G9_wholelung_226R	226R	F	Whole Lung	Bleomycin	3G9	3G9	S151
GSM5732479	Bleomycin3G9_wholelung_219	219	M	Whole Lung	Bleomycin	3G9	3G9	S151
GSM5732480	Bleomycin_epithelial_204	204	M	Epithelium	Bleomycin	Axum8	Control	S151
GSM5732481	Bleomycin3G9_wholelung_228	228	M	Whole Lung	Bleomycin	3G9	3G9	S151
