mouse	sex	exposure	treatment	treatment_type	batch
20	F	Bleomycin	KIRA8	KIRA8	S061
32	F	Bleomycin	KIRA8	KIRA8	S061
41	M	Bleomycin	KIRA8	KIRA8	S061
17	F	Bleomycin	Vehicle	Control	S061
31	F	Bleomycin	Vehicle	Control	S061
45	M	Bleomycin	Vehicle	Control	S061
154	M	Bleomycin	KIRA8	KIRA8	S135
155	M	Bleomycin	KIRA8	KIRA8	S135
146	F	Saline	Vehicle	Control	S135
148	M	Bleomycin	Vehicle	Control	S135
149	M	Bleomycin	Vehicle	Control	S135
152	M	Saline	Vehicle	Control	S135
153	M	Saline	Vehicle	Control	S135
218	M	Bleomycin	3G9	3G9	S151
219	M	Bleomycin	3G9	3G9	S151
226R	F	Bleomycin	3G9	3G9	S151
228	M	Bleomycin	3G9	3G9	S151
204	M	Bleomycin	Axum8	Control	S151
206	M	Bleomycin	Axum8	Control	S151
207	M	Saline	Axum8	Control	S151
208R	M	Bleomycin	Axum8	Control	S151
221	M	Saline	Axum8	Control	S151
225	F	Bleomycin	Axum8	Control	S151
230	F	Saline	Axum8	Control	S151
