panel	dropped_mouse	dropped_arm	mean_difference
transitional	218	case	-0.4993
transitional	219	case	-0.3999
transitional	226R	case	-0.2405
transitional	228	case	-0.2999
transitional	204	reference	-0.0921
transitional	206	reference	-0.8163
transitional	208R	reference	-0.569
transitional	225	reference	0.0378
identity	218	case	0.1843
identity	219	case	-0.2009
identity	226R	case	-0.3428
identity	228	case	-0.4836
identity	204	reference	-0.5312
identity	206	reference	0.1382
identity	208R	reference	-0.4937
identity	225	reference	0.0438
