panel	symbol	ensembl_id	measurable	case_mean_log2cpm	reference_mean_log2cpm	mean_difference	p_two_sided
transitional	Krt8	ENSMUSG00000049382	True	8.622	8.5992	0.0228	0.885714
transitional	Krt19	ENSMUSG00000020911	True	9.5697	9.3782	0.1915	1.0
transitional	Cldn4	ENSMUSG00000047501	True	6.8582	7.3381	-0.4799	0.342857
transitional	Cdkn1a	ENSMUSG00000023067	True	9.0492	9.2727	-0.2235	0.685714
transitional	Krt7	ENSMUSG00000023039	True	10.2261	10.5183	-0.2922	0.2
identity	Sftpc	ENSMUSG00000022097	True	16.0869	16.1159	-0.029	0.885714
identity	Ager	ENSMUSG00000015452	True	12.3884	12.4588	-0.0704	0.885714
declared_here	Sfn	ENSMUSG00000047281	True	6.8785	7.2206	-0.342	0.342857
declared_here	Hopx	ENSMUSG00000059325	True	10.4102	10.5033	-0.0931	0.685714
engagement_control	Col1a1	ENSMUSG00000001506	True	8.7959	9.3514	-0.5555	0.114286
engagement_control	Acta2	ENSMUSG00000035783	True	6.6414	7.4371	-0.7957	0.028571
engagement_control	Postn	ENSMUSG00000027750	True	7.0601	7.575	-0.5148	0.2
engagement_control	Cthrc1	ENSMUSG00000054196	True	2.5867	2.8232	-0.2364	0.685714
engagement_control	Tnc	ENSMUSG00000028364	True	5.9679	6.8693	-0.9015	0.028571
