feature_id	symbol	NCBI_name	omitted_mouse	contrast	logFC	rank	residual_df
16420	Itgb6	Itgb6	WT4	WT_positive_minus_negative	1.15811577651651	9	5
16420	Itgb6	Itgb6	WT3	Mutant_minus_WT_CD44_interaction	0.0992091685555387	9	5
16420	Itgb6	Itgb6	WT1	Mutant_positive_minus_negative	1.13272172460305	9	5
16420	Itgb6	Itgb6	WT4	Mutant_minus_WT_CD44_interaction	-0.0252512965269795	9	5
16420	Itgb6	Itgb6	WT2	Mutant_positive_minus_negative	1.13276463394433	9	5
16420	Itgb6	Itgb6	Mutant1	WT_positive_minus_negative	1.18436745621959	9	5
16420	Itgb6	Itgb6	WT3	Mutant_positive_minus_negative	1.13281566730878	9	5
16420	Itgb6	Itgb6	WT1	WT_positive_minus_negative	1.07202705026313	9	5
16420	Itgb6	Itgb6	WT4	Mutant_positive_minus_negative	1.13286447998953	9	5
16420	Itgb6	Itgb6	WT2	WT_positive_minus_negative	1.18883059705943	9	5
16420	Itgb6	Itgb6	WT1	Mutant_minus_WT_CD44_interaction	0.0606946743399159	9	5
16420	Itgb6	Itgb6	WT3	WT_positive_minus_negative	1.03360649875324	9	5
16420	Itgb6	Itgb6	WT2	Mutant_minus_WT_CD44_interaction	-0.0560659631151013	9	5
16420	Itgb6	Itgb6	Mutant1	Mutant_positive_minus_negative	1.05672254231031	9	5
16420	Itgb6	Itgb6	Mutant3	WT_positive_minus_negative	1.18460259313712	9	5
16420	Itgb6	Itgb6	Mutant4	Mutant_minus_WT_CD44_interaction	-0.00856544802670611	9	5
16420	Itgb6	Itgb6	Mutant2	WT_positive_minus_negative	1.18459757412492	9	5
16420	Itgb6	Itgb6	Mutant3	Mutant_minus_WT_CD44_interaction	-0.134850761316261	9	5
16420	Itgb6	Itgb6	Mutant3	Mutant_positive_minus_negative	1.04975183182086	9	5
16420	Itgb6	Itgb6	Mutant2	Mutant_minus_WT_CD44_interaction	-0.141744212659345	9	5
16420	Itgb6	Itgb6	Mutant4	Mutant_positive_minus_negative	1.17855368246603	9	5
16420	Itgb6	Itgb6	Mutant1	Mutant_minus_WT_CD44_interaction	-0.127644913909274	9	5
16420	Itgb6	Itgb6	Mutant2	Mutant_positive_minus_negative	1.04285336146558	9	5
16420	Itgb6	Itgb6	Mutant4	WT_positive_minus_negative	1.18711913049274	9	5
16691	Krt8	Krt8	WT2	Mutant_positive_minus_negative	0.397524853221507	9	5
16691	Krt8	Krt8	WT2	WT_positive_minus_negative	0.240756025182514	9	5
16691	Krt8	Krt8	WT2	Mutant_minus_WT_CD44_interaction	0.156768828038993	9	5
16691	Krt8	Krt8	WT4	WT_positive_minus_negative	0.25472733277678	9	5
16691	Krt8	Krt8	WT3	Mutant_minus_WT_CD44_interaction	0.204603368790319	9	5
16691	Krt8	Krt8	WT1	Mutant_positive_minus_negative	0.397559725580886	9	5
16691	Krt8	Krt8	WT4	Mutant_minus_WT_CD44_interaction	0.142714639328742	9	5
16691	Krt8	Krt8	Mutant3	Mutant_minus_WT_CD44_interaction	0.0989040435060031	9	5
16691	Krt8	Krt8	Mutant1	WT_positive_minus_negative	0.291601607785794	9	5
16691	Krt8	Krt8	WT3	Mutant_positive_minus_negative	0.397482112287819	9	5
16691	Krt8	Krt8	WT1	WT_positive_minus_negative	0.197904502194384	9	5
16691	Krt8	Krt8	WT4	Mutant_positive_minus_negative	0.397441972105522	9	5
16691	Krt8	Krt8	Mutant3	Mutant_positive_minus_negative	0.39054750993841	9	5
16691	Krt8	Krt8	WT1	Mutant_minus_WT_CD44_interaction	0.199655223386502	9	5
16691	Krt8	Krt8	WT3	WT_positive_minus_negative	0.1928787434975	9	5
16691	Krt8	Krt8	Mutant4	WT_positive_minus_negative	0.292117967450732	9	5
16691	Krt8	Krt8	Mutant1	Mutant_positive_minus_negative	0.325463531813093	9	5
16691	Krt8	Krt8	Mutant3	WT_positive_minus_negative	0.291643466432406	9	5
16691	Krt8	Krt8	Mutant4	Mutant_minus_WT_CD44_interaction	0.0725938472243174	9	5
16691	Krt8	Krt8	Mutant2	WT_positive_minus_negative	0.29164313655766	9	5
16691	Krt8	Krt8	Mutant1	Mutant_minus_WT_CD44_interaction	0.0338619240272984	9	5
16691	Krt8	Krt8	Mutant2	Mutant_minus_WT_CD44_interaction	0.0136994933919635	9	5
16691	Krt8	Krt8	Mutant4	Mutant_positive_minus_negative	0.364711814675049	9	5
16691	Krt8	Krt8	Mutant2	Mutant_positive_minus_negative	0.305342629949623	9	5
16669	Krt19	Krt19	WT2	Mutant_positive_minus_negative	0.650923238006205	9	5
16669	Krt19	Krt19	WT4	Mutant_minus_WT_CD44_interaction	-0.349473173729071	9	5
16669	Krt19	Krt19	WT4	Mutant_positive_minus_negative	0.650920296695822	9	5
16669	Krt19	Krt19	WT2	WT_positive_minus_negative	1.02194900845628	9	5
16669	Krt19	Krt19	WT3	WT_positive_minus_negative	1.00486990410905	9	5
16669	Krt19	Krt19	WT2	Mutant_minus_WT_CD44_interaction	-0.371025770450075	9	5
16669	Krt19	Krt19	WT4	WT_positive_minus_negative	1.00039347042489	9	5
16669	Krt19	Krt19	WT3	Mutant_minus_WT_CD44_interaction	-0.353948365558159	9	5
16669	Krt19	Krt19	WT1	Mutant_positive_minus_negative	0.650924202830914	9	5
16669	Krt19	Krt19	Mutant2	WT_positive_minus_negative	1.08254700098529	9	5
16669	Krt19	Krt19	Mutant3	Mutant_minus_WT_CD44_interaction	-0.494049926219392	9	5
16669	Krt19	Krt19	Mutant1	WT_positive_minus_negative	1.08253016442367	9	5
16669	Krt19	Krt19	WT3	Mutant_positive_minus_negative	0.650921538550888	9	5
16669	Krt19	Krt19	WT1	WT_positive_minus_negative	1.02349832420866	9	5
16669	Krt19	Krt19	Mutant1	Mutant_minus_WT_CD44_interaction	-0.493526709514569	9	5
16669	Krt19	Krt19	Mutant3	Mutant_positive_minus_negative	0.588501931673588	9	5
16669	Krt19	Krt19	WT1	Mutant_minus_WT_CD44_interaction	-0.372574121377747	9	5
16669	Krt19	Krt19	Mutant2	Mutant_positive_minus_negative	0.588329110681555	9	5
16669	Krt19	Krt19	Mutant4	WT_positive_minus_negative	1.08277794513526	9	5
16669	Krt19	Krt19	Mutant1	Mutant_positive_minus_negative	0.589003454909106	9	5
16669	Krt19	Krt19	Mutant3	WT_positive_minus_negative	1.08255185789298	9	5
16669	Krt19	Krt19	Mutant4	Mutant_minus_WT_CD44_interaction	-0.448485473290963	9	5
16669	Krt19	Krt19	Mutant4	Mutant_positive_minus_negative	0.634292471844296	9	5
