sample_id	source_alias	sort_gate	PC1	PC2	raw_library_count	detected_features
R26_8_CD44-	R26_8	Neg	-56.74334108538963	-15.728345102378618	16341755	18421
R26_7_CD44-	R26_7	Neg	-56.31576054811019	-15.327949830117722	16095221	18392
R26_2_CD44-	R26_2	Neg	-55.82057556960988	-15.683910005698777	13395443	18124
R26_1_CD44-	R26_1	Neg	-54.9501814364307	-14.914603310568838	13593730	18155
R26_8_CD44+	R26_8	Pos	-17.95491127853835	34.96895006434721	10739366	18474
R26_7_CD44+	R26_7	Pos	-21.475630649318255	31.102867067358584	11024351	18682
R26_2_CD44+	R26_2	Pos	-22.706185793832393	30.909996748933484	9022471	18005
R26_1_CD44+	R26_1	Pos	-11.299402312808517	41.54630512987702	10641829	18816
OG7_CD44-	OG7	Neg	22.725676834397653	-25.856969635359743	14761805	18235
OG6_CD44-	OG6	Neg	22.78762711889934	-25.18143602396492	21363816	18748
OG5_CD44-	OG5	Neg	22.70235467092697	-25.737182600996345	11489364	17996
OG3_CD44-	OG3	Neg	22.690355183517596	-25.17796925732693	16678368	18424
OG7_CD44+	OG7	Pos	50.501180204425786	1.970211207759856	12468980	18674
OG6_CD44+	OG6	Pos	50.65831360622573	2.2763808190937818	11623774	18508
OG5_CD44+	OG5	Pos	51.07085129864805	2.9796263154238765	13596733	18645
OG3_CD44+	OG3	Pos	54.129629756996685	17.854028413618042	11237147	18406
