gsm	state	replicate	mark	assembly	normalization	source_path	sha256
GSM8796438	iAT1	CUT1	H3K27ac	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796438_iAT1_H3K27ac_CUT1.bw	b1d30d923cd25cdfff7cc448b06117b8ac0d3da7a1d87a0ed6067bf3045abea5
GSM8796436	iATCs	CUT1	H3K27ac	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796436_iATCs_H3K27ac_CUT1.bw	17240d060c9976b65a083b86ba4c75fdc628480f2385c0cf8ce8eba384a668b5
GSM8796437	iAT2	CUT1	H3K27ac	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796437_iAT2_H3K27ac_CUT1.bw	53a04ee0f326478b6cb00c24f10832757da658983e146baf860e103581f87be7
GSM8796439	iATCs	CUT2	H3K27ac	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796439_iATCs_H3K27ac_CUT2.bw	a3c4387211f679d5e2c2ccc769187ebbca73c8bb41bbe689ede1949a833a0154
GSM8796440	iAT2	CUT2	H3K27ac	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796440_iAT2_H3K27ac_CUT2.bw	f1864940c5a1d78d3a918799661926a1619ec19d464f82478c2a510ba2b600ca
GSM8796441	iAT1	CUT2	H3K27ac	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796441_iAT1_H3K27ac_CUT2.bw	cbcb0334c1e5b4a2d2de2cd1b94458b08121dc0fc5c0f2212d25971bd2d145e9
GSM8796443	iAT2	CUT1	H3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796443_iAT2_H3_CUT1.bw	f2e45b89ce0a86202b295a97901e3b2d969a077f9c0d9c6da15eaef4c18d93b9
GSM8796442	iATCs	CUT1	H3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796442_iATCs_H3_CUT1.bw	b928dd1222cba49133cd722e5967f67f66e41c6de488641acc7dde46f37b75ed
GSM8796444	iAT1	CUT1	H3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796444_iAT1_H3_CUT1.bw	bb588dddbb641f1f44820609e095d43bed03cdcf56d2d71227505fc8a51ca2c3
GSM8796445	iATCs	CUT2	H3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796445_iATCs_H3_CUT2.bw	b74c529bd13bb2311133e9a6c726c408c1df93e06d7b0a863c1bf9aa009a797e
GSM8796447	iAT1	CUT2	H3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796447_iAT1_H3_CUT2.bw	1a87ecd0d83a8254c3194bdb9e29abfccae0ffb33e1cbb46e1bada90a36ce525
GSM8833580	iATCs	CUT1	H3K4me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833580_iATCs_H3K4me3_CUT1.bw	e5406c4922d4a7b09ee54f7aeb64f3d6f6eded1448c4446171c7940d1ec56fef
GSM8833581	iAT2	CUT1	H3K4me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833581_iAT2_H3K4me3_CUT1.bw	0a91489f24aa428e446b4b7fa36d0684a6357c2100a9fbf0f9178233539bcadd
GSM8833582	iAT1	CUT1	H3K4me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833582_iAT1_H3K4me3_CUT1.bw	825b3af9004fdef03e172a0251264f6e4a49d3e000dbcc840ca7124c3a5a07e1
GSM8833583	iATCs	CUT2	H3K4me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833583_iATCs_H3K4me3_CUT2.bw	2480116fa3bb977b03d9191d5909f9297e33bae7c22c8e2817fa15d13ebb8e2a
GSM8833584	iAT2	CUT2	H3K4me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833584_iAT2_H3K4me3_CUT2.bw	b1310f4a82f4befa2df8e52e9e79a1beda9aad34fbad206cb703257ac99f9179
GSM8833585	iAT1	CUT2	H3K4me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833585_iAT1_H3K4me3_CUT2.bw	67163b68a105003b452b7a2eeb4ec8b75269b89b288c20ae0e7b90b2243df1e3
GSM8833586	iATCs	CUT1	H3K27me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833586_iATCs_H3K27me3_CUT1.bw	ddc23d9760dff574dfff097388c8ccae8ccb9ad36b94442afcb8c7e85b0b7505
GSM8796446	iAT2	CUT2	H3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE289683/GSM8796446_iAT2_H3_CUT2.bw	b7f246980c21c980b740d165776efefb04bb81f1a0475259883143cc0a27c7d8
GSM8833588	iAT1	CUT1	H3K27me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833588_iAT1_H3K27me3_CUT1.bw	e224e0ca35bfbdf7ec0af6d444682230637d291bfce7e8db2e3221147c804207
GSM8833589	iATCs	CUT2	H3K27me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833589_iATCs_H3K27me3_CUT2.bw	a073543817ee76378f778b99c67e84db6730919a78dcda7fc5ac8ff7d84c56d5
GSM8833587	iAT2	CUT1	H3K27me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833587_iAT2_H3K27me3_CUT1.bw	94080f695729ba6826375572687d52513693694bd5b49888c125f90eb6da829c
GSM8833590	iAT2	CUT2	H3K27me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833590_iAT2_H3K27me3_CUT2.bw	b62c0dd6f2ab84a26914c4762e2821c3be0398ce148ac38f85a7dca7ab967e43
GSM8833591	iAT1	CUT2	H3K27me3	T2T-CHM13v2.0	CPM; not spike-in scaled	cache/direct_marks/GSE291333/GSM8833591_iAT1_H3K27me3_CUT2.bw	185d976303678e2c7b938c174b4c5d6f237ddd017d802b2bdff893c19cec5b76
