level	label	cells	unmapped_newleiden	cell_type_mismatches	stringent_other	literal_changes	retained_code_changes	abstention_fraction
state	AT1-like	1367	0	0	154	154	0	0.11265544989027067
state	AT2-like	1277	0	0	538	538	0	0.42129992169146435
state	EMT	16	0	0	5	5	0	0.3125
state	HPCS	1717	0	0	146	146	0	0.0850320326150262
state	Highly proliferative	107	0	0	50	50	0	0.4672897196261682
state	Hybrid lung/gastric-like	308	0	0	55	55	0	0.17857142857142858
state	Lung endoderm-like	531	0	0	331	331	0	0.623352165725047
state	Ribosome	10	0	0	3	3	0	0.3
source	BD1621_B0302_GFP+	119	0	0	36	36	0	0.3025210084033613
source	BF1303_B0301_GFP+	811	0	0	321	321	0	0.3958076448828607
source	BH1065_B0301_GFP+	138	0	0	50	50	0	0.36231884057971014
source	BH1066_GFP+	61	0	0	14	14	0	0.22950819672131148
source	BH1094_B0302_GFP+	376	0	0	121	121	0	0.32180851063829785
source	BH1129_B0303_GFP+	90	0	0	23	23	0	0.25555555555555554
source	BH1290_B0304_GFP+	138	0	0	33	33	0	0.2391304347826087
source	BL1121_B0304	57	0	0	10	10	0	0.17543859649122806
source	BL1124_B0305	67	0	0	9	9	0	0.13432835820895522
source	BL1233_B0306	58	0	0	12	12	0	0.20689655172413793
source	BL1237_B0302	239	0	0	19	19	0	0.0794979079497908
source	BL1606_B0303	354	0	0	78	78	0	0.22033898305084745
source	BL1646_B0301	102	0	0	22	22	0	0.21568627450980393
source	BO1535_B0302	76	0	0	4	4	0	0.05263157894736842
source	BO1540_B0303	146	0	0	5	5	0	0.03424657534246575
source	BP1479_B0309	361	0	0	66	66	0	0.18282548476454294
source	BQ1151_B0308	648	0	0	178	178	0	0.27469135802469136
source	BQ1152_B0309	578	0	0	178	178	0	0.3079584775086505
source	BQ1920_B0308	550	0	0	88	88	0	0.16
source	BR1128_B0307	28	0	0	1	1	0	0.03571428571428571
source	BR1615_B0304	158	0	0	5	5	0	0.03164556962025317
source	BS1265_B0305	178	0	0	9	9	0	0.05056179775280899
group	12wk_3d	877	0	0	150	150	0	0.17103762827822122
group	14wk	991	0	0	371	371	0	0.37436932391523714
group	6wk_3d	586	0	0	24	24	0	0.040955631399317405
group	8wk	742	0	0	227	227	0	0.3059299191374663
group	Hopx_12wk14d	911	0	0	154	154	0	0.1690450054884742
group	Hopx_12wk3d	1226	0	0	356	356	0	0.2903752039151713
