accession	gsm	experiment	biosample	GEO_title	ENA_title	experiment_alias	library_name	genotype	sort	biological_unit_status	source_url
GSE154966	GSM4685043	SRX8806123	SAMN15618163	YY1181_Tigit_Neg_S1 bulk ATACseq	YY1181_Tigit_Neg_S1 bulk ATACseq	GSM4685043		Kras mut, Trp53 null	Negative	held: pool membership/non-overlap unresolved	https://www.ebi.ac.uk/ena/browser/view/SRX8806123
GSE154966	GSM4685044	SRX8806124	SAMN15618162	YY1181_Tigit_Pos_S2 bulk ATACseq	YY1181_Tigit_Pos_S2 bulk ATACseq	GSM4685044		Kras mut, Trp53 null	Positive	held: pool membership/non-overlap unresolved	https://www.ebi.ac.uk/ena/browser/view/SRX8806124
GSE154966	GSM4685045	SRX8806125	SAMN15618161	YY1916_Tigit_Neg_S3 bulk ATACseq	YY1916_Tigit_Neg_S3 bulk ATACseq	GSM4685045		Kras mut, Trp53 null	Negative	held: pool membership/non-overlap unresolved	https://www.ebi.ac.uk/ena/browser/view/SRX8806125
GSE154966	GSM4685046	SRX8806126	SAMN15618160	YY1916_Tigit_Pos_S4 bulk ATACseq	YY1916_Tigit_Pos_S4 bulk ATACseq	GSM4685046		Kras mut, Trp53 null	Positive	held: pool membership/non-overlap unresolved	https://www.ebi.ac.uk/ena/browser/view/SRX8806126
GSE154966	GSM4685047	SRX8806127	SAMN15618159	106621_106642_Tigit_Neg_S5 bulk ATACseq	106621_106642_Tigit_Neg_S5 bulk ATACseq	GSM4685047		Kras mut, Trp53 null	Negative	held: pool membership/non-overlap unresolved	https://www.ebi.ac.uk/ena/browser/view/SRX8806127
GSE154966	GSM4685048	SRX8806128	SAMN15618158	106621_106642_Tigit_Pos_S6 bulk ATACseq	106621_106642_Tigit_Pos_S6 bulk ATACseq	GSM4685048		Kras mut, Trp53 null	Positive	held: pool membership/non-overlap unresolved	https://www.ebi.ac.uk/ena/browser/view/SRX8806128
GSE154966	GSM4685049	SRX8806129	SAMN15618157	106623_Tigit_Neg_S7 bulk ATACseq	106623_Tigit_Neg_S7 bulk ATACseq	GSM4685049		Kras mut, Trp53 null	Negative	held: pool membership/non-overlap unresolved	https://www.ebi.ac.uk/ena/browser/view/SRX8806129
GSE154966	GSM4685050	SRX8806130	SAMN15618155	106623_Tigit_Pos_S8 bulk ATACseq	106623_Tigit_Pos_S8 bulk ATACseq	GSM4685050		Kras mut, Trp53 null	Positive	held: pool membership/non-overlap unresolved	https://www.ebi.ac.uk/ena/browser/view/SRX8806130
GSE273123	GSM8422162	SRX25477427	SAMN42826590	WT1 AT2 CD44 neg	WT1 AT2 CD44 neg	GSM8422162_r1	GSM8422162	SP-C WT	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477427
GSE273123	GSM8422163	SRX25477428	SAMN42826589	WT2 AT2 CD44 neg	WT2 AT2 CD44 neg	GSM8422163_r1	GSM8422163	SP-C WT	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477428
GSE273123	GSM8422164	SRX25477429	SAMN42826588	WT3 AT2 CD44 neg	WT3 AT2 CD44 neg	GSM8422164_r1	GSM8422164	SP-C WT	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477429
GSE273123	GSM8422165	SRX25477430	SAMN42826587	WT4 AT2 CD44 neg	WT4 AT2 CD44 neg	GSM8422165_r1	GSM8422165	SP-C WT	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477430
GSE273123	GSM8422166	SRX25477431	SAMN42826586	WT1 AT2 CD44 pos	WT1 AT2 CD44 pos	GSM8422166_r1	GSM8422166	SP-C WT	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477431
GSE273123	GSM8422167	SRX25477432	SAMN42826585	WT2 AT2 CD44 pos	WT2 AT2 CD44 pos	GSM8422167_r1	GSM8422167	SP-C WT	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477432
GSE273123	GSM8422168	SRX25477433	SAMN42826584	WT3 AT2 CD44 pos	WT3 AT2 CD44 pos	GSM8422168_r1	GSM8422168	SP-C WT	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477433
GSE273123	GSM8422169	SRX25477434	SAMN42826583	WT4 AT2 CD44 pos	WT4 AT2 CD44 pos	GSM8422169_r1	GSM8422169	SP-C WT	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477434
GSE273123	GSM8422170	SRX25477435	SAMN42826582	SPC Mut1 AT2 CD44 neg	SPC Mut1 AT2 CD44 neg	GSM8422170_r1	GSM8422170	SP-C Mutant	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477435
GSE273123	GSM8422171	SRX25477436	SAMN42826581	SPC Mut2 AT2 CD44 neg	SPC Mut2 AT2 CD44 neg	GSM8422171_r1	GSM8422171	SP-C Mutant	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477436
GSE273123	GSM8422172	SRX25477437	SAMN42826580	SPC Mut3 AT2 CD44 neg	SPC Mut3 AT2 CD44 neg	GSM8422172_r1	GSM8422172	SP-C Mutant	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477437
GSE273123	GSM8422173	SRX25477438	SAMN42826579	SPC Mut4 AT2 CD44 neg	SPC Mut4 AT2 CD44 neg	GSM8422173_r1	GSM8422173	SP-C Mutant	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477438
GSE273123	GSM8422174	SRX25477439	SAMN42826578	SPC Mut1 AT2 CD44 pos	SPC Mut1 AT2 CD44 pos	GSM8422174_r1	GSM8422174	SP-C Mutant	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477439
GSE273123	GSM8422175	SRX25477440	SAMN42826577	SPC Mut2 AT2 CD44 pos	SPC Mut2 AT2 CD44 pos	GSM8422175_r1	GSM8422175	SP-C Mutant	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477440
GSE273123	GSM8422176	SRX25477441	SAMN42826576	SPC Mut3 AT2 CD44 pos	SPC Mut3 AT2 CD44 pos	GSM8422176_r1	GSM8422176	SP-C Mutant	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477441
GSE273123	GSM8422177	SRX25477442	SAMN42826575	SPC Mut4 AT2 CD44 pos	SPC Mut4 AT2 CD44 pos	GSM8422177_r1	GSM8422177	SP-C Mutant	see GEO title	held: matrix alias-to-GSM missing	https://www.ebi.ac.uk/ena/browser/view/SRX25477442
