sample_id	gsm	source_title	mouse	sex	batch	group	assay	exposure	compartment	raw_library_count	genes_detected
Bleo_017_E	GSM5732434	Bleomycin_epithelial_017	17	F	S061	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	22160802	20109
Bleo_031_E	GSM5732436	Bleomycin_epithelial_031	31	F	S061	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	21790283	19986
Bleo_045_E	GSM5732438	Bleomycin_epithelial_045	45	M	S061	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	21922256	20718
Bleo_KIRA8_020_E	GSM5732440	BleomycinKIRA8_epithelial_020	20	F	S061	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	26788479	18891
Bleo_KIRA8_032_E	GSM5732442	BleomycinKIRA8_epithelial_032	32	F	S061	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	29572672	19602
Bleo_KIRA8_041_E	GSM5732444	BleomycinKIRA8_epithelial_041	41	M	S061	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	31359928	19460
Bleo_E_148	GSM5732446	Bleomycin_epithelial_148	148	M	S135	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	13014527	16513
Bleo_E_149	GSM5732447	Bleomycin_epithelial_149	149	M	S135	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	16543496	16026
Bleo_KIRA8_E_154	GSM5732450	BleomycinKIRA8_epithelial_154	154	M	S135	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	14836082	16182
Bleo_KIRA8_E_155	GSM5732451	BleomycinKIRA8_epithelial_155	155	M	S135	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	7163613	15134
