feature_id	retained
ENSMUSG00000000001	TRUE
ENSMUSG00000000003	FALSE
ENSMUSG00000000028	TRUE
ENSMUSG00000000031	TRUE
ENSMUSG00000000037	FALSE
ENSMUSG00000000049	TRUE
ENSMUSG00000000056	TRUE
ENSMUSG00000000058	TRUE
ENSMUSG00000000078	TRUE
ENSMUSG00000000085	TRUE
ENSMUSG00000000088	TRUE
ENSMUSG00000000093	TRUE
ENSMUSG00000000094	TRUE
ENSMUSG00000000103	FALSE
ENSMUSG00000000120	TRUE
ENSMUSG00000000125	FALSE
ENSMUSG00000000126	TRUE
ENSMUSG00000000127	TRUE
ENSMUSG00000000131	TRUE
ENSMUSG00000000134	TRUE
ENSMUSG00000000142	TRUE
ENSMUSG00000000148	TRUE
ENSMUSG00000000149	TRUE
ENSMUSG00000000154	TRUE
ENSMUSG00000000157	FALSE
ENSMUSG00000000159	TRUE
ENSMUSG00000000167	TRUE
ENSMUSG00000000168	TRUE
ENSMUSG00000000171	TRUE
ENSMUSG00000000182	FALSE
ENSMUSG00000000183	FALSE
ENSMUSG00000000184	TRUE
ENSMUSG00000000194	TRUE
ENSMUSG00000000197	FALSE
ENSMUSG00000000202	TRUE
ENSMUSG00000000204	TRUE
ENSMUSG00000000214	FALSE
ENSMUSG00000000215	FALSE
ENSMUSG00000000216	TRUE
ENSMUSG00000000223	FALSE
ENSMUSG00000000244	FALSE
ENSMUSG00000000247	TRUE
ENSMUSG00000000248	FALSE
ENSMUSG00000000253	TRUE
ENSMUSG00000000263	FALSE
ENSMUSG00000000266	TRUE
ENSMUSG00000000275	TRUE
ENSMUSG00000000276	TRUE
ENSMUSG00000000278	TRUE
ENSMUSG00000000282	TRUE
ENSMUSG00000000290	TRUE
ENSMUSG00000000295	TRUE
ENSMUSG00000000296	TRUE
ENSMUSG00000000301	TRUE
ENSMUSG00000000303	TRUE
ENSMUSG00000000305	TRUE
ENSMUSG00000000308	TRUE
ENSMUSG00000000317	TRUE
ENSMUSG00000000318	TRUE
ENSMUSG00000000320	TRUE
ENSMUSG00000000325	TRUE
ENSMUSG00000000326	TRUE
ENSMUSG00000000339	TRUE
ENSMUSG00000000340	TRUE
ENSMUSG00000000346	TRUE
ENSMUSG00000000355	TRUE
ENSMUSG00000000359	FALSE
ENSMUSG00000000365	FALSE
ENSMUSG00000000374	TRUE
ENSMUSG00000000378	TRUE
ENSMUSG00000000381	FALSE
ENSMUSG00000000384	TRUE
ENSMUSG00000000385	TRUE
ENSMUSG00000000386	TRUE
ENSMUSG00000000392	FALSE
ENSMUSG00000000394	FALSE
ENSMUSG00000000399	TRUE
ENSMUSG00000000402	TRUE
ENSMUSG00000000409	TRUE
ENSMUSG00000000411	FALSE
ENSMUSG00000000416	TRUE
ENSMUSG00000000420	TRUE
ENSMUSG00000000435	FALSE
ENSMUSG00000000439	TRUE
ENSMUSG00000000440	TRUE
ENSMUSG00000000441	TRUE
ENSMUSG00000000486	TRUE
ENSMUSG00000000489	TRUE
ENSMUSG00000000530	TRUE
ENSMUSG00000000531	TRUE
ENSMUSG00000000532	TRUE
ENSMUSG00000000538	TRUE
ENSMUSG00000000544	FALSE
ENSMUSG00000000552	TRUE
ENSMUSG00000000555	TRUE
ENSMUSG00000000560	FALSE
ENSMUSG00000000561	TRUE
ENSMUSG00000000562	TRUE
ENSMUSG00000000563	TRUE
ENSMUSG00000000567	TRUE
ENSMUSG00000000568	TRUE
ENSMUSG00000000579	FALSE
ENSMUSG00000000581	TRUE
ENSMUSG00000000594	TRUE
ENSMUSG00000000600	TRUE
ENSMUSG00000000605	TRUE
ENSMUSG00000000606	FALSE
ENSMUSG00000000617	FALSE
ENSMUSG00000000627	TRUE
ENSMUSG00000000628	TRUE
ENSMUSG00000000631	TRUE
ENSMUSG00000000632	FALSE
ENSMUSG00000000673	TRUE
ENSMUSG00000000682	TRUE
ENSMUSG00000000686	TRUE
ENSMUSG00000000690	FALSE
ENSMUSG00000000693	TRUE
ENSMUSG00000000701	FALSE
ENSMUSG00000000706	FALSE
ENSMUSG00000000708	TRUE
ENSMUSG00000000711	TRUE
ENSMUSG00000000724	FALSE
ENSMUSG00000000730	FALSE
ENSMUSG00000000731	FALSE
ENSMUSG00000000732	TRUE
ENSMUSG00000000738	TRUE
ENSMUSG00000000739	TRUE
ENSMUSG00000000740	TRUE
ENSMUSG00000000743	TRUE
ENSMUSG00000000751	TRUE
ENSMUSG00000000753	TRUE
ENSMUSG00000000759	TRUE
ENSMUSG00000000766	FALSE
ENSMUSG00000000776	TRUE
ENSMUSG00000000782	TRUE
ENSMUSG00000000787	TRUE
ENSMUSG00000000791	FALSE
ENSMUSG00000000792	FALSE
ENSMUSG00000000794	TRUE
ENSMUSG00000000804	TRUE
ENSMUSG00000000805	TRUE
ENSMUSG00000000811	TRUE
ENSMUSG00000000817	FALSE
ENSMUSG00000000823	TRUE
ENSMUSG00000000826	TRUE
ENSMUSG00000000827	TRUE
ENSMUSG00000000838	TRUE
ENSMUSG00000000861	TRUE
ENSMUSG00000000869	FALSE
ENSMUSG00000000876	TRUE
ENSMUSG00000000881	TRUE
ENSMUSG00000000884	TRUE
ENSMUSG00000000889	FALSE
ENSMUSG00000000901	TRUE
ENSMUSG00000000902	TRUE
ENSMUSG00000000903	TRUE
ENSMUSG00000000915	TRUE
ENSMUSG00000000916	TRUE
ENSMUSG00000000934	TRUE
ENSMUSG00000000938	FALSE
ENSMUSG00000000942	FALSE
ENSMUSG00000000948	FALSE
ENSMUSG00000000957	TRUE
ENSMUSG00000000958	FALSE
ENSMUSG00000000959	TRUE
ENSMUSG00000000976	TRUE
ENSMUSG00000000982	FALSE
ENSMUSG00000000983	TRUE
ENSMUSG00000001014	FALSE
ENSMUSG00000001016	TRUE
ENSMUSG00000001017	TRUE
ENSMUSG00000001018	TRUE
ENSMUSG00000001020	TRUE
ENSMUSG00000001021	TRUE
ENSMUSG00000001023	FALSE
ENSMUSG00000001025	TRUE
ENSMUSG00000001027	FALSE
ENSMUSG00000001029	TRUE
ENSMUSG00000001034	TRUE
ENSMUSG00000001036	TRUE
ENSMUSG00000001039	TRUE
ENSMUSG00000001052	TRUE
ENSMUSG00000001053	TRUE
ENSMUSG00000001054	TRUE
ENSMUSG00000001056	TRUE
ENSMUSG00000001062	TRUE
ENSMUSG00000001065	TRUE
ENSMUSG00000001076	FALSE
ENSMUSG00000001082	TRUE
ENSMUSG00000001089	TRUE
ENSMUSG00000001095	TRUE
ENSMUSG00000001098	TRUE
ENSMUSG00000001100	TRUE
ENSMUSG00000001103	FALSE
ENSMUSG00000001105	TRUE
ENSMUSG00000001119	TRUE
ENSMUSG00000001120	TRUE
ENSMUSG00000001123	TRUE
ENSMUSG00000001127	TRUE
ENSMUSG00000001128	TRUE
ENSMUSG00000001131	TRUE
ENSMUSG00000001134	TRUE
ENSMUSG00000001138	TRUE
ENSMUSG00000001143	TRUE
ENSMUSG00000001150	TRUE
ENSMUSG00000001151	TRUE
ENSMUSG00000001155	TRUE
ENSMUSG00000001156	TRUE
ENSMUSG00000001157	TRUE
ENSMUSG00000001158	TRUE
ENSMUSG00000001166	TRUE
ENSMUSG00000001168	FALSE
ENSMUSG00000001173	TRUE
ENSMUSG00000001175	TRUE
ENSMUSG00000001211	TRUE
ENSMUSG00000001225	FALSE
ENSMUSG00000001227	TRUE
ENSMUSG00000001228	TRUE
ENSMUSG00000001229	TRUE
ENSMUSG00000001240	TRUE
ENSMUSG00000001247	TRUE
ENSMUSG00000001248	TRUE
