gene_set	symbol	feature_id
TGFbeta	Ackr3	ENSMUSG00000044337
TGFbeta	Actn1	ENSMUSG00000015143
TGFbeta	Areg	ENSMUSG00000029378
TGFbeta	Axl	ENSMUSG00000002602
TGFbeta	Capn2	ENSMUSG00000026509
TGFbeta	Ccn2	ENSMUSG00000019997
TGFbeta	Ccr2	ENSMUSG00000049103
TGFbeta	Cd44	ENSMUSG00000005087
TGFbeta	Cdc42	ENSMUSG00000006699
TGFbeta	Cdk4	ENSMUSG00000006728
TGFbeta	Ctsh	ENSMUSG00000032359
TGFbeta	Ddb2	ENSMUSG00000002109
TGFbeta	Epha2	ENSMUSG00000006445
TGFbeta	Fbn1	ENSMUSG00000027204
TGFbeta	Fmod	ENSMUSG00000041559
TGFbeta	Fscn1	ENSMUSG00000029581
TGFbeta	Fstl1	ENSMUSG00000022816
TGFbeta	Gadd45a	ENSMUSG00000036390
TGFbeta	Gja1	ENSMUSG00000050953
TGFbeta	Gja4	ENSMUSG00000050234
TGFbeta	Hmgb2	ENSMUSG00000054717
TGFbeta	Hsp90b1	ENSMUSG00000020048
TGFbeta	Igfbp4	ENSMUSG00000017493
TGFbeta	Itgav	ENSMUSG00000027087
TGFbeta	Itgb5	ENSMUSG00000022817
TGFbeta	Itgb6	ENSMUSG00000026971
TGFbeta	Lcp1	ENSMUSG00000021998
TGFbeta	Lox	ENSMUSG00000024529
TGFbeta	Marco	ENSMUSG00000026390
TGFbeta	Mfap2	ENSMUSG00000060572
TGFbeta	Mgp	ENSMUSG00000030218
TGFbeta	Mmp13	ENSMUSG00000050578
TGFbeta	Mmp14	ENSMUSG00000000957
TGFbeta	Mmp3	ENSMUSG00000043613
TGFbeta	Pck1	ENSMUSG00000027513
TGFbeta	Rfc3	ENSMUSG00000033970
TGFbeta	Rhoa	ENSMUSG00000007815
TGFbeta	S100a4	ENSMUSG00000001020
TGFbeta	Scarb1	ENSMUSG00000037936
TGFbeta	Serpine1	ENSMUSG00000037411
TGFbeta	Serpine2	ENSMUSG00000026249
TGFbeta	Spp1	ENSMUSG00000029304
TGFbeta	Tcp1	ENSMUSG00000068039
TGFbeta	Tfap2a	ENSMUSG00000021359
TGFbeta	Tgfbi	ENSMUSG00000035493
TGFbeta	Thbs1	ENSMUSG00000040152
TGFbeta	Thsd1	ENSMUSG00000031480
TGFbeta	Timp1	ENSMUSG00000001131
TGFbeta	Tnc	ENSMUSG00000028364
Gene Ontology 0006986	Abcb10	ENSMUSG00000031974
Gene Ontology 0006986	Amfr	ENSMUSG00000031751
Gene Ontology 0006986	Atf3	ENSMUSG00000026628
Gene Ontology 0006986	Atf4	ENSMUSG00000042406
Gene Ontology 0006986	Atf6	ENSMUSG00000026663
Gene Ontology 0006986	Atf6b	ENSMUSG00000015461
Gene Ontology 0006986	Bag3	ENSMUSG00000030847
Gene Ontology 0006986	Bhlha15	ENSMUSG00000052271
Gene Ontology 0006986	Casp12	ENSMUSG00000025887
Gene Ontology 0006986	Ccnd1	ENSMUSG00000070348
Gene Ontology 0006986	Cdk5rap3	ENSMUSG00000018669
Gene Ontology 0006986	Chac1	ENSMUSG00000027313
Gene Ontology 0006986	Comp	ENSMUSG00000031849
Gene Ontology 0006986	Creb3	ENSMUSG00000028466
Gene Ontology 0006986	Creb3l1	ENSMUSG00000027230
Gene Ontology 0006986	Creb3l2	ENSMUSG00000038648
Gene Ontology 0006986	Creb3l3	ENSMUSG00000035041
Gene Ontology 0006986	Creb3l4	ENSMUSG00000027938
Gene Ontology 0006986	Crebrf	ENSMUSG00000048249
Gene Ontology 0006986	Dab2ip	ENSMUSG00000026883
Gene Ontology 0006986	Daxx	ENSMUSG00000002307
Gene Ontology 0006986	Ddit3	ENSMUSG00000116429
Gene Ontology 0006986	Derl1	ENSMUSG00000022365
Gene Ontology 0006986	Derl2	ENSMUSG00000018442
Gene Ontology 0006986	Derl3	ENSMUSG00000009092
Gene Ontology 0006986	Dnajb9	ENSMUSG00000014905
Gene Ontology 0006986	Dnajc3	ENSMUSG00000022136
Gene Ontology 0006986	Edem1	ENSMUSG00000030104
Gene Ontology 0006986	Edem2	ENSMUSG00000038312
Gene Ontology 0006986	Edem3	ENSMUSG00000043019
Gene Ontology 0006986	Eif2a	ENSMUSG00000027810
Gene Ontology 0006986	Eif2ak2	ENSMUSG00000024079
Gene Ontology 0006986	Eif2ak3	ENSMUSG00000031668
Gene Ontology 0006986	Eif2ak4	ENSMUSG00000005102
Gene Ontology 0006986	Eif2s1	ENSMUSG00000021116
Gene Ontology 0006986	Ep300	ENSMUSG00000055024
Gene Ontology 0006986	Ermp1	ENSMUSG00000046324
Gene Ontology 0006986	Ern1	ENSMUSG00000020715
Gene Ontology 0006986	Ern2	ENSMUSG00000030866
Gene Ontology 0006986	Ero1a	ENSMUSG00000021831
Gene Ontology 0006986	Erp27	ENSMUSG00000030219
Gene Ontology 0006986	Erp44	ENSMUSG00000028343
Gene Ontology 0006986	Faf2	ENSMUSG00000025873
Gene Ontology 0006986	Fbxo6	ENSMUSG00000055401
Gene Ontology 0006986	Ficd	ENSMUSG00000053334
Gene Ontology 0006986	Herpud1	ENSMUSG00000031770
Gene Ontology 0006986	Herpud2	ENSMUSG00000008429
Gene Ontology 0006986	Hsf1	ENSMUSG00000022556
Gene Ontology 0006986	Hsp90aa1	ENSMUSG00000021270
Gene Ontology 0006986	Hspa13	ENSMUSG00000032932
Gene Ontology 0006986	Hspa14	ENSMUSG00000109865
Gene Ontology 0006986	Hspa1a	ENSMUSG00000091971
Gene Ontology 0006986	Hspa1b	ENSMUSG00000090877
Gene Ontology 0006986	Hspa1l	ENSMUSG00000007033
Gene Ontology 0006986	Hspa2	ENSMUSG00000059970
Gene Ontology 0006986	Hspa4l	ENSMUSG00000025757
Gene Ontology 0006986	Hspa5	ENSMUSG00000026864
Gene Ontology 0006986	Hspa8	ENSMUSG00000015656
Gene Ontology 0006986	Hspa9	ENSMUSG00000024359
Gene Ontology 0006986	Hspb1	ENSMUSG00000004951
Gene Ontology 0006986	Hspb8	ENSMUSG00000041548
Gene Ontology 0006986	Hspd1	ENSMUSG00000025980
Gene Ontology 0006986	Hsph1	ENSMUSG00000029657
Gene Ontology 0006986	Ifng	ENSMUSG00000055170
Gene Ontology 0006986	Jkamp	ENSMUSG00000005078
Gene Ontology 0006986	Manf	ENSMUSG00000032575
Gene Ontology 0006986	Mfn2	ENSMUSG00000029020
Gene Ontology 0006986	Nfe2l2	ENSMUSG00000015839
Gene Ontology 0006986	Optn	ENSMUSG00000026672
Gene Ontology 0006986	Pacrg	ENSMUSG00000037196
Gene Ontology 0006986	Parp16	ENSMUSG00000032392
Gene Ontology 0006986	Pmp22	ENSMUSG00000018217
Gene Ontology 0006986	Ppp1r15a	ENSMUSG00000040435
Gene Ontology 0006986	Ptpn1	ENSMUSG00000027540
Gene Ontology 0006986	Qrich1	ENSMUSG00000006673
Gene Ontology 0006986	Rhbdd1	ENSMUSG00000026142
Gene Ontology 0006986	Selenos	ENSMUSG00000075701
Gene Ontology 0006986	Serp1	ENSMUSG00000027808
Gene Ontology 0006986	Serp2	ENSMUSG00000052584
Gene Ontology 0006986	Stc2	ENSMUSG00000020303
Gene Ontology 0006986	Stt3b	ENSMUSG00000032437
Gene Ontology 0006986	Stub1	ENSMUSG00000039615
Gene Ontology 0006986	Syvn1	ENSMUSG00000024807
Gene Ontology 0006986	Tbl2	ENSMUSG00000005374
Gene Ontology 0006986	Thbs1	ENSMUSG00000040152
Gene Ontology 0006986	Thbs4	ENSMUSG00000021702
Gene Ontology 0006986	Tm7sf3	ENSMUSG00000040234
Gene Ontology 0006986	Tmbim6	ENSMUSG00000023010
Gene Ontology 0006986	Tmed2	ENSMUSG00000029390
Gene Ontology 0006986	Tmem129	ENSMUSG00000019295
Gene Ontology 0006986	Tmtc4	ENSMUSG00000041594
Gene Ontology 0006986	Tram1	ENSMUSG00000025935
Gene Ontology 0006986	Ube2j2	ENSMUSG00000023286
Gene Ontology 0006986	Ubxn4	ENSMUSG00000026353
Gene Ontology 0006986	Umod	ENSMUSG00000030963
Gene Ontology 0006986	Upf2	ENSMUSG00000043241
Gene Ontology 0006986	Upf3a	ENSMUSG00000038398
Gene Ontology 0006986	Upf3b	ENSMUSG00000036572
Gene Ontology 0006986	Vapb	ENSMUSG00000054455
Gene Ontology 0006986	Wfs1	ENSMUSG00000039474
Gene Ontology 0006986	Xbp1	ENSMUSG00000020484
Gene Ontology 0006986	Yod1	ENSMUSG00000046404
T-UPR	Atf4	ENSMUSG00000042406
T-UPR	Bax	ENSMUSG00000003873
T-UPR	Bbc3	ENSMUSG00000002083
T-UPR	Bcl2l11	ENSMUSG00000027381
T-UPR	Ddit3	ENSMUSG00000116429
T-UPR	Pmaip1	ENSMUSG00000024521
T-UPR	Spa5	unmapped
T-UPR	Txnip	ENSMUSG00000038393
