gene_set	symbol	feature_id	retained
TGFbeta	Ackr3	ENSMUSG00000044337	TRUE
TGFbeta	Actn1	ENSMUSG00000015143	TRUE
TGFbeta	Areg	ENSMUSG00000029378	TRUE
TGFbeta	Axl	ENSMUSG00000002602	TRUE
TGFbeta	Capn2	ENSMUSG00000026509	TRUE
TGFbeta	Ccn2	ENSMUSG00000019997	TRUE
TGFbeta	Ccr2	ENSMUSG00000049103	TRUE
TGFbeta	Cd44	ENSMUSG00000005087	TRUE
TGFbeta	Cdc42	ENSMUSG00000006699	TRUE
TGFbeta	Cdk4	ENSMUSG00000006728	TRUE
TGFbeta	Ctsh	ENSMUSG00000032359	TRUE
TGFbeta	Ddb2	ENSMUSG00000002109	FALSE
TGFbeta	Epha2	ENSMUSG00000006445	TRUE
TGFbeta	Fbn1	ENSMUSG00000027204	TRUE
TGFbeta	Fmod	ENSMUSG00000041559	TRUE
TGFbeta	Fscn1	ENSMUSG00000029581	TRUE
TGFbeta	Fstl1	ENSMUSG00000022816	TRUE
TGFbeta	Gadd45a	ENSMUSG00000036390	TRUE
TGFbeta	Gja1	ENSMUSG00000050953	TRUE
TGFbeta	Gja4	ENSMUSG00000050234	TRUE
TGFbeta	Hmgb2	ENSMUSG00000054717	TRUE
TGFbeta	Hsp90b1	ENSMUSG00000020048	TRUE
TGFbeta	Igfbp4	ENSMUSG00000017493	TRUE
TGFbeta	Itgav	ENSMUSG00000027087	TRUE
TGFbeta	Itgb5	ENSMUSG00000022817	TRUE
TGFbeta	Itgb6	ENSMUSG00000026971	TRUE
TGFbeta	Lcp1	ENSMUSG00000021998	TRUE
TGFbeta	Lox	ENSMUSG00000024529	TRUE
TGFbeta	Marco	ENSMUSG00000026390	TRUE
TGFbeta	Mfap2	ENSMUSG00000060572	TRUE
TGFbeta	Mgp	ENSMUSG00000030218	TRUE
TGFbeta	Mmp13	ENSMUSG00000050578	FALSE
TGFbeta	Mmp14	ENSMUSG00000000957	TRUE
TGFbeta	Mmp3	ENSMUSG00000043613	TRUE
TGFbeta	Pck1	ENSMUSG00000027513	TRUE
TGFbeta	Rfc3	ENSMUSG00000033970	TRUE
TGFbeta	Rhoa	ENSMUSG00000007815	TRUE
TGFbeta	S100a4	ENSMUSG00000001020	TRUE
TGFbeta	Scarb1	ENSMUSG00000037936	TRUE
TGFbeta	Serpine1	ENSMUSG00000037411	TRUE
TGFbeta	Serpine2	ENSMUSG00000026249	TRUE
TGFbeta	Spp1	ENSMUSG00000029304	TRUE
TGFbeta	Tcp1	ENSMUSG00000068039	TRUE
TGFbeta	Tfap2a	ENSMUSG00000021359	TRUE
TGFbeta	Tgfbi	ENSMUSG00000035493	TRUE
TGFbeta	Thbs1	ENSMUSG00000040152	TRUE
TGFbeta	Thsd1	ENSMUSG00000031480	TRUE
TGFbeta	Timp1	ENSMUSG00000001131	TRUE
TGFbeta	Tnc	ENSMUSG00000028364	TRUE
Gene Ontology 0006986	Abcb10	ENSMUSG00000031974	TRUE
Gene Ontology 0006986	Amfr	ENSMUSG00000031751	TRUE
Gene Ontology 0006986	Atf3	ENSMUSG00000026628	TRUE
Gene Ontology 0006986	Atf4	ENSMUSG00000042406	TRUE
Gene Ontology 0006986	Atf6	ENSMUSG00000026663	TRUE
Gene Ontology 0006986	Atf6b	ENSMUSG00000015461	TRUE
Gene Ontology 0006986	Bag3	ENSMUSG00000030847	TRUE
Gene Ontology 0006986	Bhlha15	ENSMUSG00000052271	TRUE
Gene Ontology 0006986	Casp12	ENSMUSG00000025887	TRUE
Gene Ontology 0006986	Ccnd1	ENSMUSG00000070348	TRUE
Gene Ontology 0006986	Cdk5rap3	ENSMUSG00000018669	TRUE
Gene Ontology 0006986	Chac1	ENSMUSG00000027313	TRUE
Gene Ontology 0006986	Comp	ENSMUSG00000031849	FALSE
Gene Ontology 0006986	Creb3	ENSMUSG00000028466	TRUE
Gene Ontology 0006986	Creb3l1	ENSMUSG00000027230	TRUE
Gene Ontology 0006986	Creb3l2	ENSMUSG00000038648	TRUE
Gene Ontology 0006986	Creb3l3	ENSMUSG00000035041	TRUE
Gene Ontology 0006986	Creb3l4	ENSMUSG00000027938	TRUE
Gene Ontology 0006986	Crebrf	ENSMUSG00000048249	TRUE
Gene Ontology 0006986	Dab2ip	ENSMUSG00000026883	TRUE
Gene Ontology 0006986	Daxx	ENSMUSG00000002307	TRUE
Gene Ontology 0006986	Ddit3	ENSMUSG00000116429	FALSE
Gene Ontology 0006986	Derl1	ENSMUSG00000022365	TRUE
Gene Ontology 0006986	Derl2	ENSMUSG00000018442	TRUE
Gene Ontology 0006986	Derl3	ENSMUSG00000009092	TRUE
Gene Ontology 0006986	Dnajb9	ENSMUSG00000014905	TRUE
Gene Ontology 0006986	Dnajc3	ENSMUSG00000022136	TRUE
Gene Ontology 0006986	Edem1	ENSMUSG00000030104	TRUE
Gene Ontology 0006986	Edem2	ENSMUSG00000038312	TRUE
Gene Ontology 0006986	Edem3	ENSMUSG00000043019	TRUE
Gene Ontology 0006986	Eif2a	ENSMUSG00000027810	TRUE
Gene Ontology 0006986	Eif2ak2	ENSMUSG00000024079	TRUE
Gene Ontology 0006986	Eif2ak3	ENSMUSG00000031668	TRUE
Gene Ontology 0006986	Eif2ak4	ENSMUSG00000005102	TRUE
Gene Ontology 0006986	Eif2s1	ENSMUSG00000021116	TRUE
Gene Ontology 0006986	Ep300	ENSMUSG00000055024	TRUE
Gene Ontology 0006986	Ermp1	ENSMUSG00000046324	TRUE
Gene Ontology 0006986	Ern1	ENSMUSG00000020715	TRUE
Gene Ontology 0006986	Ern2	ENSMUSG00000030866	TRUE
Gene Ontology 0006986	Ero1a	ENSMUSG00000021831	TRUE
Gene Ontology 0006986	Erp27	ENSMUSG00000030219	TRUE
Gene Ontology 0006986	Erp44	ENSMUSG00000028343	TRUE
Gene Ontology 0006986	Faf2	ENSMUSG00000025873	TRUE
Gene Ontology 0006986	Fbxo6	ENSMUSG00000055401	TRUE
Gene Ontology 0006986	Ficd	ENSMUSG00000053334	TRUE
Gene Ontology 0006986	Herpud1	ENSMUSG00000031770	TRUE
Gene Ontology 0006986	Herpud2	ENSMUSG00000008429	TRUE
Gene Ontology 0006986	Hsf1	ENSMUSG00000022556	TRUE
