sample_id	gsm	source_title	mouse	sex	batch	group	assay	exposure	compartment	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Bleo_017_E	GSM5732434	Bleomycin_epithelial_017	17	F	S061	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	-89.2251203351466	6.40552569699685	2.01325080391932	-1.68294226706174	-10.7306397500647	-4.95750454326681	2.3593549854327	-15.3101109895185	8.98010348272338	9.53013709614758e-14
Bleo_031_E	GSM5732436	Bleomycin_epithelial_031	31	F	S061	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	-85.4818736112908	-0.238402484838913	0.38913186280136	-2.01855607537356	-3.87606537085694	-11.4442926788994	5.8671303361437	-3.05566257693319	-15.641158917235	1.75270605320965e-13
Bleo_045_E	GSM5732438	Bleomycin_epithelial_045	45	M	S061	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	-72.2560615789369	5.45323489881921	1.81022231527142	-0.0585142019746806	-20.1953022388105	-13.4410655804753	-6.11807346935512	12.4231204104452	4.61323953911196	3.70388398771015e-14
Bleo_KIRA8_020_E	GSM5732440	BleomycinKIRA8_epithelial_020	20	F	S061	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	-108.832207148967	-8.7975617149533	-5.02777575634684	-2.20046402021313	34.3536400446247	-8.42711755721592	0.420664217127777	2.93240409040917	4.31437623949169	3.01405601865756e-13
Bleo_KIRA8_032_E	GSM5732442	BleomycinKIRA8_epithelial_032	32	F	S061	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	-90.9809811812253	-0.444231853196083	-2.38475625474966	3.24519384305006	-5.28156699528248	19.5858910304097	14.8295387662051	5.99347697980042	1.79982261974634	1.74291353918776e-13
Bleo_KIRA8_041_E	GSM5732444	BleomycinKIRA8_epithelial_041	41	M	S061	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	-100.799803540402	2.12495851085716	-1.61353281074219	1.47269590253756	1.18449793974307	17.1377228124153	-16.9686494455099	-2.27352913973285	-4.18128214493756	1.43071752362056e-13
Bleo_E_148	GSM5732446	Bleomycin_epithelial_148	148	M	S135	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	137.100067180865	21.2375583082355	22.5091487031835	-37.8749298137313	4.50268612220717	2.61804221890186	0.45828370001662	0.925387824927445	-0.120573583512945	-1.18890140787808e-13
Bleo_E_149	GSM5732447	Bleomycin_epithelial_149	149	M	S135	Vehicle	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	116.872551350092	-42.1332440030085	30.2429455990617	16.1271481811656	-1.66230316933843	0.213843892194925	-0.684198642910829	-0.727627030105258	0.382777940501427	-2.99519090085631e-13
Bleo_KIRA8_E_154	GSM5732450	BleomycinKIRA8_epithelial_154	154	M	S135	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	142.658132558332	36.2326756572458	-3.9140032367581	34.4116738408445	6.12540377518739	-1.27737078192074	0.431225520568381	-0.0968098325727576	-0.410212415311704	-3.32620649773352e-13
Bleo_KIRA8_E_155	GSM5732451	BleomycinKIRA8_epithelial_155	155	M	S135	KIRA8	Lung epithelial Ribotag immunoprecipitation	Bleomycin	Epithelium	150.94529630668	-19.8405130161577	-44.0246312256403	-11.4213053892433	-4.42035035740937	-0.00814881214370056	-0.5952759677184	-0.810649736719695	0.262907239422483	-6.95927690474996e-14
