run	kind	omitted_mouse	n	Vehicle	KIRA8	rank	residual_df	genes	genes_FDR05	Pearson_to_primary	Spearman_to_primary
omit_17	leave_one_mouse_out	17	9	4	5	4	5	14811	2	0.966927791215754	0.968763934834231
omit_31	leave_one_mouse_out	31	9	4	5	4	5	14811	2	0.971034317712845	0.967496104754978
omit_45	leave_one_mouse_out	45	9	4	5	4	5	14811	1	0.928496746514553	0.924088874781074
omit_20	leave_one_mouse_out	20	9	5	4	4	5	14811	3	0.943503492037971	0.937817917632723
omit_32	leave_one_mouse_out	32	9	5	4	4	5	14811	146	0.934642392341301	0.943742425422517
omit_41	leave_one_mouse_out	41	9	5	4	4	5	14811	2	0.929025942936005	0.924879659467287
omit_148	leave_one_mouse_out	148	9	4	5	4	5	14811	4	0.963203887795004	0.956707787370041
omit_149	leave_one_mouse_out	149	9	4	5	4	5	14811	264	0.961319210870234	0.956129495811378
omit_154	leave_one_mouse_out	154	9	5	4	4	5	14811	7	0.932843875545182	0.937671904566998
omit_155	leave_one_mouse_out	155	9	5	4	4	5	14811	3	0.973165453636644	0.966769868323143
S061	within_batch		6	3	3	3	3	14811	112	0.846120800110104	0.849530510811319
