NGenes	Correlation	Direction	PValue	FDR	gene_set	run	kind
47	0.164868871301982	Down	0.066843704629691	0.133687409259382	TGFbeta	omit_17	leave_one_mouse_out
94	0.0166030806595512	Up	0.68772143704394	0.68772143704394	Gene Ontology 0006986	omit_17	leave_one_mouse_out
47	0.123983892896448	Down	0.0604640323642416	0.120928064728483	TGFbeta	omit_31	leave_one_mouse_out
94	0.00610048822165139	Up	0.660373744139193	0.660373744139193	Gene Ontology 0006986	omit_31	leave_one_mouse_out
47	0.166451205710521	Down	0.0464806472764107	0.0929612945528215	TGFbeta	omit_45	leave_one_mouse_out
94	0.0158831727430443	Up	0.536424676918567	0.536424676918567	Gene Ontology 0006986	omit_45	leave_one_mouse_out
47	0.166527821365761	Down	0.0442413328676638	0.0884826657353277	TGFbeta	omit_20	leave_one_mouse_out
94	0.0191042788048309	Up	0.486579256321011	0.486579256321011	Gene Ontology 0006986	omit_20	leave_one_mouse_out
47	0.156767508551077	Down	0.147290336939991	0.294580673879983	TGFbeta	omit_32	leave_one_mouse_out
94	0.00862124297441543	Up	0.667207537588272	0.667207537588272	Gene Ontology 0006986	omit_32	leave_one_mouse_out
47	0.16081521097101	Down	0.044260347255501	0.0885206945110021	TGFbeta	omit_41	leave_one_mouse_out
94	0.0134663266206673	Up	0.519782306788314	0.519782306788314	Gene Ontology 0006986	omit_41	leave_one_mouse_out
47	0.0450811913758121	Down	0.0224488877526659	0.0448977755053318	TGFbeta	omit_148	leave_one_mouse_out
94	-0.00274783788504407	Up	0.436471013472003	0.436471013472003	Gene Ontology 0006986	omit_148	leave_one_mouse_out
47	0.151763366441947	Down	0.066743781882666	0.133487563765332	TGFbeta	omit_149	leave_one_mouse_out
94	0.0144759220685613	Up	0.698613686958165	0.698613686958165	Gene Ontology 0006986	omit_149	leave_one_mouse_out
47	0.166148255683874	Down	0.125048650517457	0.250097301034914	TGFbeta	omit_154	leave_one_mouse_out
94	0.0213402611849222	Up	0.666378393399866	0.666378393399866	Gene Ontology 0006986	omit_154	leave_one_mouse_out
47	0.167985792446743	Down	0.0826909223600952	0.16538184472019	TGFbeta	omit_155	leave_one_mouse_out
94	0.0121741326353954	Up	0.421796708541267	0.421796708541267	Gene Ontology 0006986	omit_155	leave_one_mouse_out
47	0.0686963293544901	Down	0.126533133882803	0.253066267765606	TGFbeta	S061	within_batch
94	-0.00740179338256885	Up	0.698154534408046	0.698154534408046	Gene Ontology 0006986	S061	within_batch
