source_row	source_label	condition	marker	mouse	numerator	denominator	source_percent	percent	valid_denominator
2	K19-creER-tdt ctr_AGER_tdt_Mouse1	Control	AGER	1	0	0	0.0	NA	False
3	K19-creER-tdt ctr_AGER_tdt_Mouse1	Control	AGER	1	0	0	0.0	NA	False
4	K19-creER-tdt ctr_AGER_tdt_Mouse1	Control	AGER	1	0	0	0.0	NA	False
7	K19-creER-tdt ctr_AGER_tdt_Mouse2	Control	AGER	2	0	0	0.0	NA	False
8	K19-creER-tdt ctr_AGER_tdt_Mouse2	Control	AGER	2	0	0	0.0	NA	False
9	K19-creER-tdt ctr_AGER_tdt_Mouse2	Control	AGER	2	0	0	0.0	NA	False
12	K19-creER-tdt ctr_AGER_tdt_Mouse3	Control	AGER	3	0	0	0.0	NA	False
13	K19-creER-tdt ctr_AGER_tdt_Mouse3	Control	AGER	3	0	0	0.0	NA	False
14	K19-creER-tdt ctr_AGER_tdt_Mouse3	Control	AGER	3	0	0	0.0	NA	False
17	K19-creER-tdt BleoD12_AGER_tdt_Mouse1	BleoD12	AGER	1	54	198	27.27272727272727	27.272727272727273	True
18	K19-creER-tdt BleoD12_AGER_tdt_Mouse1	BleoD12	AGER	1	55	184	29.891304347826086	29.891304347826086	True
19	K19-creER-tdt BleoD12_AGER_tdt_Mouse1	BleoD12	AGER	1	71	164	43.292682926829265	43.292682926829265	True
22	K19-creER-tdt BleoD12_AGER_tdt_Mouse2	BleoD12	AGER	2	20	58	34.48275862068966	34.48275862068966	True
23	K19-creER-tdt BleoD12_AGER_tdt_Mouse2	BleoD12	AGER	2	32	84	38.095238095238095	38.095238095238095	True
24	K19-creER-tdt BleoD12_AGER_tdt_Mouse2	BleoD12	AGER	2	33	134	24.62686567164179	24.62686567164179	True
27	K19-creER-tdt BleoD12_AGER_tdt_Mouse3	BleoD12	AGER	3	44	178	24.719101123595504	24.719101123595507	True
28	K19-creER-tdt BleoD12_AGER_tdt_Mouse3	BleoD12	AGER	3	50	118	42.3728813559322	42.3728813559322	True
29	K19-creER-tdt BleoD12_AGER_tdt_Mouse3	BleoD12	AGER	3	40	130	30.76923076923077	30.76923076923077	True
35	K19-creER-tdt Ctr_KRT8_tdt_Mouse1	Control	KRT8	1	0	0	0.0	NA	False
36	K19-creER-tdt Ctr_KRT8_tdt_Mouse1	Control	KRT8	1	0	0	0.0	NA	False
37	K19-creER-tdt Ctr_KRT8_tdt_Mouse1	Control	KRT8	1	0	0	0.0	NA	False
40	K19-creER-tdt Ctr_KRT8_tdt_Mouse2	Control	KRT8	2	0	0	0.0	NA	False
41	K19-creER-tdt Ctr_KRT8_tdt_Mouse2	Control	KRT8	2	0	0	0.0	NA	False
42	K19-creER-tdt Ctr_KRT8_tdt_Mouse2	Control	KRT8	2	0	0	0.0	NA	False
45	K19-creER-tdt Ctr_KRT8_tdt_Mouse3	Control	KRT8	3	0	0	0.0	NA	False
46	K19-creER-tdt Ctr_KRT8_tdt_Mouse3	Control	KRT8	3	0	0	0.0	NA	False
47	K19-creER-tdt Ctr_KRT8_tdt_Mouse3	Control	KRT8	3	0	0	0.0	NA	False
50	K19-creER-tdt BleoD12_KRT8_tdt_Mouse1	BleoD12	KRT8	1	74	89	83.14606741573034	83.14606741573034	True
51	K19-creER-tdt BleoD12_KRT8_tdt_Mouse1	BleoD12	KRT8	1	83	115	72.17391304347827	72.17391304347827	True
52	K19-creER-tdt BleoD12_KRT8_tdt_Mouse1	BleoD12	KRT8	1	90	128	70.3125	70.3125	True
53	K19-creER-tdt BleoD12_KRT8_tdt_Mouse1	BleoD12	KRT8	1	20	45	44.44444444444444	44.44444444444444	True
56	K19-creER-tdt BleoD12_KRT8_tdt_Mouse2	BleoD12	KRT8	2	91	161	56.52173913043478	56.52173913043478	True
57	K19-creER-tdt BleoD12_KRT8_tdt_Mouse2	BleoD12	KRT8	2	87	116	75.0	75.0	True
58	K19-creER-tdt BleoD12_KRT8_tdt_Mouse2	BleoD12	KRT8	2	116	164	70.73170731707317	70.73170731707317	True
61	K19-creER-tdt BleoD12_KRT8_tdt_Mouse3	BleoD12	KRT8	3	59	100	59.0	59.0	True
62	K19-creER-tdt BleoD12_KRT8_tdt_Mouse3	BleoD12	KRT8	3	80	130	61.53846153846154	61.53846153846154	True
63	K19-creER-tdt BleoD12_KRT8_tdt_Mouse3	BleoD12	KRT8	3	108	182	59.34065934065934	59.34065934065934	True
64	K19-creER-tdt BleoD12_KRT8_tdt_Mouse3	BleoD12	KRT8	3	60	106	56.60377358490566	56.60377358490566	True
