weighting	omitted_wt	omitted_mut	remaining_mice_per_genotype	interaction_pp
count_weighted_percent	wt_1	mut_1	2	26.966280864961647
count_weighted_percent	wt_1	mut_2	2	21.826653283406372
count_weighted_percent	wt_1	mut_3	2	27.475772718505993
count_weighted_percent	wt_2	mut_1	2	27.112547275273197
count_weighted_percent	wt_2	mut_2	2	21.972919693717923
count_weighted_percent	wt_2	mut_3	2	27.622039128817548
count_weighted_percent	wt_3	mut_1	2	24.210709541900023
count_weighted_percent	wt_3	mut_2	2	19.07108196034475
count_weighted_percent	wt_3	mut_3	2	24.72020139544437
equal_field_percent	wt_1	mut_1	2	26.752095213002924
equal_field_percent	wt_1	mut_2	2	21.71911572423834
equal_field_percent	wt_1	mut_3	2	27.171544850290296
equal_field_percent	wt_2	mut_1	2	27.48834108679506
equal_field_percent	wt_2	mut_2	2	22.45536159803047
equal_field_percent	wt_2	mut_3	2	27.90779072408243
equal_field_percent	wt_3	mut_1	2	23.174895599414548
equal_field_percent	wt_3	mut_2	2	18.14191611064996
equal_field_percent	wt_3	mut_3	2	23.59434523670192
