panel	marker	condition	unit	n	mean	sd	minimum	maximum	sheet	source_range	unit_of_replication
6c	SFTPC	iATCs_Day0	ratio_to_adult_lung_qPCR	7	0.0005940992857142857	0.0011688253907250524	0	0.003197695	Figure 6	C5:I5	author-declared independent culture experiment; one parental iPSC line
6d	COL1A1	iATCs_Day0	ratio_to_adult_lung_qPCR	7	14.036329024285715	7.340858550387761	4.706723	25.2631	Figure 6	O5:U5	author-declared independent culture experiment; one parental iPSC line
6c	SFTPC	iATCs→iAT2s	ratio_to_adult_lung_qPCR	6	0.13657083333333334	0.09905237780773699	0.028175	0.297656	Figure 6	C6:I6	author-declared independent culture experiment; one parental iPSC line
6d	COL1A1	iATCs→iAT2s	ratio_to_adult_lung_qPCR	6	0.0341555	0.02149167746594016	0.008835	0.057076	Figure 6	O6:U6	author-declared independent culture experiment; one parental iPSC line
6c	SFTPC	iAT2s→iAT2s	ratio_to_adult_lung_qPCR	6	0.18637966666666667	0.11602417947249903	0.091827	0.405314	Figure 6	C7:I7	author-declared independent culture experiment; one parental iPSC line
6d	COL1A1	iAT2s→iAT2s	ratio_to_adult_lung_qPCR	6	0.05147316666666667	0.03966471545551117	0	0.120041	Figure 6	O7:U7	author-declared independent culture experiment; one parental iPSC line
6c	NAPSA	iATCs_Day0	ratio_to_adult_lung_qPCR	7	0.13200102542857142	0.17379998375629535	0.018076	0.511436	Figure 6	C11:I11	author-declared independent culture experiment; one parental iPSC line
6d	KRT17	iATCs_Day0	ratio_to_adult_lung_qPCR	7	16.430505554285716	8.850124067615884	1.552876	30.18477288	Figure 6	O11:U11	author-declared independent culture experiment; one parental iPSC line
6c	NAPSA	iATCs→iAT2s	ratio_to_adult_lung_qPCR	6	0.515497	0.4103899430707336	0.12581	1.006119	Figure 6	C12:I12	author-declared independent culture experiment; one parental iPSC line
6d	KRT17	iATCs→iAT2s	ratio_to_adult_lung_qPCR	6	2.5002713333333335	2.2858962702405083	0.27164	6.116481	Figure 6	O12:U12	author-declared independent culture experiment; one parental iPSC line
6c	NAPSA	iAT2s→iAT2s	ratio_to_adult_lung_qPCR	6	0.37539066666666665	0.16898149483025254	0.181306	0.60583	Figure 6	C13:I13	author-declared independent culture experiment; one parental iPSC line
6d	KRT17	iAT2s→iAT2s	ratio_to_adult_lung_qPCR	6	2.0628086666666667	3.1975281255836148	0.268351	8.372665	Figure 6	O13:U13	author-declared independent culture experiment; one parental iPSC line
6c	SLC34A2	iATCs_Day0	ratio_to_adult_lung_qPCR	7	0.018286469142857142	0.019846615264455848	0.004681	0.057722	Figure 6	C17:I17	author-declared independent culture experiment; one parental iPSC line
6d	MMP7	iATCs_Day0	ratio_to_adult_lung_qPCR	7	37.33281058285714	25.25230503441238	7.507009	75.26323	Figure 6	O17:U17	author-declared independent culture experiment; one parental iPSC line
6c	SLC34A2	iATCs→iAT2s	ratio_to_adult_lung_qPCR	6	0.6462158333333333	0.5591860175538786	0.104119	1.54352	Figure 6	C18:I18	author-declared independent culture experiment; one parental iPSC line
6d	MMP7	iATCs→iAT2s	ratio_to_adult_lung_qPCR	6	1.6867723333333333	1.9218354837749945	0.079447	5.335414	Figure 6	O18:U18	author-declared independent culture experiment; one parental iPSC line
6c	SLC34A2	iAT2s→iAT2s	ratio_to_adult_lung_qPCR	6	0.5373496666666667	0.6305651700605313	0.039357	1.529272	Figure 6	C19:I19	author-declared independent culture experiment; one parental iPSC line
6d	MMP7	iAT2s→iAT2s	ratio_to_adult_lung_qPCR	6	1.6307728333333333	3.473641108045356	0	8.712051	Figure 6	O19:U19	author-declared independent culture experiment; one parental iPSC line
6g	AGER	iATCs_Day0	ratio_to_adult_lung_qPCR	7	0.023769646857142855	0.02109144407999689	0.004642	0.058348	Figure 6	C26:I26	author-declared independent culture experiment; one parental iPSC line
6h	COL1A1	iATCs_Day0	ratio_to_adult_lung_qPCR	7	14.036329024285715	7.340858550387761	4.706723	25.2631	Figure 6	O26:U26	author-declared independent culture experiment; one parental iPSC line
6g	AGER	iATCs→iAT1s	ratio_to_adult_lung_qPCR	5	0.7920077999999999	0.896470425220598	0.315786	2.392737	Figure 6	C27:I27	author-declared independent culture experiment; one parental iPSC line
6h	COL1A1	iATCs→iAT1s	ratio_to_adult_lung_qPCR	5	1.7554166	1.5503265374495465	0.32425	3.731545	Figure 6	O27:U27	author-declared independent culture experiment; one parental iPSC line
6g	AGER	iAT2s→iAT1s	ratio_to_adult_lung_qPCR	5	0.5466184	0.38237121946127167	0.298276	1.205458	Figure 6	C28:I28	author-declared independent culture experiment; one parental iPSC line
6h	COL1A1	iAT2s→iAT1s	ratio_to_adult_lung_qPCR	5	0.302025	0.10636005027734803	0.20887	0.425916	Figure 6	O28:U28	author-declared independent culture experiment; one parental iPSC line
6g	CLIC5	iATCs_Day0	ratio_to_adult_lung_qPCR	7	1.2612749785714286	0.5332568446324778	0.500484	2.091688	Figure 6	C32:I32	author-declared independent culture experiment; one parental iPSC line
6h	KRT17	iATCs_Day0	ratio_to_adult_lung_qPCR	7	16.430505554285716	8.850124067615884	1.552876	30.18477288	Figure 6	O32:U32	author-declared independent culture experiment; one parental iPSC line
6g	CLIC5	iATCs→iAT1s	ratio_to_adult_lung_qPCR	5	5.0996847999999995	2.672122625365404	2.720634	8.815202	Figure 6	C33:I33	author-declared independent culture experiment; one parental iPSC line
6h	KRT17	iATCs→iAT1s	ratio_to_adult_lung_qPCR	5	4.1604936	4.303165080341306	0.386793	9.109137	Figure 6	O33:U33	author-declared independent culture experiment; one parental iPSC line
6g	CLIC5	iAT2s→iAT1s	ratio_to_adult_lung_qPCR	5	3.6116536000000004	2.552568738163637	1.935649	7.860596	Figure 6	C34:I34	author-declared independent culture experiment; one parental iPSC line
6h	KRT17	iAT2s→iAT1s	ratio_to_adult_lung_qPCR	5	0.838197	0.7784083236219921	0.206394	1.993202	Figure 6	O34:U34	author-declared independent culture experiment; one parental iPSC line
6g	RTKN2	iATCs_Day0	ratio_to_adult_lung_qPCR	7	0.12869737771428572	0.10571090347908305	0.012136	0.326033644	Figure 6	C38:I38	author-declared independent culture experiment; one parental iPSC line
