project	experiment	run	biosample	sample_title	antibody	biological_replicate	treatment	sample_name	listed_fastq_bytes	source	raw_reads_downloaded
PRJDB37980	DRX770877	DRR792229	SAMD01703669	iATCs_CBP30_CUT_1_H3	H3	1	CBP30	Sample 6	2386295956	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770887	DRR792239	SAMD01703679	iATCs_DMSO_CUT_2_H3K27me3	H3K27me3	2	DMSO	Sample 16	2537217334	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770890	DRR792242	SAMD01703682	iATCs_CBP30_CUT_2_H3	H3	2	CBP30	Sample 19	2111632244	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770892	DRR792244	SAMD01703684	iATCs_CBP30_CUT_2_H3K27me3	H3K27me3	2	CBP30	Sample 21	1715805092	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770872	DRR792224	SAMD01703664	iATCs_DMSO_CUT_1_H3	H3	1	DMSO	Sample 1	1649903829	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770874	DRR792226	SAMD01703666	iATCs_DMSO_CUT_1_H3K27me3	H3K27me3	1	DMSO	Sample 3	2554348361	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770876	DRR792228	SAMD01703668	iATCs_DMSO_CUT_1_p300	p300	1	DMSO	Sample 5	419954659	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770879	DRR792231	SAMD01703671	iATCs_CBP30_CUT_1_H3K27me3	H3K27me3	1	CBP30	Sample 8	2715868959	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770889	DRR792241	SAMD01703681	iATCs_DMSO_CUT_2_p300	p300	2	DMSO	Sample 18	536309851	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770873	DRR792225	SAMD01703665	iATCs_DMSO_CUT_1_H3K4me3	H3K4me3	1	DMSO	Sample 2	430972967	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770881	DRR792233	SAMD01703673	iATCs_GNE781_CUT_1_H3	H3	1	GNE781	Sample 10	2145543566	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770884	DRR792236	SAMD01703676	iATCs_GNE781_CUT_1_H3K27ac	H3K27ac	1	GNE781	Sample 13	1454700235	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770885	DRR792237	SAMD01703677	iATCs_DMSO_CUT_2_H3	H3	2	DMSO	Sample 14	2094848122	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770891	DRR792243	SAMD01703683	iATCs_CBP30_CUT_2_H3K4me3	H3K4me3	2	CBP30	Sample 20	549080906	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770893	DRR792245	SAMD01703685	iATCs_CBP30_CUT_2_H3K27ac	H3K27ac	2	CBP30	Sample 22	2114172000	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770880	DRR792232	SAMD01703672	iATCs_CBP30_CUT_1_H3K27ac	H3K27ac	1	CBP30	Sample 9	2582700774	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770886	DRR792238	SAMD01703678	iATCs_DMSO_CUT_2_H3K4me3	H3K4me3	2	DMSO	Sample 15	718127678	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770888	DRR792240	SAMD01703680	iATCs_DMSO_CUT_2_H3K27ac	H3K27ac	2	DMSO	Sample 17	2321085197	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770894	DRR792246	SAMD01703686	iATCs_GNE781_CUT_2_H3	H3	2	GNE781	Sample 23	2154735882	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770895	DRR792247	SAMD01703687	iATCs_GNE781_CUT_2_H3K4me3	H3K4me3	2	GNE781	Sample 24	619051554	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770896	DRR792248	SAMD01703688	iATCs_GNE781_CUT_2_H3K27me3	H3K27me3	2	GNE781	Sample 25	1947501504	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770875	DRR792227	SAMD01703667	iATCs_DMSO_CUT_1_H3K27ac	H3K27ac	1	DMSO	Sample 4	2725211477	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770878	DRR792230	SAMD01703670	iATCs_CBP30_CUT_1_H3K4me3	H3K4me3	1	CBP30	Sample 7	568235129	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770882	DRR792234	SAMD01703674	iATCs_GNE781_CUT_1_H3K4me3	H3K4me3	1	GNE781	Sample 11	322255658	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770883	DRR792235	SAMD01703675	iATCs_GNE781_CUT_1_H3K27me3	H3K27me3	1	GNE781	Sample 12	1832670469	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37980	DRX770897	DRR792249	SAMD01703689	iATCs_GNE781_CUT_2_H3K27ac	H3K27ac	2	GNE781	Sample 26	2389864396	cache/regulatory_fate/PRJDB37980_sra.xml	False
PRJDB37982	DRX770934	DRR792286	SAMD01703791	NHLFs_with_iATCs_2		2	with_iATCs	Sample 5	2754906561	cache/regulatory_fate/PRJDB37982_sra.xml	False
PRJDB37982	DRX770933	DRR792285	SAMD01703790	NHLFs_with_iATCs_1		1	with_iATCs	Sample 4	2620037423	cache/regulatory_fate/PRJDB37982_sra.xml	False
PRJDB37982	DRX770930	DRR792282	SAMD01703787	NHLFs_alone_1		1	Alone	Sample 1	2752619506	cache/regulatory_fate/PRJDB37982_sra.xml	False
PRJDB37982	DRX770931	DRR792283	SAMD01703788	NHLFs_alone_2		2	Alone	Sample 2	2518475746	cache/regulatory_fate/PRJDB37982_sra.xml	False
PRJDB37982	DRX770932	DRR792284	SAMD01703789	NHLFs_alone_3		3	Alone	Sample 3	2492723124	cache/regulatory_fate/PRJDB37982_sra.xml	False
PRJDB37982	DRX770935	DRR792287	SAMD01703792	NHLFs_with_iATCs_3		3	with_iATCs	Sample 6	2895509862	cache/regulatory_fate/PRJDB37982_sra.xml	False
PRJDB37983	DRX770899	DRR792251	SAMD01703794	Epithelial_BLM_Day14_1_H3	H3	1	BLM	Sample 2	2292587415	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770900	DRR792252	SAMD01703795	Epithelial_BLM_Day14_1_p300	p300	1	BLM	Sample 3	1872839722	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770901	DRR792253	SAMD01703796	Epithelial_BLM_Day14_2_H3K27ac	H3K27ac	2	BLM	Sample 4	1881597604	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770906	DRR792258	SAMD01703801	Epithelial_BLM_Day17_1_p300	p300	1	BLM	Sample 9	1849350038	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770914	DRR792266	SAMD01703809	Epithelial_DMSO_Day14_1_H3K27ac	H3K27ac	1	DMSO	Sample 17	2406985136	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770919	DRR792271	SAMD01703814	Epithelial_DMSO_Day14_2_p300	p300	2	DMSO	Sample 22	1750436783	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770923	DRR792275	SAMD01703818	Epithelial_DMSO_Day17_2_H3K27ac	H3K27ac	2	DMSO	Sample 26	673146446	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770924	DRR792276	SAMD01703819	Epithelial_DMSO_Day17_2_H3	H3	2	DMSO	Sample 27	692900314	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770926	DRR792278	SAMD01703821	Epithelial_GNE781_Day17_1_H3K27ac	H3K27ac	1	GNE781	Sample 29	703475080	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770927	DRR792279	SAMD01703822	Epithelial_GNE781_Day17_1_H3	H3	1	GNE781	Sample 30	1109459413	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770928	DRR792280	SAMD01703823	Epithelial_GNE781_Day17_2_H3K27ac	H3K27ac	2	GNE781	Sample 31	898397710	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770904	DRR792256	SAMD01703799	Epithelial_BLM_Day17_1_H3K27ac	H3K27ac	1	BLM	Sample 7	884775964	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770910	DRR792262	SAMD01703805	Epithelial_CBP30_Day17_1_H3K27ac	H3K27ac	1	CBP30	Sample 13	683773217	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770921	DRR792273	SAMD01703816	Epithelial_DMSO_Day17_1_H3	H3	1	DMSO	Sample 24	1154142224	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770929	DRR792281	SAMD01703824	Epithelial_GNE781_Day17_2_H3	H3	2	GNE781	Sample 32	530917373	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770902	DRR792254	SAMD01703797	Epithelial_BLM_Day14_2_H3	H3	2	BLM	Sample 5	2688577602	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770903	DRR792255	SAMD01703798	Epithelial_BLM_Day14_2_p300	p300	2	BLM	Sample 6	1622216367	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770905	DRR792257	SAMD01703800	Epithelial_BLM_Day17_1_H3	H3	1	BLM	Sample 8	1325856303	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770909	DRR792261	SAMD01703804	Epithelial_BLM_Day17_2_p300	p300	2	BLM	Sample 12	1392062452	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770911	DRR792263	SAMD01703806	Epithelial_CBP30_Day17_1_H3	H3	1	CBP30	Sample 14	1614388928	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770912	DRR792264	SAMD01703807	Epithelial_CBP30_Day17_2_H3K27ac	H3K27ac	2	CBP30	Sample 15	836439596	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770913	DRR792265	SAMD01703808	Epithelial_CBP30_Day17_2_H3	H3	2	CBP30	Sample 16	707349664	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770922	DRR792274	SAMD01703817	Epithelial_DMSO_Day17_1_p300	p300	1	DMSO	Sample 25	1712513885	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770925	DRR792277	SAMD01703820	Epithelial_DMSO_Day17_2_p300	p300	2	DMSO	Sample 28	1614814487	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770908	DRR792260	SAMD01703803	Epithelial_BLM_Day17_2_H3	H3	2	BLM	Sample 11	587334177	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770918	DRR792270	SAMD01703813	Epithelial_DMSO_Day14_2_H3	H3	2	DMSO	Sample 21	2120134592	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770920	DRR792272	SAMD01703815	Epithelial_DMSO_Day17_1_H3K27ac	H3K27ac	1	DMSO	Sample 23	686387048	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770898	DRR792250	SAMD01703793	Epithelial_BLM_Day14_1_H3K27ac	H3K27ac	1	BLM	Sample 1	1722949546	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770907	DRR792259	SAMD01703802	Epithelial_BLM_Day17_2_H3K27ac	H3K27ac	2	BLM	Sample 10	745351102	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770915	DRR792267	SAMD01703810	Epithelial_DMSO_Day14_1_H3	H3	1	DMSO	Sample 18	2155835499	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770916	DRR792268	SAMD01703811	Epithelial_DMSO_Day14_1_p300	p300	1	DMSO	Sample 19	1511757385	cache/regulatory_fate/PRJDB37983_sra.xml	False
PRJDB37983	DRX770917	DRR792269	SAMD01703812	Epithelial_DMSO_Day14_2_H3K27ac	H3K27ac	2	DMSO	Sample 20	2149635938	cache/regulatory_fate/PRJDB37983_sra.xml	False
