panel	marker	condition	replicate_column	value	unit	sheet	source_cell
6c	SFTPC	iATCs_Day0	1	0.003197695	ratio_to_adult_lung_qPCR	Figure 6	C5
6c	SFTPC	iATCs_Day0	2	0.000582	ratio_to_adult_lung_qPCR	Figure 6	D5
6c	SFTPC	iATCs_Day0	3	0.000319	ratio_to_adult_lung_qPCR	Figure 6	E5
6c	SFTPC	iATCs_Day0	4	0	ratio_to_adult_lung_qPCR	Figure 6	F5
6c	SFTPC	iATCs_Day0	5	0	ratio_to_adult_lung_qPCR	Figure 6	G5
6c	SFTPC	iATCs_Day0	6	2.47e-05	ratio_to_adult_lung_qPCR	Figure 6	H5
6c	SFTPC	iATCs_Day0	7	3.53e-05	ratio_to_adult_lung_qPCR	Figure 6	I5
6d	COL1A1	iATCs_Day0	1	20.36636617	ratio_to_adult_lung_qPCR	Figure 6	O5
6d	COL1A1	iATCs_Day0	2	16.42288	ratio_to_adult_lung_qPCR	Figure 6	P5
6d	COL1A1	iATCs_Day0	3	4.706723	ratio_to_adult_lung_qPCR	Figure 6	Q5
6d	COL1A1	iATCs_Day0	4	25.2631	ratio_to_adult_lung_qPCR	Figure 6	R5
6d	COL1A1	iATCs_Day0	5	11.21977	ratio_to_adult_lung_qPCR	Figure 6	S5
6d	COL1A1	iATCs_Day0	6	6.521714	ratio_to_adult_lung_qPCR	Figure 6	T5
6d	COL1A1	iATCs_Day0	7	13.75375	ratio_to_adult_lung_qPCR	Figure 6	U5
6c	SFTPC	iATCs→iAT2s	1	0.297656	ratio_to_adult_lung_qPCR	Figure 6	C6
6c	SFTPC	iATCs→iAT2s	2	0.208763	ratio_to_adult_lung_qPCR	Figure 6	D6
6c	SFTPC	iATCs→iAT2s	3	0.112618	ratio_to_adult_lung_qPCR	Figure 6	E6
6c	SFTPC	iATCs→iAT2s	4	0.101599	ratio_to_adult_lung_qPCR	Figure 6	F6
6c	SFTPC	iATCs→iAT2s	5	0.028175	ratio_to_adult_lung_qPCR	Figure 6	G6
6c	SFTPC	iATCs→iAT2s	6	0.070614	ratio_to_adult_lung_qPCR	Figure 6	H6
6d	COL1A1	iATCs→iAT2s	1	0.048167	ratio_to_adult_lung_qPCR	Figure 6	O6
6d	COL1A1	iATCs→iAT2s	2	0.008835	ratio_to_adult_lung_qPCR	Figure 6	P6
6d	COL1A1	iATCs→iAT2s	3	0.057076	ratio_to_adult_lung_qPCR	Figure 6	Q6
6d	COL1A1	iATCs→iAT2s	4	0.019703	ratio_to_adult_lung_qPCR	Figure 6	R6
6d	COL1A1	iATCs→iAT2s	5	0.05473	ratio_to_adult_lung_qPCR	Figure 6	S6
6d	COL1A1	iATCs→iAT2s	6	0.016422	ratio_to_adult_lung_qPCR	Figure 6	T6
6c	SFTPC	iAT2s→iAT2s	1	0.224763	ratio_to_adult_lung_qPCR	Figure 6	C7
6c	SFTPC	iAT2s→iAT2s	2	0.405314	ratio_to_adult_lung_qPCR	Figure 6	D7
6c	SFTPC	iAT2s→iAT2s	3	0.126564	ratio_to_adult_lung_qPCR	Figure 6	E7
6c	SFTPC	iAT2s→iAT2s	4	0.128381	ratio_to_adult_lung_qPCR	Figure 6	F7
6c	SFTPC	iAT2s→iAT2s	5	0.091827	ratio_to_adult_lung_qPCR	Figure 6	G7
6c	SFTPC	iAT2s→iAT2s	6	0.141429	ratio_to_adult_lung_qPCR	Figure 6	H7
6d	COL1A1	iAT2s→iAT2s	1	0	ratio_to_adult_lung_qPCR	Figure 6	O7
6d	COL1A1	iAT2s→iAT2s	2	0.053686	ratio_to_adult_lung_qPCR	Figure 6	P7
6d	COL1A1	iAT2s→iAT2s	3	0.030818	ratio_to_adult_lung_qPCR	Figure 6	Q7
6d	COL1A1	iAT2s→iAT2s	4	0.045706	ratio_to_adult_lung_qPCR	Figure 6	R7
6d	COL1A1	iAT2s→iAT2s	5	0.120041	ratio_to_adult_lung_qPCR	Figure 6	S7
6d	COL1A1	iAT2s→iAT2s	6	0.058588	ratio_to_adult_lung_qPCR	Figure 6	T7
6c	NAPSA	iATCs_Day0	1	0.101035178	ratio_to_adult_lung_qPCR	Figure 6	C11
6c	NAPSA	iATCs_Day0	2	0.153148	ratio_to_adult_lung_qPCR	Figure 6	D11
6c	NAPSA	iATCs_Day0	3	0.511436	ratio_to_adult_lung_qPCR	Figure 6	E11
6c	NAPSA	iATCs_Day0	4	0.072962	ratio_to_adult_lung_qPCR	Figure 6	F11
6c	NAPSA	iATCs_Day0	5	0.039202	ratio_to_adult_lung_qPCR	Figure 6	G11
6c	NAPSA	iATCs_Day0	6	0.028148	ratio_to_adult_lung_qPCR	Figure 6	H11
6c	NAPSA	iATCs_Day0	7	0.018076	ratio_to_adult_lung_qPCR	Figure 6	I11
6d	KRT17	iATCs_Day0	1	30.18477288	ratio_to_adult_lung_qPCR	Figure 6	O11
6d	KRT17	iATCs_Day0	2	18.4281	ratio_to_adult_lung_qPCR	Figure 6	P11
6d	KRT17	iATCs_Day0	3	16.03665	ratio_to_adult_lung_qPCR	Figure 6	Q11
6d	KRT17	iATCs_Day0	4	21.769	ratio_to_adult_lung_qPCR	Figure 6	R11
6d	KRT17	iATCs_Day0	5	15.74028	ratio_to_adult_lung_qPCR	Figure 6	S11
