gene	gene_group	mark	contrast	half_width_bp	replicate	total_tss	alternative_tss	eligible_tss	held_tss	eligible_alternatives	baseline_eligible	baseline_effect	minimum_effect	maximum_effect	effect_span	direction_changes	direction_comparisons	max_abs_change
SFTPC	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT1	4	3	4	0	3	True	-1.5090631435881878	-3.4809107010090017	-1.5090631435881878	1.9718475574208139	0	3	1.9718475574208139
SFTPC	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT1	4	3	4	0	3	True	-0.4199173829696805	-1.829043662183773	-0.4199173829696805	1.4091262792140924	0	3	1.4091262792140924
SFTPC	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT1	4	3	4	0	3	True	-2.1340217919212936	-2.2240425222626348	-1.3201052212171702	0.9039373010454645	0	3	0.8139165707041234
SFTPC	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT1	4	3	4	0	3	True	-0.6381767983490745	-0.7734973079240073	-0.09701843140250344	0.6764788765215038	0	3	0.541158366946571
ABCA3	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	-2.600756201289042	-2.600756201289042	-2.600756201289042	0.0	0	0	
ABCA3	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	-2.6257669289459136	-2.6257669289459136	-2.6257669289459136	0.0	0	0	
ABCA3	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	-2.9485892138110095	-2.9485892138110095	-2.9485892138110095	0.0	0	0	
ABCA3	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	-2.7338033008198916	-2.7338033008198916	-2.7338033008198916	0.0	0	0	
NKX2-1	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT1	2	1	2	0	1	True	0.08888316817514408	0.08888316817514408	0.27227808624175864	0.18339491806661457	0	1	0.18339491806661457
NKX2-1	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT1	2	1	2	0	1	True	-0.8191730336280472	-0.8471752295497774	-0.8191730336280472	0.028002195921730255	0	1	0.028002195921730255
NKX2-1	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT1	2	1	2	0	1	True	-0.9598991721274852	-0.9598991721274852	-0.7347934612334375	0.22510571089404774	0	1	0.22510571089404774
NKX2-1	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT1	2	1	2	0	1	True	-1.317297192077755	-1.317297192077755	-1.271788203019525	0.045508989058229865	0	1	0.045508989058229865
ETV5	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	-0.9432396642930683	-0.9432396642930683	-0.9432396642930683	0.0	0	0	
ETV5	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	0.4069554191593239	0.4069554191593239	0.4069554191593239	0.0	0	0	
ETV5	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	-1.0784680293372881	-1.0784680293372881	-1.0784680293372881	0.0	0	0	
ETV5	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	0.1147129366770483	0.1147129366770483	0.1147129366770483	0.0	0	0	
SFTPB	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT1	2	1	2	0	1	True	-8.762035217805446	-8.762035217805446	-8.064947763713613	0.6970874540918324	0	1	0.6970874540918324
SFTPB	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT1	2	1	2	0	1	True	-9.239688456492015	-9.239688456492015	-8.320977972872186	0.9187104836198294	0	1	0.9187104836198294
SFTPB	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT1	2	1	2	0	1	True	-7.847615678995278	-7.847615678995278	-7.807910545391877	0.03970513360340089	0	1	0.03970513360340089
SFTPB	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT1	2	1	2	0	1	True	-7.5127872718840285	-7.535888832190146	-7.5127872718840285	0.02310156030611754	0	1	0.02310156030611754
