level	unit	left	right	left_category	right_category	cells
all	all	cell type	clusterK12	AT1-like	01	24
all	all	cell type	clusterK12	AT1-like	02	26
all	all	cell type	clusterK12	AT1-like	03	1255
all	all	cell type	clusterK12	AT1-like	04	7
all	all	cell type	clusterK12	AT1-like	05	22
all	all	cell type	clusterK12	AT1-like	06	4
all	all	cell type	clusterK12	AT1-like	07	0
all	all	cell type	clusterK12	AT1-like	08	28
all	all	cell type	clusterK12	AT1-like	09	1
all	all	cell type	clusterK12	AT1-like	10	0
all	all	cell type	clusterK12	AT1-like	11	0
all	all	cell type	clusterK12	AT1-like	12	0
all	all	cell type	clusterK12	AT2-like	01	294
all	all	cell type	clusterK12	AT2-like	02	403
all	all	cell type	clusterK12	AT2-like	03	30
all	all	cell type	clusterK12	AT2-like	04	185
all	all	cell type	clusterK12	AT2-like	05	89
all	all	cell type	clusterK12	AT2-like	06	21
all	all	cell type	clusterK12	AT2-like	07	1
all	all	cell type	clusterK12	AT2-like	08	130
all	all	cell type	clusterK12	AT2-like	09	111
all	all	cell type	clusterK12	AT2-like	10	5
all	all	cell type	clusterK12	AT2-like	11	2
all	all	cell type	clusterK12	AT2-like	12	6
all	all	cell type	clusterK12	EMT	01	0
all	all	cell type	clusterK12	EMT	02	0
all	all	cell type	clusterK12	EMT	03	0
all	all	cell type	clusterK12	EMT	04	0
all	all	cell type	clusterK12	EMT	05	4
all	all	cell type	clusterK12	EMT	06	0
all	all	cell type	clusterK12	EMT	07	0
all	all	cell type	clusterK12	EMT	08	0
all	all	cell type	clusterK12	EMT	09	0
all	all	cell type	clusterK12	EMT	10	0
all	all	cell type	clusterK12	EMT	11	12
all	all	cell type	clusterK12	EMT	12	0
all	all	cell type	clusterK12	HPCS	01	0
all	all	cell type	clusterK12	HPCS	02	5
all	all	cell type	clusterK12	HPCS	03	30
all	all	cell type	clusterK12	HPCS	04	0
all	all	cell type	clusterK12	HPCS	05	1560
all	all	cell type	clusterK12	HPCS	06	12
all	all	cell type	clusterK12	HPCS	07	1
all	all	cell type	clusterK12	HPCS	08	26
all	all	cell type	clusterK12	HPCS	09	69
all	all	cell type	clusterK12	HPCS	10	5
all	all	cell type	clusterK12	HPCS	11	7
all	all	cell type	clusterK12	HPCS	12	2
all	all	cell type	clusterK12	Highly proliferative	01	12
all	all	cell type	clusterK12	Highly proliferative	02	2
all	all	cell type	clusterK12	Highly proliferative	03	3
all	all	cell type	clusterK12	Highly proliferative	04	1
all	all	cell type	clusterK12	Highly proliferative	05	19
all	all	cell type	clusterK12	Highly proliferative	06	6
all	all	cell type	clusterK12	Highly proliferative	07	41
all	all	cell type	clusterK12	Highly proliferative	08	0
all	all	cell type	clusterK12	Highly proliferative	09	22
all	all	cell type	clusterK12	Highly proliferative	10	0
all	all	cell type	clusterK12	Highly proliferative	11	1
all	all	cell type	clusterK12	Highly proliferative	12	0
all	all	cell type	clusterK12	Hybrid lung/gastric-like	01	1
all	all	cell type	clusterK12	Hybrid lung/gastric-like	02	0
all	all	cell type	clusterK12	Hybrid lung/gastric-like	03	1
all	all	cell type	clusterK12	Hybrid lung/gastric-like	04	2
all	all	cell type	clusterK12	Hybrid lung/gastric-like	05	3
all	all	cell type	clusterK12	Hybrid lung/gastric-like	06	0
all	all	cell type	clusterK12	Hybrid lung/gastric-like	07	2
all	all	cell type	clusterK12	Hybrid lung/gastric-like	08	283
all	all	cell type	clusterK12	Hybrid lung/gastric-like	09	13
all	all	cell type	clusterK12	Hybrid lung/gastric-like	10	3
all	all	cell type	clusterK12	Hybrid lung/gastric-like	11	0
all	all	cell type	clusterK12	Hybrid lung/gastric-like	12	0
all	all	cell type	clusterK12	Lung endoderm-like	01	95
all	all	cell type	clusterK12	Lung endoderm-like	02	9
all	all	cell type	clusterK12	Lung endoderm-like	03	21
all	all	cell type	clusterK12	Lung endoderm-like	04	192
all	all	cell type	clusterK12	Lung endoderm-like	05	42
all	all	cell type	clusterK12	Lung endoderm-like	06	59
all	all	cell type	clusterK12	Lung endoderm-like	07	0
all	all	cell type	clusterK12	Lung endoderm-like	08	82
all	all	cell type	clusterK12	Lung endoderm-like	09	17
all	all	cell type	clusterK12	Lung endoderm-like	10	12
all	all	cell type	clusterK12	Lung endoderm-like	11	0
all	all	cell type	clusterK12	Lung endoderm-like	12	2
all	all	cell type	clusterK12	Ribosome	01	0
all	all	cell type	clusterK12	Ribosome	02	2
all	all	cell type	clusterK12	Ribosome	03	0
all	all	cell type	clusterK12	Ribosome	04	0
all	all	cell type	clusterK12	Ribosome	05	0
all	all	cell type	clusterK12	Ribosome	06	3
all	all	cell type	clusterK12	Ribosome	07	0
all	all	cell type	clusterK12	Ribosome	08	0
all	all	cell type	clusterK12	Ribosome	09	4
all	all	cell type	clusterK12	Ribosome	10	0
all	all	cell type	clusterK12	Ribosome	11	1
all	all	cell type	clusterK12	Ribosome	12	0
all	all	cell type	clusterK12_stringent	AT1-like	01	9
all	all	cell type	clusterK12_stringent	AT1-like	02	11
all	all	cell type	clusterK12_stringent	AT1-like	03	1176
all	all	cell type	clusterK12_stringent	AT1-like	04	0
all	all	cell type	clusterK12_stringent	AT1-like	05	5
all	all	cell type	clusterK12_stringent	AT1-like	06	0
all	all	cell type	clusterK12_stringent	AT1-like	07	0
all	all	cell type	clusterK12_stringent	AT1-like	08	12
all	all	cell type	clusterK12_stringent	AT1-like	09	0
all	all	cell type	clusterK12_stringent	AT1-like	11	0
all	all	cell type	clusterK12_stringent	AT1-like	12	0
all	all	cell type	clusterK12_stringent	AT1-like	other	154
all	all	cell type	clusterK12_stringent	AT2-like	01	212
all	all	cell type	clusterK12_stringent	AT2-like	02	265
all	all	cell type	clusterK12_stringent	AT2-like	03	10
all	all	cell type	clusterK12_stringent	AT2-like	04	53
all	all	cell type	clusterK12_stringent	AT2-like	05	54
