annotation	group	source_label	category	numerator	denominator	fraction
cell type	6wk_3d	BO1535_B0302	AT1-like	0	76	0.0
cell type	6wk_3d	BO1540_B0303	AT1-like	0	146	0.0
cell type	6wk_3d	BR1128_B0307	AT1-like	0	28	0.0
cell type	6wk_3d	BR1615_B0304	AT1-like	2	158	0.012658227848101266
cell type	6wk_3d	BS1265_B0305	AT1-like	3	178	0.016853932584269662
cell type	6wk_3d	BO1535_B0302	AT2-like	1	76	0.013157894736842105
cell type	6wk_3d	BO1540_B0303	AT2-like	9	146	0.06164383561643835
cell type	6wk_3d	BR1128_B0307	AT2-like	1	28	0.03571428571428571
cell type	6wk_3d	BR1615_B0304	AT2-like	10	158	0.06329113924050633
cell type	6wk_3d	BS1265_B0305	AT2-like	8	178	0.0449438202247191
cell type	6wk_3d	BO1535_B0302	EMT	0	76	0.0
cell type	6wk_3d	BO1540_B0303	EMT	0	146	0.0
cell type	6wk_3d	BR1128_B0307	EMT	0	28	0.0
cell type	6wk_3d	BR1615_B0304	EMT	0	158	0.0
cell type	6wk_3d	BS1265_B0305	EMT	0	178	0.0
cell type	6wk_3d	BO1535_B0302	HPCS	68	76	0.8947368421052632
cell type	6wk_3d	BO1540_B0303	HPCS	137	146	0.9383561643835616
cell type	6wk_3d	BR1128_B0307	HPCS	27	28	0.9642857142857143
cell type	6wk_3d	BR1615_B0304	HPCS	146	158	0.9240506329113924
cell type	6wk_3d	BS1265_B0305	HPCS	166	178	0.9325842696629213
cell type	6wk_3d	BO1535_B0302	Highly proliferative	3	76	0.039473684210526314
cell type	6wk_3d	BO1540_B0303	Highly proliferative	0	146	0.0
cell type	6wk_3d	BR1128_B0307	Highly proliferative	0	28	0.0
cell type	6wk_3d	BR1615_B0304	Highly proliferative	0	158	0.0
cell type	6wk_3d	BS1265_B0305	Highly proliferative	1	178	0.0056179775280898875
cell type	6wk_3d	BO1535_B0302	Hybrid lung/gastric-like	0	76	0.0
cell type	6wk_3d	BO1540_B0303	Hybrid lung/gastric-like	0	146	0.0
cell type	6wk_3d	BR1128_B0307	Hybrid lung/gastric-like	0	28	0.0
cell type	6wk_3d	BR1615_B0304	Hybrid lung/gastric-like	0	158	0.0
cell type	6wk_3d	BS1265_B0305	Hybrid lung/gastric-like	0	178	0.0
cell type	6wk_3d	BO1535_B0302	Lung endoderm-like	4	76	0.05263157894736842
cell type	6wk_3d	BO1540_B0303	Lung endoderm-like	0	146	0.0
cell type	6wk_3d	BR1128_B0307	Lung endoderm-like	0	28	0.0
cell type	6wk_3d	BR1615_B0304	Lung endoderm-like	0	158	0.0
cell type	6wk_3d	BS1265_B0305	Lung endoderm-like	0	178	0.0
cell type	6wk_3d	BO1535_B0302	Ribosome	0	76	0.0
cell type	6wk_3d	BO1540_B0303	Ribosome	0	146	0.0
cell type	6wk_3d	BR1128_B0307	Ribosome	0	28	0.0
cell type	6wk_3d	BR1615_B0304	Ribosome	0	158	0.0
cell type	6wk_3d	BS1265_B0305	Ribosome	0	178	0.0
cell type	8wk	BH1065_B0301_GFP+	AT1-like	11	138	0.07971014492753623
cell type	8wk	BH1094_B0302_GFP+	AT1-like	32	376	0.0851063829787234
cell type	8wk	BH1129_B0303_GFP+	AT1-like	5	90	0.05555555555555555
cell type	8wk	BH1290_B0304_GFP+	AT1-like	3	138	0.021739130434782608
cell type	8wk	BH1065_B0301_GFP+	AT2-like	58	138	0.42028985507246375
cell type	8wk	BH1094_B0302_GFP+	AT2-like	176	376	0.46808510638297873
cell type	8wk	BH1129_B0303_GFP+	AT2-like	38	90	0.4222222222222222
cell type	8wk	BH1290_B0304_GFP+	AT2-like	81	138	0.5869565217391305
cell type	8wk	BH1065_B0301_GFP+	EMT	0	138	0.0
cell type	8wk	BH1094_B0302_GFP+	EMT	0	376	0.0
cell type	8wk	BH1129_B0303_GFP+	EMT	0	90	0.0
cell type	8wk	BH1290_B0304_GFP+	EMT	0	138	0.0
cell type	8wk	BH1065_B0301_GFP+	HPCS	34	138	0.2463768115942029
cell type	8wk	BH1094_B0302_GFP+	HPCS	93	376	0.2473404255319149
cell type	8wk	BH1129_B0303_GFP+	HPCS	25	90	0.2777777777777778
cell type	8wk	BH1290_B0304_GFP+	HPCS	26	138	0.18840579710144928
cell type	8wk	BH1065_B0301_GFP+	Highly proliferative	2	138	0.014492753623188406
cell type	8wk	BH1094_B0302_GFP+	Highly proliferative	7	376	0.018617021276595744
cell type	8wk	BH1129_B0303_GFP+	Highly proliferative	0	90	0.0
cell type	8wk	BH1290_B0304_GFP+	Highly proliferative	5	138	0.036231884057971016
cell type	8wk	BH1065_B0301_GFP+	Hybrid lung/gastric-like	10	138	0.07246376811594203
cell type	8wk	BH1094_B0302_GFP+	Hybrid lung/gastric-like	32	376	0.0851063829787234
cell type	8wk	BH1129_B0303_GFP+	Hybrid lung/gastric-like	19	90	0.2111111111111111
cell type	8wk	BH1290_B0304_GFP+	Hybrid lung/gastric-like	18	138	0.13043478260869565
cell type	8wk	BH1065_B0301_GFP+	Lung endoderm-like	23	138	0.16666666666666666
cell type	8wk	BH1094_B0302_GFP+	Lung endoderm-like	35	376	0.09308510638297872
cell type	8wk	BH1129_B0303_GFP+	Lung endoderm-like	3	90	0.03333333333333333
cell type	8wk	BH1290_B0304_GFP+	Lung endoderm-like	5	138	0.036231884057971016
cell type	8wk	BH1065_B0301_GFP+	Ribosome	0	138	0.0
cell type	8wk	BH1094_B0302_GFP+	Ribosome	1	376	0.0026595744680851063
cell type	8wk	BH1129_B0303_GFP+	Ribosome	0	90	0.0
cell type	8wk	BH1290_B0304_GFP+	Ribosome	0	138	0.0
cell type	12wk_3d	BL1121_B0304	AT1-like	2	57	0.03508771929824561
cell type	12wk_3d	BL1124_B0305	AT1-like	4	67	0.05970149253731343
cell type	12wk_3d	BL1233_B0306	AT1-like	2	58	0.034482758620689655
cell type	12wk_3d	BL1237_B0302	AT1-like	13	239	0.05439330543933055
cell type	12wk_3d	BL1606_B0303	AT1-like	31	354	0.08757062146892655
cell type	12wk_3d	BL1646_B0301	AT1-like	2	102	0.0196078431372549
cell type	12wk_3d	BL1121_B0304	AT2-like	9	57	0.15789473684210525
cell type	12wk_3d	BL1124_B0305	AT2-like	6	67	0.08955223880597014
cell type	12wk_3d	BL1233_B0306	AT2-like	18	58	0.3103448275862069
cell type	12wk_3d	BL1237_B0302	AT2-like	23	239	0.09623430962343096
cell type	12wk_3d	BL1606_B0303	AT2-like	72	354	0.2033898305084746
cell type	12wk_3d	BL1646_B0301	AT2-like	14	102	0.13725490196078433
cell type	12wk_3d	BL1121_B0304	EMT	0	57	0.0
cell type	12wk_3d	BL1124_B0305	EMT	0	67	0.0
cell type	12wk_3d	BL1233_B0306	EMT	0	58	0.0
cell type	12wk_3d	BL1237_B0302	EMT	0	239	0.0
cell type	12wk_3d	BL1606_B0303	EMT	2	354	0.005649717514124294
cell type	12wk_3d	BL1646_B0301	EMT	2	102	0.0196078431372549
cell type	12wk_3d	BL1121_B0304	HPCS	42	57	0.7368421052631579
cell type	12wk_3d	BL1124_B0305	HPCS	51	67	0.7611940298507462
cell type	12wk_3d	BL1233_B0306	HPCS	27	58	0.46551724137931033
cell type	12wk_3d	BL1237_B0302	HPCS	187	239	0.7824267782426778
cell type	12wk_3d	BL1606_B0303	HPCS	202	354	0.5706214689265536
cell type	12wk_3d	BL1646_B0301	HPCS	77	102	0.7549019607843137
cell type	12wk_3d	BL1121_B0304	Highly proliferative	3	57	0.05263157894736842
cell type	12wk_3d	BL1124_B0305	Highly proliferative	2	67	0.029850746268656716
cell type	12wk_3d	BL1233_B0306	Highly proliferative	5	58	0.08620689655172414
cell type	12wk_3d	BL1237_B0302	Highly proliferative	4	239	0.016736401673640166
cell type	12wk_3d	BL1606_B0303	Highly proliferative	19	354	0.05367231638418079
cell type	12wk_3d	BL1646_B0301	Highly proliferative	1	102	0.00980392156862745
cell type	12wk_3d	BL1121_B0304	Hybrid lung/gastric-like	0	57	0.0
cell type	12wk_3d	BL1124_B0305	Hybrid lung/gastric-like	0	67	0.0
cell type	12wk_3d	BL1233_B0306	Hybrid lung/gastric-like	1	58	0.017241379310344827
cell type	12wk_3d	BL1237_B0302	Hybrid lung/gastric-like	3	239	0.012552301255230125
cell type	12wk_3d	BL1606_B0303	Hybrid lung/gastric-like	14	354	0.03954802259887006
cell type	12wk_3d	BL1646_B0301	Hybrid lung/gastric-like	4	102	0.0392156862745098
cell type	12wk_3d	BL1121_B0304	Lung endoderm-like	1	57	0.017543859649122806
cell type	12wk_3d	BL1124_B0305	Lung endoderm-like	3	67	0.04477611940298507
cell type	12wk_3d	BL1233_B0306	Lung endoderm-like	5	58	0.08620689655172414
cell type	12wk_3d	BL1237_B0302	Lung endoderm-like	3	239	0.012552301255230125
cell type	12wk_3d	BL1606_B0303	Lung endoderm-like	14	354	0.03954802259887006
cell type	12wk_3d	BL1646_B0301	Lung endoderm-like	2	102	0.0196078431372549
cell type	12wk_3d	BL1121_B0304	Ribosome	0	57	0.0
cell type	12wk_3d	BL1124_B0305	Ribosome	1	67	0.014925373134328358
cell type	12wk_3d	BL1233_B0306	Ribosome	0	58	0.0
cell type	12wk_3d	BL1237_B0302	Ribosome	6	239	0.02510460251046025
cell type	12wk_3d	BL1606_B0303	Ribosome	0	354	0.0
cell type	12wk_3d	BL1646_B0301	Ribosome	0	102	0.0
cell type	14wk	BD1621_B0302_GFP+	AT1-like	13	119	0.1092436974789916
cell type	14wk	BF1303_B0301_GFP+	AT1-like	50	811	0.06165228113440197
cell type	14wk	BH1066_GFP+	AT1-like	13	61	0.21311475409836064
cell type	14wk	BD1621_B0302_GFP+	AT2-like	13	119	0.1092436974789916
cell type	14wk	BF1303_B0301_GFP+	AT2-like	221	811	0.2725030826140567
cell type	14wk	BH1066_GFP+	AT2-like	11	61	0.18032786885245902
cell type	14wk	BD1621_B0302_GFP+	EMT	5	119	0.04201680672268908
cell type	14wk	BF1303_B0301_GFP+	EMT	4	811	0.004932182490752158
cell type	14wk	BH1066_GFP+	EMT	0	61	0.0
cell type	14wk	BD1621_B0302_GFP+	HPCS	59	119	0.4957983193277311
cell type	14wk	BF1303_B0301_GFP+	HPCS	223	811	0.2749691738594328
cell type	14wk	BH1066_GFP+	HPCS	33	61	0.5409836065573771
cell type	14wk	BD1621_B0302_GFP+	Highly proliferative	0	119	0.0
cell type	14wk	BF1303_B0301_GFP+	Highly proliferative	34	811	0.04192355117139334
cell type	14wk	BH1066_GFP+	Highly proliferative	2	61	0.03278688524590164
cell type	14wk	BD1621_B0302_GFP+	Hybrid lung/gastric-like	2	119	0.01680672268907563
cell type	14wk	BF1303_B0301_GFP+	Hybrid lung/gastric-like	95	811	0.11713933415536375
cell type	14wk	BH1066_GFP+	Hybrid lung/gastric-like	0	61	0.0
cell type	14wk	BD1621_B0302_GFP+	Lung endoderm-like	27	119	0.226890756302521
cell type	14wk	BF1303_B0301_GFP+	Lung endoderm-like	184	811	0.22688039457459927
cell type	14wk	BH1066_GFP+	Lung endoderm-like	2	61	0.03278688524590164
cell type	14wk	BD1621_B0302_GFP+	Ribosome	0	119	0.0
cell type	14wk	BF1303_B0301_GFP+	Ribosome	0	811	0.0
cell type	14wk	BH1066_GFP+	Ribosome	0	61	0.0
cell type	Hopx_12wk3d	BQ1151_B0308	AT1-like	341	648	0.5262345679012346
cell type	Hopx_12wk3d	BQ1152_B0309	AT1-like	241	578	0.41695501730103807
cell type	Hopx_12wk3d	BQ1151_B0308	AT2-like	152	648	0.2345679012345679
cell type	Hopx_12wk3d	BQ1152_B0309	AT2-like	144	578	0.2491349480968858
cell type	Hopx_12wk3d	BQ1151_B0308	EMT	2	648	0.0030864197530864196
cell type	Hopx_12wk3d	BQ1152_B0309	EMT	1	578	0.0017301038062283738
cell type	Hopx_12wk3d	BQ1151_B0308	HPCS	36	648	0.05555555555555555
cell type	Hopx_12wk3d	BQ1152_B0309	HPCS	23	578	0.039792387543252594
cell type	Hopx_12wk3d	BQ1151_B0308	Highly proliferative	3	648	0.004629629629629629
cell type	Hopx_12wk3d	BQ1152_B0309	Highly proliferative	4	578	0.006920415224913495
cell type	Hopx_12wk3d	BQ1151_B0308	Hybrid lung/gastric-like	17	648	0.026234567901234566
cell type	Hopx_12wk3d	BQ1152_B0309	Hybrid lung/gastric-like	73	578	0.12629757785467127
cell type	Hopx_12wk3d	BQ1151_B0308	Lung endoderm-like	97	648	0.14969135802469136
cell type	Hopx_12wk3d	BQ1152_B0309	Lung endoderm-like	92	578	0.15916955017301038
cell type	Hopx_12wk3d	BQ1151_B0308	Ribosome	0	648	0.0
cell type	Hopx_12wk3d	BQ1152_B0309	Ribosome	0	578	0.0
cell type	Hopx_12wk14d	BP1479_B0309	AT1-like	223	361	0.6177285318559557
cell type	Hopx_12wk14d	BQ1920_B0308	AT1-like	376	550	0.6836363636363636
cell type	Hopx_12wk14d	BP1479_B0309	AT2-like	79	361	0.2188365650969529
cell type	Hopx_12wk14d	BQ1920_B0308	AT2-like	133	550	0.24181818181818182
cell type	Hopx_12wk14d	BP1479_B0309	EMT	0	361	0.0
cell type	Hopx_12wk14d	BQ1920_B0308	EMT	0	550	0.0
cell type	Hopx_12wk14d	BP1479_B0309	HPCS	24	361	0.0664819944598338
cell type	Hopx_12wk14d	BQ1920_B0308	HPCS	11	550	0.02
cell type	Hopx_12wk14d	BP1479_B0309	Highly proliferative	11	361	0.030470914127423823
