gene	tss	gsm	mean_CPM	covered_fraction
ATF3	211863906	GSM8796438	0.02908136136829853	1.0
CAV1	117841395	GSM8796438	2.1365235437080266	1.0
CDKN1A	36499358	GSM8796438	1.0595419031381608	1.0
HOPX	60144363	GSM8796438	0.24363468535244465	1.0
KRT8	52869656	GSM8796438	1.4933335422426461	1.0
NKX2-1	30708839	GSM8796438	1.6718800894841552	1.0
PDPN	13027416	GSM8796438	0.281239858597517	1.0
SFTPB	85670254	GSM8796438	1.399116608761251	1.0
SFTPC	22435742	GSM8796438	0.026354991301894188	1.0
TP53	7579367	GSM8796438	0.0027420449070632456	1.0
TP63	192606306	GSM8796438	0.07101117032021284	1.0
ATF3	211863906	GSM8796436	0.014003291040658951	1.0
CAV1	117841395	GSM8796436	0.6380623074620962	1.0
CDKN1A	36499358	GSM8796436	1.917861311905086	1.0
HOPX	60144363	GSM8796436	0.0690507415998727	1.0
KRT8	52869656	GSM8796436	1.678209058791399	1.0
NKX2-1	30708839	GSM8796436	1.408404648244381	1.0
PDPN	13027416	GSM8796436	0.03276823418587446	1.0
SFTPB	85670254	GSM8796436	0.004359261132776737	1.0
SFTPC	22435742	GSM8796436	0.008168586038053035	1.0
TP53	7579367	GSM8796436	0.002347292425110936	1.0
TP63	192606306	GSM8796436	0.26338004707545043	1.0
ATF3	211863906	GSM8796437	0.0029837099835276605	1.0
CAV1	117841395	GSM8796437	0.8344443870708347	1.0
CDKN1A	36499358	GSM8796437	1.0944444984719157	1.0
HOPX	60144363	GSM8796437	0.2127384558469057	1.0
KRT8	52869656	GSM8796437	1.6844040133059024	1.0
NKX2-1	30708839	GSM8796437	1.2656499678939581	1.0
PDPN	13027416	GSM8796437	0.11409699811786413	1.0
SFTPB	85670254	GSM8796437	1.7049715244695545	1.0
SFTPC	22435742	GSM8796437	0.06711350944265723	1.0
TP53	7579367	GSM8796437	0.011616577535867692	1.0
TP63	192606306	GSM8796437	0.11320197866111993	1.0
ATF3	211863906	GSM8796439	0.005802338942885399	1.0
CAV1	117841395	GSM8796439	0.6396629429608583	1.0
CDKN1A	36499358	GSM8796439	2.169382738351822	1.0
HOPX	60144363	GSM8796439	0.047762529846280814	1.0
KRT8	52869656	GSM8796439	1.9637220395207404	1.0
NKX2-1	30708839	GSM8796439	1.4151501689702273	1.0
PDPN	13027416	GSM8796439	0.018628588877618313	1.0
SFTPB	85670254	GSM8796439	0.005496955104172229	1.0
SFTPC	22435742	GSM8796439	0.017504759803414344	1.0
TP53	7579367	GSM8796439	0.0	1.0
TP63	192606306	GSM8796439	0.24124330835789443	1.0
ATF3	211863906	GSM8796440	0.015907478014938532	1.0
CAV1	117841395	GSM8796440	1.0090555095765739	1.0
CDKN1A	36499358	GSM8796440	1.2470204322077334	1.0
