gene	gene_group	mark	window	contrast	CUT1_log2_ratio_difference	CUT2_log2_ratio_difference	both_eligible	direction_concordant	CUT1_raw_mark_log2_ratio	CUT2_raw_mark_log2_ratio	CUT1_H3_log2_ratio	CUT2_H3_log2_ratio
SFTPC	AT2	H3K27ac	promoter	iATCs_minus_iAT2	-1.5090631435881878	-2.3997119087116987	True	True	-1.281348396446668	-1.6801322560997582	0.2277147471415196	0.71957965261194
SFTPC	AT2	H3K27ac	promoter	iATCs_minus_iAT1	-0.4199173829696805	-1.140565958342778	True	True	0.0707143420430627	-0.3321001439037473	0.4906317250127434	0.8084658144390308
SFTPC	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT2	-2.1340217919212936	-2.571158496955787	True	True	-1.9718191404347551	-2.3127407545401253	0.1622026514865385	0.2584177424156615
SFTPC	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT1	-0.6381767983490745	-0.9623289516926904	True	True	-0.6243354600357273	-0.7596437690884449	0.0138413383133471	0.2026851826042456
ABCA3	AT2	H3K27ac	promoter	iATCs_minus_iAT2	-2.600756201289042	-1.856747968869458	True	True	-1.8359282311990937	-1.5086966613335102	0.7648279700899481	0.3480513075359478
ABCA3	AT2	H3K27ac	promoter	iATCs_minus_iAT1	-2.6257669289459136	-1.9416409388393971	True	True	-1.3141683208621286	-1.2126402990978709	1.3115986080837851	0.7290006397415264
ABCA3	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT2	-2.948589213811009	-2.19087707021374	True	True	-2.096323451736166	-1.7345038121531196	0.8522657620748433	0.4563732580606207
ABCA3	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT1	-2.733803300819892	-2.037336450248757	True	True	-1.4098251859433435	-1.218471997467126	1.3239781148765486	0.8188644527816309
NKX2-1	AT2	H3K27ac	promoter	iATCs_minus_iAT2	0.088883168175144	-1.372213051874064	True	False	-0.0467593914216469	-0.3392882408594246	-0.1356425595967909	1.0329248110146396
NKX2-1	AT2	H3K27ac	promoter	iATCs_minus_iAT1	-0.8191730336280472	-1.681140611063284	True	True	-0.4550649092050017	-0.9492943359908844	0.3641081244230451	0.7318462750723994
NKX2-1	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT2	-0.9598991721274852	-1.509368708657509	True	True	-0.5064676555631568	-0.5296326046401182	0.4534315165643286	0.9797361040173912
NKX2-1	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT1	-1.317297192077755	-1.9287216410048047	True	True	-0.768634604149142	-0.9932152318087144	0.5486625879286134	0.9355064091960912
ETV5	AT2	H3K27ac	promoter	iATCs_minus_iAT2	-0.9432396642930684	0.0048597110550807	True	False	0.0198030989078495	0.2043080277398956	0.963042763200918	0.199448316684815
ETV5	AT2	H3K27ac	promoter	iATCs_minus_iAT1	0.4069554191593239	0.3485044064336402	True	True	1.303072470161976	1.4283121071951994	0.8961170510026522	1.0798077007615592
ETV5	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT2	-1.078468029337288	-0.4285870851939504	True	True	-0.3260374443021505	-0.0826745122174028	0.7524305850351383	0.3459125729765476
ETV5	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT1	0.1147129366770483	0.3456593870857727	True	True	1.0619799054909234	1.2247694066076875	0.9472669688138752	0.8791100195219153
SFTPB	AT2	H3K27ac	promoter	iATCs_minus_iAT2	-8.762035217805446	-7.63263089976981	True	True	-9.724970289722249	-8.093266886148891	-0.9629350719168	-0.460635986379081
SFTPB	AT2	H3K27ac	promoter	iATCs_minus_iAT1	-9.239688456492017	-7.271501570081613	True	True	-9.43024060602643	-7.703291987405619	-0.1905521495344163	-0.4317904173240058
SFTPB	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT2	-7.847615678995278	-7.824400289081428	True	True	-7.327768203717488	-7.505205702075726	0.5198474752777896	0.3191945870057013
SFTPB	AT2	H3K27ac	broad_promoter	iATCs_minus_iAT1	-7.5127872718840285	-7.525940897015643	True	True	-6.981614035767291	-7.1472839409186415	0.531173236116737	0.3786569560970019
AGER	AT1	H3K27ac	promoter	iATCs_minus_iAT2	-1.9493067934733657	-3.175601697506814	True	True	-0.8133822471448153	-0.7900096587186975	1.1359245463285506	2.385592038788116
AGER	AT1	H3K27ac	promoter	iATCs_minus_iAT1	-2.3045091886940785	-4.057395527038793	True	True	-2.716586694673904	-2.869581695785872	-0.4120775059798253	1.18781383125292
AGER	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT2	-0.0096695469775061	-0.504375810115159	True	True	0.4203432258450906	0.4237705961587501	0.4300127728225966	0.9281464062739092
AGER	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT1	-0.9657558926262976	-1.6216053633702692	True	True	-0.3478890113745463	-0.5833160838060928	0.6178668812517514	1.0382892795641765
PDPN	AT1	H3K27ac	promoter	iATCs_minus_iAT2	-2.079427974656264	-2.183567063527369	True	True	-1.5802896363282493	-1.6305083899802748	0.499138338328015	0.5530586735470944
PDPN	AT1	H3K27ac	promoter	iATCs_minus_iAT1	-4.44764959377788	-5.10271131086069	True	True	-3.050597888771108	-3.586099334296967	1.3970517050067714	1.5166119765637232
PDPN	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT2	-1.816925441030777	-2.271122541856026	True	True	-1.470706353178397	-1.7610767705056072	0.3462190878523801	0.5100457713504184
PDPN	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT1	-4.400450131840188	-5.014417750538289	True	True	-3.1821954252943225	-3.793110994118144	1.218254706545865	1.2213067564201443
HOPX	AT1	H3K27ac	promoter	iATCs_minus_iAT2	-0.6350054085691803	-0.3821743299970879	True	True	-0.6057157518085934	-0.6818328453396804	0.0292896567605874	-0.2996585153425925
HOPX	AT1	H3K27ac	promoter	iATCs_minus_iAT1	-0.8866183883067964	-2.0943036977030984	True	True	-0.9182610626532104	-1.2639024186328718	-0.0316426743464136	0.8304012790702264
HOPX	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT2	-1.0055340683785414	-0.9635267662366624	True	True	-0.8200005226304652	-0.912460059994032	0.1855335457480762	0.0510667062426304
HOPX	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT1	-1.089729960555979	-2.911324301661512	True	True	-1.1072404511331273	-1.361173112634129	-0.0175104905771484	1.5501511890273822
CAV1	AT1	H3K27ac	promoter	iATCs_minus_iAT2	-0.3761660363199341	-0.3365867590910261	True	True	-0.8110352959578555	-0.8190927914391778	-0.4348692596379211	-0.4825060323481516
CAV1	AT1	H3K27ac	promoter	iATCs_minus_iAT1	-2.2980535795305483	-1.7124095261941794	True	True	-2.5253071801503992	-2.637667128663258	-0.2272536006198503	-0.9252576024690786
CAV1	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT2	-0.5407284766516938	-0.2066247991756795	True	True	-0.5645770823057981	-0.7145478593562519	-0.023848605654104	-0.5079230601805726
CAV1	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT1	-2.3500249512469438	-2.202262084552213	True	True	-2.11142145125088	-2.216989503737243	0.2386034999960637	-0.0147274191850299
AQP5	AT1	H3K27ac	promoter	iATCs_minus_iAT2	0.7311685952691018	1.2439845094384014	True	True	0.939103217791456	0.8486085325256056	0.2079346225223541	-0.3953759769127956
AQP5	AT1	H3K27ac	promoter	iATCs_minus_iAT1	0.1031678120372728	-0.0527083215817225	True	False	1.363664343899122	0.4042465989855293	1.260496531861849	0.456954920567252
AQP5	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT2	0.0085674041950498	0.7669849382235664	True	True	0.2934564885982042	0.2636826486937181	0.2848890844031543	-0.5033022895298482
AQP5	AT1	H3K27ac	broad_promoter	iATCs_minus_iAT1	-0.4631926526299166	0.1743472092715036	True	False	0.2602702629078115	0.3175103117139716	0.723462915537728	0.1431631024424681
KRT8	transition_stress	H3K27ac	promoter	iATCs_minus_iAT2	0.3980341301088934	0.3929058934925251	True	True	0.2232348322303636	0.1390768747116206	-0.17479929787853	-0.2538290187809046
KRT8	transition_stress	H3K27ac	promoter	iATCs_minus_iAT1	-0.8715245223963901	-1.2711305886642972	True	True	0.4343238894733914	0.1775781759482646	1.3058484118697815	1.4487087646125625
KRT8	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT2	0.1877917881995827	0.2520816610799601	True	True	0.2099865347172582	0.3077289981138945	0.0221947465176753	0.0556473370339345
KRT8	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT1	-1.4279670019079092	-0.9583615195721232	True	True	-0.1451093640242293	-0.2979137284315127	1.2828576378836791	0.6604477911406099
