gsm	gene	mean_CPM	covered_fraction
GSM8796438	SFTPC	0.07210798813030124	1.0
GSM8796438	AGER	0.6181353539228439	1.0
GSM8796438	CDKN1A	0.30093551709875466	1.0
GSM8796436	SFTPC	0.07573044637031853	1.0
GSM8796436	AGER	0.09403932488337159	1.0
GSM8796436	CDKN1A	0.5014496210906655	1.0
GSM8796437	SFTPC	0.1840750041231513	1.0
GSM8796437	AGER	0.1652577962167561	1.0
GSM8796437	CDKN1A	0.28392981670051815	1.0
GSM8796439	SFTPC	0.05858546470850706	1.0
GSM8796439	AGER	0.11339621375128627	1.0
GSM8796439	CDKN1A	0.44617004798725246	1.0
GSM8796440	SFTPC	0.18774141418933868	1.0
GSM8796440	AGER	0.1960718100341037	1.0
GSM8796440	CDKN1A	0.31735128338262436	1.0
GSM8796441	SFTPC	0.07374999310355633	1.0
GSM8796441	AGER	0.8287598809301853	1.0
GSM8796441	CDKN1A	0.30760278846137223	1.0
GSM8796443	SFTPC	0.07578563772886991	1.0
GSM8796443	AGER	0.01514198761433363	1.0
GSM8796443	CDKN1A	0.014876995693892241	1.0
GSM8796442	SFTPC	0.08874336222931743	1.0
GSM8796442	AGER	0.033275933511555195	1.0
GSM8796442	CDKN1A	0.014703845046460629	1.0
GSM8796444	SFTPC	0.06315983878448606	1.0
GSM8796444	AGER	0.04427697453647852	1.0
GSM8796444	CDKN1A	0.010600429583340884	1.0
GSM8796445	SFTPC	0.07806656237505376	1.0
GSM8796445	AGER	0.04240275970846415	1.0
GSM8796445	CDKN1A	0.020298124523833394	1.0
GSM8796447	SFTPC	0.0445751276165247	1.0
GSM8796447	AGER	0.01861343514174223	1.0
GSM8796447	CDKN1A	0.016476942233741285	1.0
GSM8833580	SFTPC	0.0684311400167644	1.0
GSM8833580	AGER	0.022395659890025853	1.0
GSM8833580	CDKN1A	0.11675594100728631	1.0
GSM8833581	SFTPC	0.16121623891592027	1.0
GSM8833581	AGER	0.09958437025547028	1.0
GSM8833581	CDKN1A	0.11659194537252188	1.0
GSM8833582	SFTPC	0.1880795259028673	1.0
GSM8833582	AGER	0.13559224344789983	1.0
GSM8833582	CDKN1A	0.13602969793975353	1.0
GSM8833583	SFTPC	0.035932273417711255	1.0
GSM8833583	AGER	0.06787207201123238	1.0
GSM8833583	CDKN1A	0.0998118832707405	1.0
GSM8833584	SFTPC	0.12806722086668015	1.0
GSM8833584	AGER	0.014454844549298287	1.0
GSM8833584	CDKN1A	0.09888744573295116	1.0
GSM8833585	SFTPC	0.06318540126085281	1.0
GSM8833585	AGER	0.18857336893677712	1.0
GSM8833585	CDKN1A	0.06416828528046609	1.0
GSM8833586	SFTPC	0.7050056872013957	1.0
GSM8833586	AGER	0.018430362548679115	1.0
GSM8833586	CDKN1A	0.01491982527077198	1.0
GSM8796446	SFTPC	0.04740782119333744	1.0
GSM8796446	AGER	0.008114455103874206	1.0
GSM8796446	CDKN1A	0.0348833335340023	1.0
GSM8833588	SFTPC	1.2333481603171677	1.0
GSM8833588	AGER	0.027060787798836826	1.0
GSM8833588	CDKN1A	0.03694945849478245	1.0
GSM8833589	SFTPC	0.7827979359719902	1.0
GSM8833589	AGER	0.0	1.0
GSM8833589	CDKN1A	0.011355329677462578	1.0
GSM8833587	SFTPC	0.8052050451338291	1.0
GSM8833587	AGER	0.005952887702733278	1.0
GSM8833587	CDKN1A	0.03935709174722433	1.0
GSM8833590	SFTPC	0.8577215917408466	1.0
GSM8833590	AGER	0.012758538406342269	1.0
GSM8833590	CDKN1A	0.03611825448274612	1.0
GSM8833591	SFTPC	1.1601841890513898	1.0
GSM8833591	AGER	0.029875402338802814	1.0
GSM8833591	CDKN1A	0.030716350274160503	1.0
