gene	gene_group	mark	window_1kb	replicate	contrast	eligible_1kb	log2_ratio_difference_1kb	raw_mark_log2_ratio_1kb	H3_log2_ratio_1kb	window_5kb	eligible_5kb	log2_ratio_difference_5kb	raw_mark_log2_ratio_5kb	H3_log2_ratio_5kb	both_windows_eligible	same_direction_across_windows	H3_changes_direction_1kb	H3_changes_direction_5kb
SFTPC	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-1.5090631435881878	-1.281348396446668	0.2277147471415196	broad_promoter	True	-2.1340217919212936	-1.9718191404347551	0.1622026514865385	True	1.0	0.0	0.0
SFTPC	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.4199173829696805	0.0707143420430627	0.4906317250127434	broad_promoter	True	-0.6381767983490745	-0.6243354600357273	0.0138413383133471	True	1.0	1.0	0.0
ABCA3	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-2.600756201289042	-1.8359282311990937	0.7648279700899481	broad_promoter	True	-2.948589213811009	-2.096323451736166	0.8522657620748433	True	1.0	0.0	0.0
ABCA3	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-2.6257669289459136	-1.3141683208621286	1.3115986080837851	broad_promoter	True	-2.733803300819892	-1.4098251859433435	1.3239781148765486	True	1.0	0.0	0.0
NKX2-1	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	0.088883168175144	-0.0467593914216469	-0.1356425595967909	broad_promoter	True	-0.9598991721274852	-0.5064676555631568	0.4534315165643286	True	0.0	1.0	0.0
NKX2-1	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.8191730336280472	-0.4550649092050017	0.3641081244230451	broad_promoter	True	-1.317297192077755	-0.768634604149142	0.5486625879286134	True	1.0	0.0	0.0
ETV5	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.9432396642930684	0.0198030989078495	0.963042763200918	broad_promoter	True	-1.078468029337288	-0.3260374443021505	0.7524305850351383	True	1.0	1.0	0.0
ETV5	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	0.4069554191593239	1.303072470161976	0.8961170510026522	broad_promoter	True	0.1147129366770483	1.0619799054909234	0.9472669688138752	True	1.0	0.0	0.0
SFTPB	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-8.762035217805446	-9.724970289722249	-0.9629350719168	broad_promoter	True	-7.847615678995278	-7.327768203717488	0.5198474752777896	True	1.0	0.0	0.0
SFTPB	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-9.239688456492017	-9.43024060602643	-0.1905521495344163	broad_promoter	True	-7.5127872718840285	-6.981614035767291	0.531173236116737	True	1.0	0.0	0.0
AGER	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-1.9493067934733657	-0.8133822471448153	1.1359245463285506	broad_promoter	True	-0.0096695469775061	0.4203432258450906	0.4300127728225966	True	1.0	0.0	1.0
AGER	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-2.3045091886940785	-2.716586694673904	-0.4120775059798253	broad_promoter	True	-0.9657558926262976	-0.3478890113745463	0.6178668812517514	True	1.0	0.0	0.0
PDPN	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-2.079427974656264	-1.5802896363282493	0.499138338328015	broad_promoter	True	-1.816925441030777	-1.470706353178397	0.3462190878523801	True	1.0	0.0	0.0
PDPN	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-4.44764959377788	-3.050597888771108	1.3970517050067714	broad_promoter	True	-4.400450131840188	-3.1821954252943225	1.218254706545865	True	1.0	0.0	0.0
HOPX	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.6350054085691803	-0.6057157518085934	0.0292896567605874	broad_promoter	True	-1.0055340683785414	-0.8200005226304652	0.1855335457480762	True	1.0	0.0	0.0
HOPX	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.8866183883067964	-0.9182610626532104	-0.0316426743464136	broad_promoter	True	-1.089729960555979	-1.1072404511331273	-0.0175104905771484	True	1.0	0.0	0.0
CAV1	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.3761660363199341	-0.8110352959578555	-0.4348692596379211	broad_promoter	True	-0.5407284766516938	-0.5645770823057981	-0.023848605654104	True	1.0	0.0	0.0
CAV1	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-2.2980535795305483	-2.5253071801503992	-0.2272536006198503	broad_promoter	True	-2.3500249512469438	-2.11142145125088	0.2386034999960637	True	1.0	0.0	0.0
AQP5	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	0.7311685952691018	0.939103217791456	0.2079346225223541	broad_promoter	True	0.0085674041950498	0.2934564885982042	0.2848890844031543	True	1.0	0.0	0.0
AQP5	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	0.1031678120372728	1.363664343899122	1.260496531861849	broad_promoter	True	-0.4631926526299166	0.2602702629078115	0.723462915537728	True	0.0	0.0	1.0
KRT8	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	0.3980341301088934	0.2232348322303636	-0.17479929787853	broad_promoter	True	0.1877917881995827	0.2099865347172582	0.0221947465176753	True	1.0	0.0	0.0
KRT8	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.8715245223963901	0.4343238894733914	1.3058484118697815	broad_promoter	True	-1.4279670019079092	-0.1451093640242293	1.2828576378836791	True	1.0	1.0	0.0
CLDN4	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.9443041740885114	0.3597632781049588	1.3040674521934703	broad_promoter	True	-0.376710669139876	0.0345755568803474	0.4112862260202235	True	1.0	1.0	1.0
CLDN4	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-2.375245240727417	0.0669189579622632	2.442164198689681	broad_promoter	True	-1.0516964059232734	-0.2550371403306151	0.7966592655926577	True	1.0	1.0	0.0
KRT19	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.7507335665541315	0.013079608231077	0.7638131747852089	broad_promoter	True	-0.3100919220706744	0.2422423739165255	0.5523342959872003	True	1.0	1.0	1.0
KRT19	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-1.7492002097119823	-0.150788940777968	1.5984112689340149	broad_promoter	True	-1.0286438217461955	-0.0670475749430272	0.9615962468031686	True	1.0	0.0	0.0
CDKN1A	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	0.8374601501951453	0.8205704048598909	-0.0168897453352547	broad_promoter	True	-0.1369242692690502	0.7625029332611284	0.8994272025301786	True	0.0	0.0	1.0
CDKN1A	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	0.264579641695299	0.7366503786444093	0.4720707369491094	broad_promoter	True	-0.5690458511669405	0.8344684692153337	1.4035143203822742	True	0.0	0.0	1.0
SFN	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.4101498924618427	0.5320173168345058	0.9421672092963485	broad_promoter	True	-0.3999085948047607	0.3905389287956159	0.7904475236003768	True	1.0	1.0	1.0
SFN	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.5559576650038052	0.3555316097076268	0.9114892747114316	broad_promoter	True	-0.8164798450443456	0.2264894872167839	1.0429693322611298	True	1.0	1.0	1.0
ITGB6	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	0.6291526219074539	0.8540617780360391	0.224909156128585	broad_promoter	True	0.8697025900058613	0.8379141827064208	-0.0317884072994407	True	1.0	0.0	0.0
ITGB6	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.718156888577461	0.2822153782678647	1.0003722668453252	broad_promoter	True	-0.784336270393224	0.3958121063333868	1.1801483767266108	True	1.0	1.0	1.0
KRT17	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	1.2705973134932158	2.2041462635687004	0.9335489500754844	broad_promoter	True	1.8092906919730856	2.145733278894663	0.3364425869215774	True	1.0	0.0	0.0
KRT17	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	0.39734195911941	1.849003063119346	1.451661103999936	broad_promoter	True	1.313553476661439	2.155081189034788	0.8415277123733489	True	1.0	0.0	0.0
TP63	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	False			0.8175878412678612	broad_promoter	True	0.1012335877845194	0.753425944683757	0.6521923568992375	False			0.0
TP63	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-2.203361949605002	-2.068706139759068	0.1346558098459342	broad_promoter	True	-1.9813980333724248	-1.4048280712309915	0.5765699621414332	True	1.0	0.0	0.0
COL1A1	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	0.4227318397408266	0.7950235045121082	0.3722916647712815	broad_promoter	True	0.7835553906263775	0.9951216712499028	0.2115662806235254	True	1.0	0.0	0.0
COL1A1	transition_stress	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.422631446159442	0.7484237494699348	1.1710551956293769	broad_promoter	True	0.1594482827241994	1.2096460649401286	1.050197782215929	True	0.0	1.0	0.0
ATF3	regulators	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-1.27970605058654	-1.1645262446434763	0.1151798059430633	broad_promoter	True	-1.8549045648664957	-0.5432578496257139	1.3116467152407816	True	1.0	0.0	0.0
ATF3	regulators	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-1.608428299401077	-0.4132186168035065	1.1952096825975704	broad_promoter	True	-0.4230517028193743	0.1025804861109503	0.5256321889303247	True	1.0	0.0	1.0
HNF1B	regulators	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.6002701399561348	0.1875958728840545	0.7878660128401888	broad_promoter	True	-1.1484046092447988	0.2116489906480004	1.3600535998927992	True	1.0	1.0	1.0
HNF1B	regulators	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-2.1185990208988343	-0.0719612696792657	2.0466377512195684	broad_promoter	True	-1.2579026113275995	0.0015072917380867	1.259409903065687	True	1.0	0.0	1.0
TP53	regulators	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.4273579428442065	0.0426797151925568	0.4700376580367633	broad_promoter	True	-0.2916626258050918	0.0596535501617293	0.3513161759668212	True	1.0	1.0	1.0
TP53	regulators	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.7765809781979613	-0.0041836353154141	0.7723973428825474	broad_promoter	True	-1.0295350240080894	0.1563570428611905	1.1858920668692798	True	1.0	0.0	1.0
CEBPA	regulators	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.0903505969090172	-0.2094738857401999	-0.1191232888311823	broad_promoter	True	-0.4910392708237934	-0.3796763313714895	0.1113629394523036	True	1.0	0.0	0.0
CEBPA	regulators	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.6739524896308333	0.0381727915373518	0.7121252811681851	broad_promoter	True	-0.4284446721102801	0.1928872597638654	0.6213319318741455	True	1.0	1.0	1.0
SFTPC	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-2.3997119087116987	-1.6801322560997582	0.71957965261194	broad_promoter	True	-2.571158496955787	-2.3127407545401253	0.2584177424156615	True	1.0	0.0	0.0
SFTPC	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-1.140565958342778	-0.3321001439037473	0.8084658144390308	broad_promoter	True	-0.9623289516926904	-0.7596437690884449	0.2026851826042456	True	1.0	0.0	0.0
ABCA3	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-1.856747968869458	-1.5086966613335102	0.3480513075359478	broad_promoter	True	-2.19087707021374	-1.7345038121531196	0.4563732580606207	True	1.0	0.0	0.0
ABCA3	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-1.9416409388393971	-1.2126402990978709	0.7290006397415264	broad_promoter	True	-2.037336450248757	-1.218471997467126	0.8188644527816309	True	1.0	0.0	0.0
NKX2-1	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-1.372213051874064	-0.3392882408594246	1.0329248110146396	broad_promoter	True	-1.509368708657509	-0.5296326046401182	0.9797361040173912	True	1.0	0.0	0.0
NKX2-1	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-1.681140611063284	-0.9492943359908844	0.7318462750723994	broad_promoter	True	-1.9287216410048047	-0.9932152318087144	0.9355064091960912	True	1.0	0.0	0.0
ETV5	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	0.0048597110550807	0.2043080277398956	0.199448316684815	broad_promoter	True	-0.4285870851939504	-0.0826745122174028	0.3459125729765476	True	0.0	0.0	0.0
ETV5	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	0.3485044064336402	1.4283121071951994	1.0798077007615592	broad_promoter	True	0.3456593870857727	1.2247694066076875	0.8791100195219153	True	1.0	0.0	0.0
SFTPB	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-7.63263089976981	-8.093266886148891	-0.460635986379081	broad_promoter	True	-7.824400289081428	-7.505205702075726	0.3191945870057013	True	1.0	0.0	0.0
SFTPB	AT2	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-7.271501570081613	-7.703291987405619	-0.4317904173240058	broad_promoter	True	-7.525940897015643	-7.1472839409186415	0.3786569560970019	True	1.0	0.0	0.0
AGER	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-3.175601697506814	-0.7900096587186975	2.385592038788116	broad_promoter	True	-0.504375810115159	0.4237705961587501	0.9281464062739092	True	1.0	0.0	1.0
AGER	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-4.057395527038793	-2.869581695785872	1.18781383125292	broad_promoter	True	-1.6216053633702692	-0.5833160838060928	1.0382892795641765	True	1.0	0.0	0.0
PDPN	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-2.183567063527369	-1.6305083899802748	0.5530586735470944	broad_promoter	True	-2.271122541856026	-1.7610767705056072	0.5100457713504184	True	1.0	0.0	0.0
PDPN	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-5.10271131086069	-3.586099334296967	1.5166119765637232	broad_promoter	True	-5.014417750538289	-3.793110994118144	1.2213067564201443	True	1.0	0.0	0.0
HOPX	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-0.3821743299970879	-0.6818328453396804	-0.2996585153425925	broad_promoter	True	-0.9635267662366624	-0.912460059994032	0.0510667062426304	True	1.0	0.0	0.0
HOPX	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-2.0943036977030984	-1.2639024186328718	0.8304012790702264	broad_promoter	True	-2.911324301661512	-1.361173112634129	1.5501511890273822	True	1.0	0.0	0.0
CAV1	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-0.3365867590910261	-0.8190927914391778	-0.4825060323481516	broad_promoter	True	-0.2066247991756795	-0.7145478593562519	-0.5079230601805726	True	1.0	0.0	0.0
CAV1	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-1.7124095261941794	-2.637667128663258	-0.9252576024690786	broad_promoter	True	-2.202262084552213	-2.216989503737243	-0.0147274191850299	True	1.0	0.0	0.0
AQP5	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	1.2439845094384014	0.8486085325256056	-0.3953759769127956	broad_promoter	True	0.7669849382235664	0.2636826486937181	-0.5033022895298482	True	1.0	0.0	0.0
AQP5	AT1	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-0.0527083215817225	0.4042465989855293	0.456954920567252	broad_promoter	True	0.1743472092715036	0.3175103117139716	0.1431631024424681	True	0.0	1.0	0.0
KRT8	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	0.3929058934925251	0.1390768747116206	-0.2538290187809046	broad_promoter	True	0.2520816610799601	0.3077289981138945	0.0556473370339345	True	1.0	0.0	0.0
KRT8	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-1.2711305886642972	0.1775781759482646	1.4487087646125625	broad_promoter	True	-0.9583615195721232	-0.2979137284315127	0.6604477911406099	True	1.0	1.0	0.0
CLDN4	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-0.8896499522599894	0.4124136344222632	1.3020635866822527	broad_promoter	True	-0.2616256372648715	0.044287845902218	0.3059134831670898	True	1.0	1.0	1.0
