unit	target	library	fibroblast_total_counts	depth_rank_in_unit	wells_in_unit	depth_percentile	unit_median_fibroblast_total	epithelial_count_fraction	extreme_depth
3-1	ERBB2	3-1_D03_ERBB2	1759	2	60	0.033	174213	0.7701	yes
3-1	TDTOMATO	3-1_G10_TDTOMATO	11417	7	60	0.117	174213	0.7654	no
3-1	ERBB4	3-1_F03_ERBB4	82689	25	60	0.417	174213	0.8241	no
3-1	EGFR	3-1_C03_EGFR	186908	33	60	0.55	174213	0.7938	no
3-1	TDTOMATO	3-1_B05_TDTOMATO	372007	46	60	0.767	174213	0.8464	no
3-1	AREG	3-1_F07_AREG	408995	49	60	0.817	174213	0.7935	no
3-1	ITGB6	3-1_C02_ITGB6	856721	57	60	0.95	174213	0.8451	no
3-1	ERBB3	3-1_G02_ERBB3	1267758	59	60	0.983	174213	0.6088	yes
3-2	TDTOMATO	3-2_G10_TDTOMATO	14219	2	60	0.033	376068	0.7504	yes
3-2	EGFR	3-2_C03_EGFR	51605	8	60	0.133	376068	0.904	no
3-2	ERBB2	3-2_D03_ERBB2	97637	12	60	0.2	376068	0.8356	no
3-2	ERBB4	3-2_F03_ERBB4	376011	30	60	0.5	376068	0.8742	no
3-2	ITGB6	3-2_C02_ITGB6	650042	44	60	0.733	376068	0.827	no
3-2	ERBB3	3-2_G02_ERBB3	843540	49	60	0.817	376068	0.6489	no
3-2	AREG	3-2_F07_AREG	993663	53	60	0.883	376068	0.7855	no
3-2	TDTOMATO	3-2_B05_TDTOMATO	1176571	54	60	0.9	376068	0.7975	no
3-3	ITGB6	3-3_C02_ITGB6	4865	3	60	0.05	120382	0.6988	yes
3-3	TDTOMATO	3-3_B05_TDTOMATO	10231	5	60	0.083	120382	0.696	no
3-3	TDTOMATO	3-3_G10_TDTOMATO	17021	6	60	0.1	120382	0.6566	no
3-3	ERBB2	3-3_D03_ERBB2	68491	22	60	0.367	120382	0.557	no
3-3	ERBB3	3-3_G02_ERBB3	149605	37	60	0.617	120382	0.4904	no
3-3	EGFR	3-3_C03_EGFR	191302	40	60	0.667	120382	0.6735	no
3-3	AREG	3-3_F07_AREG	202922	41	60	0.683	120382	0.7092	no
3-3	ERBB4	3-3_F03_ERBB4	321068	50	60	0.833	120382	0.6864	no
3-4	TDTOMATO	3-4_B05_TDTOMATO	100609	4	60	0.067	695146	0.9039	no
3-4	ERBB4	3-4_F03_ERBB4	163817	5	60	0.083	695146	0.8414	no
3-4	EGFR	3-4_C03_EGFR	231560	8	60	0.133	695146	0.8826	no
3-4	ITGB6	3-4_C02_ITGB6	232512	9	60	0.15	695146	0.8927	no
3-4	TDTOMATO	3-4_G10_TDTOMATO	543071	25	60	0.417	695146	0.8313	no
3-4	AREG	3-4_F07_AREG	1006613	42	60	0.7	695146	0.794	no
3-4	ERBB2	3-4_D03_ERBB2	1340076	46	60	0.767	695146	0.6232	no
3-4	ERBB3	3-4_G02_ERBB3	2885965	59	60	0.983	695146	0.4476	yes
