unit	target	library	eligible	activation_score	fibroblast_total_counts	control_median_fibroblast_counts	fibroblast_counts_ratio_to_control	epithelial_count_fraction	control_median_epithelial_fraction	day14_organoid_count	control_median_day14_count	day14_area_mean	control_median_day14_area	day14_area_minus_control	day14_count_ratio_to_control
3-1	AREG	3-1_F07_AREG	yes	9.3108	408995	372007	1.099	0.7935	0.8464	155	133.0	8.77345640494511	8.8	0.002	1.165
3-1	EGFR	3-1_C03_EGFR	yes	9.316	186908	372007	0.502	0.7938	0.8464	127	133.0	8.87223485219904	8.8	0.101	0.955
3-1	ERBB2	3-1_D03_ERBB2	no	6.7554	1759	372007	0.005	0.7701	0.8464	132	133.0	8.17828739030955	8.8	-0.593	0.992
3-1	ERBB3	3-1_G02_ERBB3	yes	8.9164	1267758	372007	3.408	0.6088	0.8464	81	133.0	8.13487110778783	8.8	-0.637	0.609
3-1	ERBB4	3-1_F03_ERBB4	no	9.5079	82689	372007	0.222	0.8241	0.8464	150	133.0	8.60837825292132	8.8	-0.163	1.128
3-1	ITGB6	3-1_C02_ITGB6	yes	8.2415	856721	372007	2.303	0.8451	0.8464	115	133.0	8.72173031349708	8.8	-0.05	0.865
3-2	AREG	3-2_F07_AREG	yes	10.0003	993663	701878	1.416	0.7855	0.794	148	134.0	8.70582412632039	8.7	0.003	1.104
3-2	EGFR	3-2_C03_EGFR	no	9.5429	51605	701878	0.074	0.904	0.794	154	134.0	8.71543551731109	8.7	0.013	1.149
3-2	ERBB2	3-2_D03_ERBB2	no	9.4535	97637	701878	0.139	0.8356	0.794	137	134.0	8.24773363089357	8.7	-0.455	1.022
3-2	ERBB3	3-2_G02_ERBB3	yes	9.0055	843540	701878	1.202	0.6489	0.794	89	134.0	8.02075018195067	8.7	-0.682	0.664
3-2	ERBB4	3-2_F03_ERBB4	yes	10.2494	376011	701878	0.536	0.8742	0.794	151	134.0	8.69323263275816	8.7	-0.01	1.127
3-2	ITGB6	3-2_C02_ITGB6	yes	8.0118	650042	701878	0.926	0.827	0.794	136	134.0	8.72490381445811	8.7	0.022	1.015
3-3	AREG	3-3_F07_AREG	yes	9.5436	202922	260319	0.78	0.7092	0.7022	152	163.0	8.85376983034959	8.8	0.032	0.933
3-3	EGFR	3-3_C03_EGFR	yes	9.8545	191302	260319	0.735	0.6735	0.7022	172	163.0	8.76505505946457	8.8	-0.057	1.055
3-3	ERBB2	3-3_D03_ERBB2	no	8.1147	68491	260319	0.263	0.557	0.7022	136	163.0	8.32140638265746	8.8	-0.501	0.834
3-3	ERBB3	3-3_G02_ERBB3	yes	9.4815	149605	260319	0.575	0.4904	0.7022	97	163.0	8.30972609115075	8.8	-0.512	0.595
3-3	ERBB4	3-3_F03_ERBB4	yes	9.9154	321068	260319	1.233	0.6864	0.7022	170	163.0	8.86826052496161	8.8	0.046	1.043
3-3	ITGB6	3-3_C02_ITGB6	no	4.2553	4865	260319	0.019	0.6988	0.7022	161	163.0	8.92444529356806	8.8	0.102	0.988
3-4	AREG	3-4_F07_AREG	yes	9.4426	1006613	681911	1.476	0.794	0.8141	158	162.5	8.83108094749269	8.8	0.038	0.972
3-4	EGFR	3-4_C03_EGFR	yes	9.863	231560	681911	0.34	0.8826	0.8141	168	162.5	8.8573635195291	8.8	0.065	1.034
3-4	ERBB2	3-4_D03_ERBB2	yes	9.3326	1340076	681911	1.965	0.6232	0.8141	135	162.5	8.3861029123989	8.8	-0.407	0.831
3-4	ERBB3	3-4_G02_ERBB3	yes	9.5076	2885965	681911	4.232	0.4476	0.8141	70	162.5	8.2202768486069	8.8	-0.572	0.431
3-4	ERBB4	3-4_F03_ERBB4	yes	9.8965	163817	681911	0.24	0.8414	0.8141	163	162.5	8.81828164850385	8.8	0.026	1.003
3-4	ITGB6	3-4_C02_ITGB6	yes	8.7677	232512	681911	0.341	0.8927	0.8141	146	162.5	8.90384559555505	8.8	0.111	0.898
