unit	target	library	eligible	activation_score	fibroblast_total_counts	control_median_fibroblast_counts	fibroblast_counts_ratio_to_control	epithelial_count_fraction	control_median_epithelial_fraction	day14_organoid_count	control_median_day14_count	day14_area_mean	control_median_day14_area	area_ratio_to_control
3-1	AREG	3-1_F07_AREG	yes	9.3108	408995	372007	1.099	0.7935	0.8464	none	none	none	none	none
3-1	EGFR	3-1_C03_EGFR	yes	9.316	186908	372007	0.502	0.7938	0.8464	none	none	none	none	none
3-1	ERBB2	3-1_D03_ERBB2	no	6.7554	1759	372007	0.005	0.7701	0.8464	none	none	none	none	none
3-1	ERBB3	3-1_G02_ERBB3	yes	8.9164	1267758	372007	3.408	0.6088	0.8464	none	none	none	none	none
3-1	ERBB4	3-1_F03_ERBB4	no	9.5079	82689	372007	0.222	0.8241	0.8464	none	none	none	none	none
3-1	ITGB6	3-1_C02_ITGB6	yes	8.2415	856721	372007	2.303	0.8451	0.8464	none	none	none	none	none
3-2	AREG	3-2_F07_AREG	yes	10.0003	993663	701878	1.416	0.7855	0.794	none	none	none	none	none
3-2	EGFR	3-2_C03_EGFR	no	9.5429	51605	701878	0.074	0.904	0.794	none	none	none	none	none
3-2	ERBB2	3-2_D03_ERBB2	no	9.4535	97637	701878	0.139	0.8356	0.794	none	none	none	none	none
3-2	ERBB3	3-2_G02_ERBB3	yes	9.0055	843540	701878	1.202	0.6489	0.794	none	none	none	none	none
3-2	ERBB4	3-2_F03_ERBB4	yes	10.2494	376011	701878	0.536	0.8742	0.794	none	none	none	none	none
3-2	ITGB6	3-2_C02_ITGB6	yes	8.0118	650042	701878	0.926	0.827	0.794	none	none	none	none	none
3-3	AREG	3-3_F07_AREG	yes	9.5436	202922	260319	0.78	0.7092	0.7022	none	none	none	none	none
3-3	EGFR	3-3_C03_EGFR	yes	9.8545	191302	260319	0.735	0.6735	0.7022	none	none	none	none	none
3-3	ERBB2	3-3_D03_ERBB2	no	8.1147	68491	260319	0.263	0.557	0.7022	none	none	none	none	none
3-3	ERBB3	3-3_G02_ERBB3	yes	9.4815	149605	260319	0.575	0.4904	0.7022	none	none	none	none	none
3-3	ERBB4	3-3_F03_ERBB4	yes	9.9154	321068	260319	1.233	0.6864	0.7022	none	none	none	none	none
3-3	ITGB6	3-3_C02_ITGB6	no	4.2553	4865	260319	0.019	0.6988	0.7022	none	none	none	none	none
3-4	AREG	3-4_F07_AREG	yes	9.4426	1006613	681911	1.476	0.794	0.8141	none	none	none	none	none
3-4	EGFR	3-4_C03_EGFR	yes	9.863	231560	681911	0.34	0.8826	0.8141	none	none	none	none	none
3-4	ERBB2	3-4_D03_ERBB2	yes	9.3326	1340076	681911	1.965	0.6232	0.8141	none	none	none	none	none
3-4	ERBB3	3-4_G02_ERBB3	yes	9.5076	2885965	681911	4.232	0.4476	0.8141	none	none	none	none	none
3-4	ERBB4	3-4_F03_ERBB4	yes	9.8965	163817	681911	0.24	0.8414	0.8141	none	none	none	none	none
3-4	ITGB6	3-4_C02_ITGB6	yes	8.7677	232512	681911	0.341	0.8927	0.8141	none	none	none	none	none
