module	mouse_symbol	in_GSE247130	in_GSE310539	in_GSE262927	human_ortholog	in_GSE308103
shared_remodelling	Actn1	True	True	True	ACTN1	True
shared_remodelling	Areg	True	True	True	AREG	True
shared_remodelling	Bax	True	True	True	BAX	True
shared_remodelling	Cxcl16	True	True	True	CXCL16	True
shared_remodelling	Gdf15	True	True	True	GDF15	True
shared_remodelling	Itgb6	True	True	True	ITGB6	True
shared_remodelling	Klf6	True	True	True	KLF6	True
shared_remodelling	Lamc2	True	True	True	LAMC2	True
shared_remodelling	Ly6a	True	True	True		False
shared_remodelling	Nars	True	True	True		False
shared_remodelling	Ndnf	True	True	True	NDNF	True
shared_remodelling	S100a14	True	True	True	S100A14	True
development_specific	2210011C24Rik	True	True	False		False
development_specific	2310007B03Rik	False	False	False		False
development_specific	9330182L06Rik	True	True	False		False
development_specific	AA986860	True	True	True	C1orf116	True
development_specific	Akap5	True	True	True	AKAP5	True
development_specific	Akr1c14	True	True	True		False
development_specific	Ano1	True	True	True	ANO1	True
development_specific	Aqp5	True	True	True	AQP5	True
development_specific	Atp6v0a4	True	True	True	ATP6V0A4	True
development_specific	Atp7b	True	True	True	ATP7B	True
development_specific	Ccdc120	True	True	True	CCDC120	True
development_specific	Cdcp1	True	True	True	CDCP1	True
development_specific	Cdkn2b	True	True	True	CDKN2B	True
development_specific	Cds1	True	True	True	CDS1	True
development_specific	Cecr2	True	True	True	CECR2	True
development_specific	Cep170b	True	True	True	CEP170B	True
development_specific	Cgn	True	True	True	CGN	True
development_specific	Clip4	True	True	True	CLIP4	True
development_specific	Cobl	True	True	True	COBL	True
development_specific	Col4a3	True	True	True	COL4A3	True
development_specific	Col4a4	True	True	True	COL4A4	True
development_specific	Col4a5	True	True	True	COL4A5	True
development_specific	Crb3	True	True	True	CRB3	True
development_specific	D10Bwg1379e	False	False	False		False
development_specific	Daam2	True	True	True	DAAM2	True
development_specific	Dsp	True	True	True	DSP	True
development_specific	Egfr	True	True	True	EGFR	True
development_specific	Epha4	True	True	True	EPHA4	True
development_specific	Epn3	True	True	True	EPN3	True
development_specific	Eps8l2	True	True	True	EPS8L2	True
development_specific	Erbb3	True	True	True	ERBB3	True
