identifier	sample_id	time_point	day	control_sample	Krt8+ ADI	AT2	AT2 activated	meets_floor
muc9274	D2-E1	day 2	2	False	32	210	333	True
muc9284	D2-E2	day 2	2	False	48	243	171	True
muc9292	D3-E1	day 3	3	False	84	200	514	True
muc9273	D3-E2	day 3	3	False	59	167	554	True
muc9275	D4-E1	day 4	4	False	133	118	541	True
muc9289	D4-E2	day 4	4	False	84	79	811	True
muc9278	D5-E1	day 5	5	False	134	120	490	True
muc9290	D5-E2	day 5	5	False	85	93	523	True
muc9282	D6-E1	day 6	6	False	78	112	294	True
muc9267	D7-E1	day 7	7	False	124	58	162	True
muc9272	D7-E2	day 7	7	False	64	131	255	True
muc9270	D8-E1	day 8	8	False	87	82	124	True
muc9291	D8-E2	day 8	8	False	105	53	149	True
muc9269	D9-E1	day 9	9	False	134	66	93	True
muc9295	D9-E2	day 9	9	False	99	59	68	True
muc9285	D10-E1	day 10	10	False	84	374	29	True
muc9293	D10-E2	day 10	10	False	74	59	112	True
muc9277	D11-E1	day 11	11	False	98	45	10	True
muc9268	D11-E2	day 11	11	False	93	189	51	True
muc9294	D12-E1	day 12	12	False	109	347	58	True
muc9283	D12-E2	day 12	12	False	87	169	37	True
muc9288	D13-E1	day 13	13	False	116	189	40	True
muc9296	D13-E2	day 13	13	False	78	167	64	True
muc9271	NC-E1	d14_PBS	14	True	1	731	0	False
muc9287	NC-E2	d14_PBS	14	True	2	1005	3	False
muc9280	D15-E1	day 15	15	False	59	380	38	True
muc9276	D15-E2	day 15	15	False	82	269	60	True
muc9286	D21-E	day 21	21	False	138	562	113	True
muc9297	D28-E	day 28	28	False	0	7	2	False
muc9281	D36-E1	day 36	36	False	10	776	32	False
muc9265	D36-E2	day 36	36	False	4	721	7	False
muc9279	D54-E2	day 54	54	False	3	428	3	False
